Clapeyron Database File,,,,,
tc-PR Wilson(res) Unlike Parameters
species1,species2,g
toluene,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane,5.4
heptane~|~n-heptane,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane,63.16
heptane~|~n-heptane,methyl-tert-amylether~|~methyl tert-pentyl ether~|~2-methoxy-2-methylbutane,35.3
ccl4~|~tetrachloromethane~|~carbon tetrachloride,"dioxane~|~p-dioxane~|~1,4-dioxane",446.69
toluene,ethylacetate~|~ethyl ethanoate,158.08
benzene,n-methylpyrrolidone~|~n-methyl-2-pyrrolidone~|~methyl-2-pyrrolidinone~|~n-methyl-2-pyrrolidinone,609.59
"tetralin~|~1,2,3,4-tetrahydronaphthalene",chinoline~|~quinoline,198.65
propane~|~n-propane,r32~|~difluoromethane,336.72
ethane,r23~|~trifluoromethane,291.03
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,r23~|~trifluoromethane,308.54
ethene~|~ethylene~|~1-ethylene,ch2cl2~|~dichloromethane,-485.58
pentane~|~n-pentane,ch2cl2~|~dichloromethane,181.7
ccl4~|~tetrachloromethane~|~carbon tetrachloride,ch2cl2~|~dichloromethane,63.04
nitrogen,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,-156.73
propene~|~propylene,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,85.17
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,223.63
r12~|~dichlorodifluoromethane,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,71.2
r161~|~fluoroethane~|~ethyl fluoride,"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",7.94
r116~|~perfluoroethane~|~hexafluoroethane,"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",351.28
benzene,chcl3~|~chloroform~|~trichloromethane,130.87
hexane~|~n-hexane,chcl3~|~chloroform~|~trichloromethane,206.82
heptane~|~n-heptane,chcl3~|~chloroform~|~trichloromethane,195.84
"dichloroethane~|~1,2-dichloroethane",chcl3~|~chloroform~|~trichloromethane,-172.19
ccl4~|~tetrachloromethane~|~carbon tetrachloride,chcl3~|~chloroform~|~trichloromethane,37.31
"r143a~|~1,1,1-trifluoroethane","r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene",-33.67
propane~|~n-propane,r125~|~pentafluoroethane,270.16
perfluorobutane~|~decafluorobutane~|~n-perfluorobutane,"r365mfc~|~1,1,1,3,3-pentafluorobutane",169.26
carbon dioxide,carbon monoxide,0.54
oxygen,carbon dioxide,110.52
hydrogen sulfide,carbon dioxide,115.17
dimethyl ether,carbon dioxide,-220.81
cs2~|~carbon disulfide,carbon dioxide,193.84
