Clapeyron Database File
tc-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;acentricfactor;L;M;N;v_shift
propenylcyclohexene~|~1-(2-propenyl)cyclohexene;122.20746;636.0;3120000;0.341975;1.244354169607;0.993758780667925;0.674062229644957;0.0023711268966044
acetovanillone~|~1-(4-hydroxy-3-methoxyphenyl)-ethanone;166.1739;786.0;3650000;0.785577;0.455929828129069;0.804151961171143;2.63701933797318;-0.0097766677907469
4-hydroxyacetophenone~|~1-(4-hydroxyphenyl)ethanone;136.14792;860.0;4450000;0.640919;0.611757169868463;0.885980588088376;2.05714779506053;0.0081126902035868
3-thiaundecane~|~1-(ethylthio)-octane~|~ethyl n-octyl sulfide;174.347;700.0;2400000;0.534638;0.289476059588464;0.831763251928579;2.86924646721743;-0.0198827699004351
2-thiahexane~|~methylbutyl sulfide~|~1-(methylthio)butane~|~methyl-n-butyl sulfide~|~methyl n-butyl sulfide;104.214;593.0;3470000;0.3229;0.307945480470013;0.81886175932225;1.93391611923319;0.0024954842315078
2-thiapentane~|~methylpropyl sulfide~|~1-(methylthio)-propane~|~methyl-n-propyl sulfide~|~methyl n-propyl sulfide;90.1872;565.0;3970000;0.273669;0.306185038585933;0.815153766197595;1.75572938742683;-0.0008268796729317
2,4-diphenyl-4-methylpentene-1~|~1,1'-(1,1-me-3-meyl-1,3-prdiyl)-bisbenzene;236.3514;835.0;2000000;0.546694;0.270601688702191;0.826040498984294;2.98287438040985;0.038313983927064
1,1'-(1,2-ethanediyl)bis(4-ethyl-)benzene;238.36728;780.9;1917000;0.585966;0.527713856936112;0.813505855382774;1.9516655869641;0.0483440678285351
1,2-diphenylethane~|~1,1'-(1,2-ethanediyl)bis-benzene;182.26096;780.0;2650000;0.488475;0.244269243698741;0.832522576636168;2.85469006316128;0.0152880123992432
diphenylacetylene~|~1,1'-(1,2-ethynediyl)bisbenzene;178.2292;832.0;2900000;0.383595;0.805506285745263;0.870768513054821;1.09420094330794;0.0104572478226604
1,1'-(1-methylethylidene)bisbenzene;196.288;780.4;2442000;0.46076;;;;
1,1,2-triphenylethane~|~1,1',1''-(1-ethanyl-2-ylidene)trisbenzene;258.35692;840.0;2040000;0.611614;1.02999088977299;0.878732792842959;1.16892631186005;0.0480101690744783
triphenylethene~|~triphenylethylene~|~1,1',1''-(1-ethenyl-2-ylidene)tris-benzene;256.34104;908.0;2100000;0.599841;0.575936721089114;0.812201637935695;1.84734367825862;0.0436048949547261
1-methoxy-nonafluorobutane~|~nonafluorobutyl methyl ether~|~methyl nonafluoro-n-butyl ether~|~1,1,1,2,2,3,3,4,4-nonafluoro-5-oxahexane;250.062;468.45;2230000;0.432192;0.294164544218326;0.847728871870074;2.58599993164997;0.0012003160898549
1,1,1,2,2-pentafluoropropane;134.04794;380.11;3137200;0.304579;1.02868899075196;0.961964972626589;0.777595148735257;-0.0008425345073228
1,1,1,2-tetrachloroethane;167.84928;624.0;4020000;0.242202;1.31837717486383;0.922698987274686;0.526963744755635;0.0052970520250932
r236fa~|~1,1,1,3,3,3-hexafluoropropane;152.038;398.07;3219200;0.39046;0.8728762661862;0.854534513069481;1.01804601377531;-0.0023116673246293
r365mfc~|~1,1,1,3,3-pentafluorobutane;148.075;473.7;3392000;0.257107;0.303442300138276;0.0000401691901812;0.648543783552058;-0.0049885874521715
1,1,1-trichlorotrifluoroethane~|~1,1,1-trichloro-2,2,2-trifluoroethane;187.3756096;483.0;3320000;0.266745;0.184357140045368;0.850805255759054;2.53641773460796;-0.0011797571728543
1,1,1-trichloroethane;133.40422;545.0;4300000;0.218252;0.149284152357819;0.850700830511626;2.53807671707284;-0.0024584654386511
r143a~|~1,1,1-trifluoroethane;84.04043;345.88;3764000;0.261421;0.288493325837191;0.843206989245299;1.9120598164749;0.0048528751847451
1,1,2,2-tetrabromoethane;345.65328;824.0;4600000;0.146563;;;;
1,1,2,2-tetrachlorodifluoroethane~|~1,1,2,2-tetrachloro-1,2-difluoroethane~|~1,1,2,2-tetrachloro-1,2-difluoro-ethane;203.8302064;551.0;3340000;0.279018;0.165038328099097;0.842690658591675;2.6704859586187;0.0040418168428597
1,1,2,2-tetrachloroethane;167.84928;645.0;4090000;0.246677;0.734102287342076;0.000599029798206;0.632781434663586;0.0118120651111317
1,1,2,2-tetraphenylethane;334.45288;827.0;1670000;0.732152;0.421964111418002;0.79308598061654;2.57397063718372;0.0174463766883842
1,1,2,3,4,4-hexachloro-1,3-butadiene;260.7608;738.0;2840000;0.16836;;;;
r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane;187.3756096;487.25;3410000;0.25151;0.498651058260976;0.840087764464668;1.27329289691905;-0.0049287314367111
1,1,2-trichloroethane;133.40422;602.0;4480000;0.259135;0.166744070711892;0.822633017031561;2.36208605464146;0.0062925386977546
1,1,2-trimethylcyclopentane;112.213;579.54;2938500;0.252286;0.205950189538423;0.820852388939709;2.12483087519795;0.0045461008032651
1,1,3-trimethylcyclohexane;126.239;611.3;2978000;0.27533;0.199488266784638;0.851479895700206;2.52573713765273;-0.0152413757103411
1,1,3-trimethylcyclopentane;112.213;569.54;2826800;0.21194;1.32536091500986;0.999945038751715;0.501152258583773;0.0063049525829245
1,10-decanediol;174.28048;747.0;2110000;0.919417;;;;
o-terphenyl~|~1,1'-2',1''-terphenyl;230.30376;857.0;2990000;0.551265;0.265450493207313;0.824958507721641;3.00517012846996;-0.046150073144808
p-terphenyl~|~1,1'-4',1''-terphenyl;230.30376;908.0;2990000;0.642594;0.29099922113261;0.818781303602186;3.13778932819711;-0.0309654768512413
1,1'-bicyclohexyl-2-one;180.2866;787.0;2740000;0.314626;;;;
p-aminodiphenyl~|~1,1'-biphenyl-4-amine;169.22244;867.0;3290000;0.541883;1.12749966064418;0.996532772384452;1.00698287768377;-0.0042159170318383
1,1-dibromoethane;187.86116;628.0;6030000;0.125025;1.67381542167532;0.999997029896014;0.337908061599616;-0.0186076287220903
r141b~|~1,1-dichloro-1-fluoroethane;116.94962;478.85;4340000;0.22114;0.188741182303809;0.848851270364337;2.28709983398566;-0.0053739709298695
r123~|~1,1-dichloro-2,2,2-trifluoroethane~|~2,2-dichloro-1,1,1-trifluoroethane;152.9305496;456.94;3676000;0.282485;0.337637437324879;0.815510128636862;1.68589570032324;-0.0016549105238969
1,1-dichloroethane;98.95916;523.0;5070000;0.233943;0.568711775081916;0.815193939199943;1.06311850849471;-0.0045262874817993
1,1-dichloroethene~|~1,1-dichloroethylene;96.94328;482.0;5190000;0.272126;0.249230038284116;0.870058827470271;2.25623463226831;-0.0058513790150085
1,1-dichloropropane;112.98574;560.0;4240000;0.252928;0.354600473151754;0.801894814862362;1.49916297948257;0.0047273886361919
1,1-dichlorotetrafluoroethane;170.9210128;418.55;3300000;0.253264;0.17016866289547;0.849088073410583;2.56391226258511;-0.006478341239765
acetal~|~1,1-diethoxyethane;118.17416;539.7;3220000;0.486869;0.374933115883302;0.85844963367331;2.4192872342215;-0.0238677374023927
1,1-diethylcyclohexane;140.2658;643.0;2570000;0.403642;1.16443797743629;0.999996509411731;0.806498285765718;0.0071676870390945
1,1-dimethoxyethane;90.121;507.8;3773000;0.32768;0.153613957489949;0.832281147817874;2.8593055397402;-0.0015804447646009
1,1-dimethylcyclohexane;112.21264;591.15;2938430;0.232569;1.38292643864162;0.999997959243969;0.490208968305307;0.0080763935716449
1,1-dimethylcyclopentane;98.18606;547.0;3445000;0.272354;0.360367827426525;0.833952917042429;1.62980203219747;-0.0115193294079145
1,1-dimethylethyl-2-propenylperoxide;130.18486;563.0;2880000;0.401955;0.259047775520111;0.83098649285584;2.54424062808272;-0.0152504733257994
1,1-diphenylethane;182.26096;775.0;2680000;0.456636;0.715005487781854;0.830330121613766;1.31378973422789;0.0093296560170193
ethylidene diacetate~|~ethylidene diethanoate~|~1,1-ethanedioldiacetate;146.1412;627.0;3140000;0.526304;1.13220288451778;0.920796327326921;0.967260363532835;0.0048756985578995
1,1'-iminobis-2-propanol~|~n-(2-hydroxypropyl)-2-hydroxy-1-propanamine;133.1888;672.0;3600000;1.38914;;;;
1,1'-oxybis-2-ethoxy-ethane~|~diethylene glycol diethyl ether;162.22672;624.0;2370000;0.680674;0.448734775153362;0.836811674752178;2.57043441247328;-0.0001763673857013
diisobutyl ether~|~1,1'-oxybis2-methylpropane;130.22792;562.0;2530000;0.424308;0.27381579117974;0.81714821605341;2.42953823218839;-0.0119337074040181
di-n-octyl ether~|~1,1'-oxybis-octane;242.44056;707.0;1440000;0.933623;0.528131233497869;0.80678800047336;2.71758962602042;0.0174339151501527
1,1'-thiobisoctane~|~1,1'-thiobis-octane;258.506;760.0;1460000;0.879774;;;;
4-thiaheptane~|~dipropyl sulfide~|~1,1'-thiobispropane~|~di-n-propyl sulfide;118.24;608.0;3080000;0.374042;0.298470691042909;0.833777734876356;2.2457357154706;0.0018904718730666
hexachlorocyclopentadiene~|~1,2,3,4,5,5-hexachloro-1,3-cyclopentadiene;272.7715;746.0;3010000;0.383404;0.678659932289545;0.861343051755927;1.27208676490125;0.0117585329313427
1,2,3,4-tetramethylbenzene;134.21816;693.0;3110000;0.417172;0.452011198010862;0.858900993911001;1.91242052864545;0.0058596771003978
1,2,3,4-tetramethylcyclohexane;140.2658;642.0;2570000;0.401599;0.752017626843529;0.830166809215367;1.16054810734283;0.0075517903621017
1,2,3,5-tetraethylbenzene;190.32448;708.0;2070000;0.594043;1.24377524738937;0.999993178240305;0.962685933783457;0.014877265117482
1,2,3,5-tetramethylbenzene;134.21816;679.0;2970000;0.42416;0.470899117284443;0.843048270334304;1.80713962517581;0.0087976701907328
1,2,3-propanetrioltrinitrate;227.0865;680.0;3000000;1.18413;;;;
1,2,3-trichlorobenzene;181.44702;734.0;4510000;0.426279;0.455369325343796;0.84114197158378;1.83501742933949;-0.0200492780862343
1,2,3-trichloropropane;147.4308;652.0;3870000;0.305583;0.29716738308648;0.796868100135301;1.8143305603979;0.0218888807661072
1,2,3-triethylbenzene;162.27132;683.0;2380000;0.505416;0.6763890751814;0.859133929141824;1.52567042076877;0.0162872062479815
1,2,3-benzenetriol~|~1,2,3-trihydroxybenzene;126.11004;830.0;8810000;0.945171;;;;
1,2,3-butanetriol~|~1,2,3-trihydroxybutane;106.1204;719.0;5830000;1.750415;;;;
1,2,3-trimethylindene~|~1,2,3-trimethyl-1h-indene;158.23956;726.0;2770000;0.441894;0.993580918978484;0.997655869197595;1.02685456950745;0.0263820425646592
1,2,3-trimethyl-4-ethylbenzene;148.24474;702.7;2795000;0.457433;0.832395950524793;0.867512660464514;1.18276486833877;0.0086906872986268
1,2,3-trimethylbenzene;120.19158;664.5;3454000;0.366553;0.419669041710508;0.844086079720964;1.79981472450606;0.005214147484206
1,2,4,5-benzenetetracarboxylicacid;254.14984;893.0;3140000;1.83014;;;;
1,2,4,5-tetraisopropylbenzene;246.431;703.0;1556000;0.635984;0.279177432152097;0.777540416665795;2.81827817371552;0.0168612015604431
1,2,4,5-tetramethylbenzene;134.21816;676.0;2900000;0.42167;0.780117275085447;0.901195987231865;1.22677971408652;0.0152295997414109
1,2,4-benzenetricarboxylicacid;210.14034;860.0;3510000;1.49114;;;;
1,2,4-benzenetricarboxylicacidtriheptylester;504.699;823.7;923600;1.4308;;;;
1,2,4-benzenetricarboxylicacidtrimethylester~|~benzene-1,2,4-tricarboxylic acid trimethyl ester;252.22008;821.7;2334000;0.884501;0.644517597859696;0.85762046396517;2.43159387562575;0.0213488613716899
1,2,4-butanetriol;106.1204;697.0;5760000;1.79571;;;;
1,2,4-trichlorobenzene;181.44702;725.0;3720000;0.358106;0.613149562451995;0.831401430318358;1.27716604673793;0.012138364277874
1,2,4-triethylbenzene;162.27132;684.0;2380000;0.501123;0.414932506469239;0.846184116100507;2.24387927910531;0.0124043344292337
1,2,4-trimethyl-3-ethylbenzene~|~benzene, 2-ethyl-1,3,4-trimethyl-;148.24474;697.3;2795000;0.456884;0.414341734882422;0.871564038950773;2.2362752245839;0.00529497283672
1,2,4-trimethylbenzene;120.19158;649.1;3232000;0.37871;0.414461140699733;0.839605233744543;1.83242324924345;0.0068906418339347
1,2-benzenediamine~|~o-phenylenediamine;108.14112;781.0;5180000;0.5389;0.613153902615277;0.831484831980249;1.67462378895957;0.0063185360184923
1,2-benzenedicarboxylicacid,heptyl,nonylester;390.55612;841.0;1160000;1.09436;0.619180159458543;0.820797389459588;2.78505873143169;0.0661176180024805
di-n-decyl phthalate~|~1,2-benzenedicarboxylicaciddidecylester;446.66244;905.0;995000;0.890594;0.698293744186035;0.824009736115592;2.8975740022853;0.0984095592517639
di-n-heptyl phthalate~|~1,2-benzenedicarboxylicaciddiheptylester;362.50296;815.0;1270000;1.10463;0.708851755692346;0.80462818559309;2.36198793091717;0.0461923567234682
diisononyl phthalate~|~1,2-benzenedicarboxylicaciddiisononylester;418.60928;835.0;1080000;1.0312;1.22126558846563;0.915831283440841;1.49594597520594;0.0376775143887946
di-n-nonyl phthalate~|~1,2-benzenedicarboxylicaciddinonylester;418.60928;866.0;1070000;0.996097;0.628066852297864;0.819006699426211;2.8919982799395;0.0860513541395316
di-n-undecyl phthalate~|~1,2-benzenedicarboxylicaciddiundecylester~|~1,2-benzene dicarboxylic acid, heptyl, undecyl ester;474.7156;970.0;928000;0.747464;0.670665386610354;0.817691008820933;3.16218602976432;0.102987817088082
1,2-benzene-dicarboxylic-acid-heptyl-undecyl-ester;418.60928;878.0;1070000;1.02051;0.62385430837519;0.822510383806574;2.62477898686034;0.101460159441799
1,2-benzenediol;110.11064;764.0;7490000;0.693731;0.656298295554604;0.889651143333728;2.0147146067425;-0.0313646830088043
1,2-butanediol;90.121;680.0;5210000;0.630463;1.61812039738855;0.999998586932456;0.735627710599452;-0.0003086340618356
ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine;60.09832;593.0;6290000;0.472367;0.248175702470523;0.832150016860611;2.86181739017854;0.0023121993061119
1,2-dibromotetrafluoroethane~|~1,2-dibromo-1,1,2,2-tetrafluoroethane;259.8230128;487.8;3393000;0.243102;0.136382848913254;0.842111039830125;2.68047861360921;-0.0040165844919915
1,2-dibromododecane;328.12696;831.9;2022000;0.749776;;;;
1,2-dibromoethane;187.86116;650.15;5476900;0.206724;1.19720592294516;0.967085585103823;0.538700407473005;0.001220502932832
1,2-dichloro-1,1,2-trifluoroethane;152.9305496;461.6;3610000;0.24101;0.279282212341071;0.824470241522372;1.77565253176366;0.0017847043066988
o-dichloro benzene~|~1,2-dichlorobenzene;147.00196;705.0;4070000;0.219189;1.57955687349096;0.999997528928776;0.418931140629233;0.0125273575476741
1,2-dichlorobutane;127.01232;600.0;3680000;0.298805;0.428656961153671;0.83131160136786;1.53211415838289;0.0112557064907448
dichloroethane~|~1,2-dichloroethane;98.95916;561.6;5370000;0.286595;0.219792496299902;0.856712311741289;2.44518069146349;-0.0005533880725369
1,2-dichloropropane;112.98574;572.0;4240000;0.256391;0.198083384043949;0.825895986272509;2.19020030601438;0.0045362939105265
r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane;170.9210128;418.85;3260000;0.252048;0.152284985005954;0.844559500380377;2.63865573193013;-0.0050567517750521
o-diethylbenzene~|~1,2-diethylbenzene;134.21816;668.0;2880000;0.339547;1.31847333339094;0.999998421309963;0.634232095518703;0.0136247719114702
1,2-dimethoxyethane;90.121;536.15;3870610;0.347486;1.26038064089948;0.999998508966664;0.671222327532768;0.0021774341766659
1,2-dimethoxypropane;104.14758;543.0;3446000;0.352222;0.751061432828101;0.865737426247837;1.10865215086229;-0.0039623274919196
1,2-dimethyl-3-propylbenzene;148.24474;687.7;2724000;0.453088;0.626059148745055;0.862361955624695;1.52446176896864;0.0018654696432923
oxylene~|~o-xylene~|~1,2-dimethylbenzene;106.165;630.3;3732000;0.31013;0.362080009725115;0.833791886317786;1.78215579086583;0.0014844939176844
methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide;58.07914;482.25;4920000;0.268304;0.227629611619574;0.850672109630025;2.28380038850424;0.0102858032020053
ethylene diacetate~|~1,2-ethanedioldiacetate~|~ethylene glycol diacetate;146.1412;653.0;3090000;0.559526;1.05583019286991;0.857619436637155;1.05378019875805;0.0164581916262245
1,2-ethanedioldinitrate~|~ethylene glycol dinitrate;152.06296;654.0;4040000;0.790366;0.710883167297389;0.847135789359162;1.97808946877763;0.0042457008659341
1,2-ethanedithiol;94.19904;663.0;5360000;0.257045;1.07010839562969;0.980515457861435;0.684589599742861;0.0057975902448894
1,2-propanediamine;74.1249;587.0;5270000;0.473814;0.647146334597253;0.844029943118407;1.48480096293119;-0.0102945126041154
1,3,5,7-cyclooctatetraene;104.149;641.4;4420000;0.287;0.198058987232996;0.849708130227982;2.55393194826907;-0.0144864198425954
1,3,5-trichlorobenzene;181.44702;718.0;3720000;0.359565;0.932734916992572;0.999998970246063;0.971105779880458;0.0077109264721127
1,3,5-triethylbenzene;162.27132;678.0;2300000;0.507674;0.607514603043463;0.849955443308357;1.66326192049097;0.0174135668051166
1,3,5-triisopropylbenzene~|~1,3,5-tris(1-methylethyl)benzene;204.351;696.6;1950000;0.532411;1.08021696860163;0.855234526057086;1.01086841241946;0.0048348453087357
mesitylene~|~1,3,5-trimethylbenzene;120.19158;637.3;3127000;0.398548;0.422142835459346;0.838828930789403;1.86362937835057;0.007294281148974
1,3,5-trinitrobenzene;213.10452;846.0;3390000;0.862257;;;;
trioxane~|~1,3,5-trioxane;90.07794;604.0;5820000;0.33372;0.226225701106377;0.810362883496949;2.27033439587869;0.0026250430326262
1,3,5-tri-tert-butylbenzene;246.431;717.8;1656000;0.486533;0.0811722303858105;0.796793075133511;3.69815481455602;0.0299626361935853
1,3-benzenediamine~|~m-phenylenediamine;108.14112;824.0;5180000;0.546392;0.788686371393699;0.943304568406212;1.50009283525004;0.0094282694995792
isophthalic acid~|~1,3-benzenedicarboxylicacid;166.13084;1007.0;3950000;1.06133;0.440555699649728;0.806480046506603;3.43229582479602;0.0652081233544852
dimethyl isophthalate~|~dimethyl 1,3-benzenedicarboxylate~|~1,3-benzenedicarboxylicaciddimethylester;194.184;764.0;2790000;0.624735;0.485593518364485;0.829759651903016;2.28937635212744;0.0333295953189068
m-diisopropylbenzene~|~1,3-diisopropylbenzene~|~1,3-bis(1-methylethyl)-benzene;162.27132;684.0;2450000;0.358687;1.65400449848572;0.999990095032403;0.50603341894937;-0.0188242191969983
1,3-butanediol;90.121;676.0;4020000;0.704256;;;;
1,3-cyclohexadiene;80.12772;558.0;4730000;0.230835;0.320113651244711;0.832942172311587;1.62063717553757;-0.0088754858167797
m-dibromobenzene~|~1,3-dibromobenzene;235.90396;761.0;4660000;0.293236;0.275266259205071;0.858064377971244;2.19263342649222;-0.0090804780156869
1,3-dichlorohexafluoropropane~|~1,3-dichloro-1,1,2,2,3,3-hexafluoropropane;220.9285192;449.0;2570000;0.328556;1.0834488553745;0.971240531416961;0.768053565173104;0.0049251402856941
1,3-dichloro-2-propanol;128.98514;633.0;4500000;0.699714;;;;
m-dichlorobenzene~|~1,3-dichlorobenzene;147.00196;683.95;4070000;0.27898;0.368026488702245;0.829805116714163;1.64309228628526;0.0038309565984916
1,3-dichloropropane;112.98574;603.0;4150000;0.291636;0.417342242418197;0.811156593633287;1.46948181812952;0.0153563549797156
1,3-dichloro-t-2-butene~|~1,3-dichloro-trans-2-butene;124.99644;617.0;3780000;0.237014;;;;
m-divinylbenzene~|~1,3-diethenylbenzene;130.1864;692.0;3120000;0.373361;1.1239386877901;0.999962699099655;0.797223797428029;0.0164088915043596
m-diethylbenzene~|~1,3-diethylbenzene;134.21816;663.0;2880000;0.354019;1.28226389876478;0.9999984980067;0.666399223470011;0.0073236720440047
1,3-dimethyl-2-imidazolidinone;114.1457;749.9;4275000;0.370067;0.807415316918283;0.905741118160094;1.09513738583356;0.0141888046660673
1,3-dimethyladamantane~|~1,3-dimethyltricyclo[3.3.1.1(3,7)]decane;164.2872;708.0;3000000;0.29346;0.228387401973738;0.841440024871121;2.33011444021573;-0.0189490134355433
mxylene~|~m-xylene~|~1,3-dimethylbenzene;106.165;617.0;3541000;0.326485;0.418472604047361;0.829579234042918;1.62882671597319;0.0041338368787397
m-dinitrobenzene~|~1,3-dinitrobenzene;168.10696;808.0;3850000;0.667336;;;;
1,3-dioxane;88.10512;590.0;5150000;0.289094;1.20898733552087;0.985595811648995;0.632703298312617;-0.0025804122512858
1,3-dioxolan-2-one~|~ethylene carbonate;88.06206;806.0;6770000;0.442272;0.472141622945239;0.890715404801858;2.00263107043859;0.0211396752172
1,3-di-tert-butyl-glycerin;204.306;667.1;2186000;0.650241;0.555657421638157;0.820418373657723;2.03962845067808;-0.0291098537843242
1,3-propanediamine;74.1249;608.0;5120000;0.50627;1.38171857105636;0.999482215675168;0.629182039541652;-0.0093840759058549
1,3-propanediol~|~propan-1,3-diol~|~1 3-propylene glycol~|~1,3-propylene glycol;76.09442;724.0;9500000;0.738488;1.47031346514679;0.999986491101118;0.820471323324252;0.0066707656739812
1,4-benzenediamine~|~p-phenylenediamine;108.14112;796.0;5180000;0.53864;0.239767113352734;0.820193584692701;3.0860098862211;0.0089620444004129
