Clapeyron Database File
iPCSAFT Like Parameters
species,Mw,segment,sigma,epsilon,v_shift,n_H,n_e,source
"2,2,3,3-tetramethylbutane",114.22852,2.8619,4.2985,266.514,2.06e-05,0,0,
"2,2,3,3-tetramethylhexane",142.28168,3.8089,4.1756,259.64,2.95e-05,0,0,
"2,2,3,3-tetramethylpentane",128.2551,3.3302,4.2265,267.187,2.65e-05,0,0,
"2,2,3,4-tetramethylpentane",128.2551,3.3986,4.2344,258.459,2.98e-05,0,0,
"2,2,3-trimethylbutane",100.20194,2.9014,4.1447,247.7,2.19e-05,0,0,
"2,2,3-trimethylpentane",114.22852,3.2677,4.1561,249.791,3.07e-05,0,0,
"2,2,4,4,6,8,8-heptamethylnonane",226.44116,5.2749,4.4532,256.641,8.14e-05,0,0,
"2,2,4,4-tetramethylpentane",128.2551,3.3971,4.2526,250.654,2.88e-05,0,0,
"2,2,4-trimethylpentane",114.22852,3.3176,4.1675,239.547,2.92e-05,0,0,
"2,2,5,5-tetramethylhexane",142.28168,3.8943,4.2347,240.237,3.74e-05,0,0,
"2,2,5-trimethylhexane",128.2551,3.6412,4.2257,241.705,3.83e-05,0,0,
R123,152.93055,3.1537,3.5552,205.597,1.75e-05,0,0,
"2,2-dimethylbutane",86.17536,2.7776,4.0279,232.508,1.71e-05,0,0,
"2,2-dimethylheptane",128.2551,4.0086,4.0801,235.679,3.74e-05,0,0,
"2,2-dimethylhexane",114.22852,3.5873,4.0852,234.61,3.36e-05,0,0,
"2,2-dimethyloctane",142.28168,4.3093,4.1404,239.485,4.79e-05,0,0,
"2,2-dimethylpentane",100.20194,3.1897,4.0635,233.076,2.72e-05,0,0,
"2,3,3,4-tetramethylpentane",128.2551,3.4033,4.2037,264.808,2.72e-05,0,0,
"2,3,3-trimethyl-1-butene",98.18606,2.8142,4.1034,251.011,1.51e-05,0,0,
"2,3,3-trimethylpentane",114.22852,3.2147,4.1602,255.969,2.71e-05,0,0,
"2,3,4-trimethylpentane",114.22852,3.4104,4.0985,246.683,3.03e-05,0,0,
"2,3-dimethyl-1,3-butadiene",82.1436,2.6246,4.0356,256.565,2.67e-05,0,0,
"2,3-dimethyl-1-butene",84.15948,2.7717,3.9718,238.438,1.73e-05,0,0,
"2,3-dimethyl-1-hexene",112.21264,3.486,4.0378,242.162,2.81e-05,0,0,
"2,3-dimethyl-2-butene",84.15948,2.6976,4.0807,254.355,3.02e-05,0,0,
"2,3-dimethylbutane",86.17536,2.8952,3.9773,233.416,1.98e-05,0,0,
"2,3-dimethylheptane",128.2551,4.0115,4.0843,240.558,4.1e-05,0,0,
"2,3-dimethylhexane",114.22852,3.6482,4.0406,238.85,3.45e-05,0,0,
"2,3-dimethylpentane",100.20194,3.2624,4.0069,238.337,2.81e-05,0,0,
"2,3-pentadiene",68.11702,2.6563,3.844,241.097,2.64e-05,0,0,
"2,4,4-trimethyl-1-pentene",112.21264,3.2988,4.1338,242.847,3.03e-05,0,0,
"2,4,4-trimethyl-2-pentene",112.21264,3.2676,4.1607,246.025,3.35e-05,0,0,
"2,4,4-trimethylhexane",128.2551,3.7008,4.1517,244.877,3.3e-05,0,0,
"2,4-dimethylhexane",114.22852,3.6329,4.0592,235.003,3.11e-05,0,0,
"2,4-dimethyloctane",142.28168,4.3551,4.1126,237.771,4.05e-05,0,0,
"2,4-dimethylpentane",100.20194,3.3081,4.0227,229.245,2.86e-05,0,0,
"2,5-dihydrofuran",70.08984,2.6667,3.4931,262.464,1.76e-05,0,0,
"2,5-dimethyl-1,5-hexadiene",110.19676,3.4769,4.066,245.012,3.87e-05,0,0,
"2,5-dimethyl-2,4-hexadiene",110.19676,3.4617,4.1431,258.434,5.29e-05,0,0,
"2,5-dimethylhexane",114.22852,3.7433,4.0427,230.774,3.61e-05,0,0,
"2,5-dimethyloctane",142.28168,4.4021,4.1023,238.033,4.67e-05,0,0,
"2,6-dimethylheptane",128.2551,4.0219,4.1098,236.323,4.39e-05,0,0,
"2,6-dimethylnaphthalene",156.22368,4.2207,3.9988,311.471,4.17e-05,0,0,
"2,6-dimethyloctane",142.28168,4.388,4.1142,239.495,4.34e-05,0,0,
"2,7-dimethylnaphthalene",156.22368,4.4612,3.8861,304.463,3.34e-05,0,0,
"2,7-dimethyloctane",142.28168,4.4153,4.1253,238.171,5.07e-05,0,0,
2-bromobutane,137.01826,3.0436,3.5832,259.013,2.18e-06,0,0,
R124,136.475953,3.1948,3.3776,177.05,1.38e-05,0,0,
"2-chloro-1,1-difluoroethylene",98.479146,2.6039,3.4155,196.077,1.4e-05,0,0,
2-chloropropene,76.5248,2.144,3.8042,256.437,9.13e-06,0,0,
2-ethyl-1-butene,84.15948,2.9191,3.9331,237.697,2.23e-05,0,0,
2-ethyl-1-pentene,98.18606,3.3478,3.9651,238.297,2.92e-05,0,0,
2-ethyl-2-hexenal,0.0,4.508,3.8756,248.925,5.64e-05,0,0,
2-ethylbenzothiophene,0.0,4.306,3.8248,307.996,3.21e-05,0,0,
2-ethyl-m-xylene,134.21816,4.1324,3.9016,271.1,3.8e-05,0,0,
2-ethylnaphthalene,156.22368,4.2496,3.978,308.287,4.91e-05,0,0,
2-ethyl-p-xylene,134.21816,4.1708,3.934,266.947,4.44e-05,0,0,
2-heptanone,114.18546,4.2312,3.782,244.865,4.07e-05,0,0,
2-hexanone,100.15888,3.9575,3.6892,241.311,3.59e-05,0,0,
2-methyl benzothiophene,148.22482,3.5275,4.1254,330.238,5.32e-05,0,0,
2-methyl-1-butene,70.1329,2.7775,3.8233,221.097,2.37e-05,0,0,
2-methyl-1-butene-3-yne,0.0,2.0338,4.0067,270.835,1.1e-05,0,0,
2-methyl-1-heptene,112.21264,3.7239,4.0334,238.394,4.03e-05,0,0,
2-methyl-1-hexene,98.18606,3.3639,3.9823,235.638,3.26e-05,0,0,
2-methyl-1-nonene,140.2658,4.5009,4.0835,241.231,5.45e-05,0,0,
2-methyl-1-octene,126.23922,4.1205,4.058,239.844,5.02e-05,0,0,
2-methyl-1-pentene,84.15948,2.9875,3.9295,232.55,2.54e-05,0,0,
2-methyl-2-butene,70.1329,3.1891,3.6613,210.478,2.85e-05,0,0,
2-methyl-2-pentenal,98.143,3.6786,3.8397,255.602,4.47e-05,0,0,
2-methyl-2-pentene,84.15948,2.8582,4.0283,241.312,2.98e-05,0,0,
2-methyl-3-ethylpentane,114.22852,3.5232,4.0662,243.75,3.45e-05,0,0,
2-methylbutyraldehyde,86.1323,3.9039,3.4332,224.239,2.15e-05,0,0,
2-methylheptane,114.22852,3.9171,3.992,230.753,3.92e-05,0,0,
2-methylhexanal,114.18546,4.5672,3.6699,230.63,3.92e-05,0,0,
2-methylhexane,100.20194,3.5102,3.9625,228.315,3.11e-05,0,0,
2-methylindene,130.1864,3.6898,3.9679,300.021,4.35e-05,0,0,
2-methylnaphthalene,142.1971,3.9058,3.9577,314.094,4.3e-05,0,0,
2-methylnonane,142.28168,4.6594,4.0591,235.972,5.2e-05,0,0,
2-methyloctane,128.2551,4.5617,3.9177,227.171,4.06e-05,0,0,
Isohexane,86.17536,3.1277,3.9088,224.726,2.21e-05,0,0,
2-methylthiophene,98.16614,2.8154,3.7,287.83,1.11e-05,0,0,
2-nonanone,142.23862,4.8656,3.91,248.648,5.64e-05,0,0,
2-octanone,128.21204,4.5188,3.8653,247.423,4.82e-05,0,0,
2-pentanone,86.1323,3.6305,3.6094,238.285,3.12e-05,0,0,
2-pentyne,68.11702,2.3248,4.0057,267.832,2.28e-05,0,0,
3-(methylmercapto)propanal,0.0,4.2136,3.4833,260.725,3.83e-05,0,0,
"3,3,5-trimethylheptane",142.28168,3.9578,4.1942,250.293,3.81e-05,0,0,
"3,3-diethylpentane",128.2551,3.5895,4.1505,260.255,3.28e-05,0,0,
"3,3-dimethyl-1-butene",84.15948,2.7343,3.9463,229.837,9.26e-06,0,0,
"3,3-dimethylhexane",114.22852,3.4491,4.1115,243.642,3.67e-05,0,0,
"3,3-dimethylpentane",100.20194,3.0398,4.0897,245.166,1.96e-05,0,0,
"3,4-dimethylhexane",114.22852,3.5898,4.0471,242.649,3.32e-05,0,0,
3-ethyl-1-hexene,112.21264,3.7625,3.9846,231.947,3.62e-05,0,0,
3-ethyl-1-pentene,98.18606,3.305,3.9166,233.833,1.84e-05,0,0,
3-ethylhexane,114.22852,3.7664,4.0076,236.71,3.83e-05,0,0,
3-ethyl-o-xylene,134.21816,3.7791,4.1188,284.264,5.35e-05,0,0,
