Clapeyron Database File,,,,,
ogUNIFAC Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,source
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,COOH~|~HCOOH,,318.9,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH2CL~|~CHCL~|~CCL,,-36.87,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH2CL2~|~CHCL2~|~CCL2,,58.55,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CHCL3~|~CCL3,,-13.99,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CCL4,,-109.7,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACCL,,100.1,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3NO2~|~CH2NO2~|~CHNO2,,357.5,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CS2,,76.3,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,FURFURAL,,262.9,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,BR,,183.8,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH=-C~|~C=-C,,31.14,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,DMSO,,179,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACRY,,-52.87,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CL-(C=C),,-66.46,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACF,,359.3,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,DMF~|~HCON(..,,-70.45,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CF3~|~CF2~|~CF,,449.4,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,COO,,48.33,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,NMP,,86.46,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,200.2,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,C2H5O2~|~C2H4O2,,268.1,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3S~|~CH2S~|~CHS,,-617,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,MORPH,,62.56,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,(CH2)2SU~|~CH2CHSU,,200.94,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,IMIDAZOL,,-861.46,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,BTI,,424.93,
ACH~|~AC,,ACCH3~|~ACCH2~|~ACCH,,167,
ACH~|~AC,,OH,,636.1,
ACH~|~AC,,CH3OH,,637.35,
ACH~|~AC,,H2O,,903.8,
ACH~|~AC,,ACOH,,1329,
ACH~|~AC,,CH3CO~|~CH2CO,,25.77,
ACH~|~AC,,CHO,,347.3,
ACH~|~AC,,CH3COO~|~CH2COO,,5.994,
ACH~|~AC,,HCOO,,287.1,
ACH~|~AC,,CH3O~|~CH2O~|~CHO~|~THF,,32.14,
ACH~|~AC,,CH3NH2~|~CH2NH2~|~CHNH2,,161.7,
ACH~|~AC,,CH3NH~|~CH2NH~|~CHNH,,122.8,
ACH~|~AC,,CH3N~|~CH2N,,90.49,
ACH~|~AC,,ACNH2,,648.2,
ACH~|~AC,,C5H5N~|~C5H4N~|~C5H3N,,-4.449,
ACH~|~AC,,CH3CN~|~CH2CN,,212.5,
ACH~|~AC,,COOH~|~HCOOH,,537.4,
ACH~|~AC,,CH2CL~|~CHCL~|~CCL,,-18.81,
ACH~|~AC,,CH2CL2~|~CHCL2~|~CCL2,,-144.4,
ACH~|~AC,,CHCL3~|~CCL3,,-231.9,
ACH~|~AC,,CCL4,,3,
ACH~|~AC,,ACCL,,187,
ACH~|~AC,,CH3NO2~|~CH2NO2~|~CHNO2,,168.04,
ACH~|~AC,,ACNO2,,194.9,
ACH~|~AC,,CS2,,52.068,
ACH~|~AC,,CH3SH~|~CH2SH,,-10.43,
ACH~|~AC,,FURFURAL,,-64.69,
ACH~|~AC,,DOH,,210.366,
ACH~|~AC,,I,,113.3,
ACH~|~AC,,BR,,261.3,
ACH~|~AC,,CH=-C~|~C=-C,,154.26,
ACH~|~AC,,DMSO,,169.9,
ACH~|~AC,,ACRY,,383.9,
ACH~|~AC,,CL-(C=C),,-259.1,
ACH~|~AC,,ACF,,389.3,
ACH~|~AC,,DMF~|~HCON(..,,245.6,
ACH~|~AC,,CF3~|~CF2~|~CF,,22.67,
ACH~|~AC,,COO,,103.5,
ACH~|~AC,,SIH3~|~SIH2~|~SIH~|~SI,,-432.3,
ACH~|~AC,,SIH2O~|~SIHO~|~SIO,,238.9,
ACH~|~AC,,NMP,,30.04,
ACH~|~AC,,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,-88.11,
ACH~|~AC,,C2H5O2~|~C2H4O2,,333.3,
ACH~|~AC,,MORPH,,-59.58,
ACH~|~AC,,C4H4S~|~C4H3S~|~C4H2S,,-39.16,
ACH~|~AC,,(CH2)2SU~|~CH2CHSU,,360.82,
ACCH3~|~ACCH2~|~ACCH,,OH,,803.2,
ACCH3~|~ACCH2~|~ACCH,,CH3OH,,603.25,
ACCH3~|~ACCH2~|~ACCH,,H2O,,5695,
ACCH3~|~ACCH2~|~ACCH,,ACOH,,884.9,
ACCH3~|~ACCH2~|~ACCH,,CH3CO~|~CH2CO,,-52.1,
ACCH3~|~ACCH2~|~ACCH,,CHO,,586.8,
ACCH3~|~ACCH2~|~ACCH,,CH3COO~|~CH2COO,,5688,
ACCH3~|~ACCH2~|~ACCH,,HCOO,,197.8,
ACCH3~|~ACCH2~|~ACCH,,CH3O~|~CH2O~|~CHO~|~THF,,213.1,
ACCH3~|~ACCH2~|~ACCH,,CH3NH2~|~CH2NH2~|~CHNH2,,19.02,
ACCH3~|~ACCH2~|~ACCH,,CH3NH~|~CH2NH~|~CHNH,,-49.29,
ACCH3~|~ACCH2~|~ACCH,,CH3N~|~CH2N,,23.5,
ACCH3~|~ACCH2~|~ACCH,,ACNH2,,664.2,
ACCH3~|~ACCH2~|~ACCH,,C5H5N~|~C5H4N~|~C5H3N,,52.8,
ACCH3~|~ACCH2~|~ACCH,,CH3CN~|~CH2CN,,6096,
ACCH3~|~ACCH2~|~ACCH,,COOH~|~HCOOH,,872.3,
ACCH3~|~ACCH2~|~ACCH,,CH2CL~|~CHCL~|~CCL,,-114.14,
ACCH3~|~ACCH2~|~ACCH,,CH2CL2~|~CHCL2~|~CCL2,,-111,
ACCH3~|~ACCH2~|~ACCH,,CHCL3~|~CCL3,,-80.25,
ACCH3~|~ACCH2~|~ACCH,,CCL4,,-141.3,
ACCH3~|~ACCH2~|~ACCH,,ACCL,,-211,
ACCH3~|~ACCH2~|~ACCH,,CH3NO2~|~CH2NO2~|~CHNO2,,3629,
ACCH3~|~ACCH2~|~ACCH,,ACNO2,,4448,
ACCH3~|~ACCH2~|~ACCH,,CS2,,-9.451,
ACCH3~|~ACCH2~|~ACCH,,CH3SH~|~CH2SH,,393.6,
ACCH3~|~ACCH2~|~ACCH,,FURFURAL,,48.49,
ACCH3~|~ACCH2~|~ACCH,,DOH,,4975,
ACCH3~|~ACCH2~|~ACCH,,I,,259,
ACCH3~|~ACCH2~|~ACCH,,BR,,210,
ACCH3~|~ACCH2~|~ACCH,,CH=-C~|~C=-C,,-152.55,
ACCH3~|~ACCH2~|~ACCH,,DMSO,,4284,
ACCH3~|~ACCH2~|~ACCH,,ACRY,,-119.2,
ACCH3~|~ACCH2~|~ACCH,,CL-(C=C),,-282.5,
ACCH3~|~ACCH2~|~ACCH,,ACF,,101.4,
ACCH3~|~ACCH2~|~ACCH,,DMF~|~HCON(..,,5629,
ACCH3~|~ACCH2~|~ACCH,,CF3~|~CF2~|~CF,,-245.39,
ACCH3~|~ACCH2~|~ACCH,,COO,,69.26,
ACCH3~|~ACCH2~|~ACCH,,NMP,,46.38,
ACCH3~|~ACCH2~|~ACCH,,C2H5O2~|~C2H4O2,,421.9,
ACCH3~|~ACCH2~|~ACCH,,MORPH,,-203.6,
ACCH3~|~ACCH2~|~ACCH,,C4H4S~|~C4H3S~|~C4H2S,,184.9,
ACCH3~|~ACCH2~|~ACCH,,(CH2)2SU~|~CH2CHSU,,233.51,
OH,,CH3OH,,-137.1,
OH,,H2O,,353.5,
OH,,ACOH,,-259.7,
OH,,CH3CO~|~CH2CO,,84,
OH,,CHO,,-203.6,
OH,,CH3COO~|~CH2COO,,101.1,
OH,,HCOO,,267.8,
OH,,CH3O~|~CH2O~|~CHO~|~THF,,28.06,
OH,,CH3NH2~|~CH2NH2~|~CHNH2,,8.642,
OH,,CH3NH~|~CH2NH~|~CHNH,,42.7,
OH,,CH3N~|~CH2N,,-323,
OH,,ACNH2,,-52.39,
OH,,C5H5N~|~C5H4N~|~C5H3N,,170.029,
OH,,CH3CN~|~CH2CN,,6.712,
OH,,COOH~|~HCOOH,,199,
OH,,CH2CL~|~CHCL~|~CCL,,75.62,
OH,,CH2CL2~|~CHCL2~|~CCL2,,65.28,
OH,,CHCL3~|~CCL3,,-98.12,
OH,,CCL4,,143.1,
OH,,ACCL,,123.5,
OH,,CH3NO2~|~CH2NO2~|~CHNO2,,256.5,
OH,,ACNO2,,157.1,
OH,,CS2,,488.9,
OH,,CH3SH~|~CH2SH,,147.5,
OH,,FURFURAL,,-120.46,
OH,,DOH,,-318.93,
OH,,I,,313.5,
OH,,BR,,202.1,
OH,,CH=-C~|~C=-C,,727.8,
OH,,DMSO,,-202.1,
