Clapeyron Database File,,,,,
ogUNIFAC Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,source
CH=-C~|~C=-C,,ACCH3~|~ACCH2~|~ACCH,,614.52,
DMSO,,ACCH3~|~ACCH2~|~ACCH,,-143.2,
ACRY,,ACCH3~|~ACCH2~|~ACCH,,397.4,
CL-(C=C),,ACCH3~|~ACCH2~|~ACCH,,419.1,
ACF,,ACCH3~|~ACCH2~|~ACCH,,-157.3,
DMF~|~HCON(..,,ACCH3~|~ACCH2~|~ACCH,,-240.2,
CF3~|~CF2~|~CF,,ACCH3~|~ACCH2~|~ACCH,,839.83,
COO,,ACCH3~|~ACCH2~|~ACCH,,615.8,
NMP,,ACCH3~|~ACCH2~|~ACCH,,6.214,
C2H5O2~|~C2H4O2,,ACCH3~|~ACCH2~|~ACCH,,-19.45,
MORPH,,ACCH3~|~ACCH2~|~ACCH,,274.1,
C4H4S~|~C4H3S~|~C4H2S,,ACCH3~|~ACCH2~|~ACCH,,2.845,
(CH2)2SU~|~CH2CHSU,,ACCH3~|~ACCH2~|~ACCH,,347.13,
CH3OH,,OH,,249.1,
H2O,,OH,,-229.1,
ACOH,,OH,,-451.6,
CH3CO~|~CH2CO,,OH,,164.5,
CHO,,OH,,529,
CH3COO~|~CH2COO,,OH,,245.4,
HCOO,,OH,,139.4,
CH3O~|~CH2O~|~CHO~|~THF,,OH,,237.7,
CH3NH2~|~CH2NH2~|~CHNH2,,OH,,-242.8,
CH3NH~|~CH2NH~|~CHNH,,OH,,-150,
CH3N~|~CH2N,,OH,,28.6,
ACNH2,,OH,,-17.4,
C5H5N~|~C5H4N~|~C5H3N,,OH,,-132.3,
CH3CN~|~CH2CN,,OH,,185.4,
COOH~|~HCOOH,,OH,,-151,
CH2CL~|~CHCL~|~CCL,,OH,,562.2,
CH2CL2~|~CHCL2~|~CCL2,,OH,,527.6,
CHCL3~|~CCL3,,OH,,742.1,
CCL4,,OH,,856.3,
ACCL,,OH,,325.7,
CH3NO2~|~CH2NO2~|~CHNO2,,OH,,261.6,
ACNO2,,OH,,561.6,
CS2,,OH,,609.8,
CH3SH~|~CH2SH,,OH,,461.6,
FURFURAL,,OH,,521.63,
DOH,,OH,,267.6,
I,,OH,,501.3,
BR,,OH,,524.9,
CH=-C~|~C=-C,,OH,,68.95,
DMSO,,OH,,-25.87,
ACRY,,OH,,389.3,
CL-(C=C),,OH,,738.9,
ACF,,OH,,649.7,
DMF~|~HCON(..,,OH,,64.16,
COO,,OH,,88.63,
SIH3~|~SIH2~|~SIH~|~SI,,OH,,1913,
SIH2O~|~SIHO~|~SIO,,OH,,430.06,
NMP,,OH,,796.9,
CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,OH,,794.4,
AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,OH,,394.8,
C2H5O2~|~C2H4O2,,OH,,517.5,
MORPH,,OH,,-61.2,
C4H4S~|~C4H3S~|~C4H2S,,OH,,682.5,
(CH2)2SU~|~CH2CHSU,,OH,,72.19,
IMIDAZOL,,OH,,111.65,
BTI,,OH,,122.19,
H2O,,CH3OH,,289.6,
ACOH,,CH3OH,,-265.2,
CH3CO~|~CH2CO,,CH3OH,,108.65,
CHO,,CH3OH,,-340.18,
CH3COO~|~CH2COO,,CH3OH,,249.63,
HCOO,,CH3OH,,227.8,
CH3O~|~CH2O~|~CHO~|~THF,,CH3OH,,238.4,
CH3NH2~|~CH2NH2~|~CHNH2,,CH3OH,,-481.65,
CH3NH~|~CH2NH~|~CHNH,,CH3OH,,-370.3,
CH3N~|~CH2N,,CH3OH,,-406.8,
ACNH2,,CH3OH,,-118.1,
C5H5N~|~C5H4N~|~C5H3N,,CH3OH,,-378.24,
CH3CN~|~CH2CN,,CH3OH,,162.6,
COOH~|~HCOOH,,CH3OH,,339.8,
CH2CL~|~CHCL~|~CCL,,CH3OH,,529,
CH2CL2~|~CHCL2~|~CCL2,,CH3OH,,669.9,
CHCL3~|~CCL3,,CH3OH,,649.1,
CCL4,,CH3OH,,709.6,
ACCL,,CH3OH,,612.8,
CH3NO2~|~CH2NO2~|~CHNO2,,CH3OH,,252.56,
ACNO2,,CH3OH,,511.29,
CS2,,CH3OH,,914.2,
CH3SH~|~CH2SH,,CH3OH,,448.6,
FURFURAL,,CH3OH,,287,
DOH,,CH3OH,,240.8,
I,,CH3OH,,431.3,
BR,,CH3OH,,494.7,
CH=-C~|~C=-C,,CH3OH,,967.71,
DMSO,,CH3OH,,695,
ACRY,,CH3OH,,218.8,
CL-(C=C),,CH3OH,,528,
ACF,,CH3OH,,645.9,
DMF~|~HCON(..,,CH3OH,,172.2,
COO,,CH3OH,,171,
CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,CH3OH,,762.7,
CH3S~|~CH2S~|~CHS,,CH3OH,,420,
MORPH,,CH3OH,,-89.24,
C4H4S~|~C4H3S~|~C4H2S,,CH3OH,,597.8,
(CH2)2SU~|~CH2CHSU,,CH3OH,,265.75,
ACOH,,H2O,,-601.8,
CH3CO~|~CH2CO,,H2O,,472.5,
CHO,,H2O,,480.8,
CH3COO~|~CH2COO,,H2O,,200.8,
HCOO,,H2O,,124.63,
CH3O~|~CH2O~|~CHO~|~THF,,H2O,,-314.7,
CH3NH2~|~CH2NH2~|~CHNH2,,H2O,,-330.4,
CH3NH~|~CH2NH~|~CHNH,,H2O,,-448.2,
CH3N~|~CH2N,,H2O,,-598.8,
ACNH2,,H2O,,-341.6,
C5H5N~|~C5H4N~|~C5H3N,,H2O,,-332.9,
CH3CN~|~CH2CN,,H2O,,242.8,
COOH~|~HCOOH,,H2O,,-66.17,
CH2CL~|~CHCL~|~CCL,,H2O,,698.24,
CH2CL2~|~CHCL2~|~CCL2,,H2O,,708.69,
CHCL3~|~CCL3,,H2O,,826.76,
CCL4,,H2O,,1201,
ACCL,,H2O,,-274.5,
CH3NO2~|~CH2NO2~|~CHNO2,,H2O,,417.9,
ACNO2,,H2O,,360.7,
CS2,,H2O,,1081,
FURFURAL,,H2O,,23.484,
DOH,,H2O,,-137.4,
BR,,H2O,,79.18,
DMSO,,H2O,,-240,
ACRY,,H2O,,386.6,
DMF~|~HCON(..,,H2O,,-287.1,
COO,,H2O,,284.4,
SIH3~|~SIH2~|~SIH~|~SI,,H2O,,180.2,
NMP,,H2O,,832.2,
AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,H2O,,-509.3,
C2H5O2~|~C2H4O2,,H2O,,-205.7,
MORPH,,H2O,,-384.3,
(CH2)2SU~|~CH2CHSU,,H2O,,627.39,
CH3CO~|~CH2CO,,ACOH,,-133.1,
CHO,,ACOH,,-155.6,
CH3COO~|~CH2COO,,ACOH,,-36.72,
HCOO,,ACOH,,-234.25,
CH3O~|~CH2O~|~CHO~|~THF,,ACOH,,-178.5461,
CH3NH2~|~CH2NH2~|~CHNH2,,ACOH,,-870.8,
ACNH2,,ACOH,,-253.1,
C5H5N~|~C5H4N~|~C5H3N,,ACOH,,-341.6,
COOH~|~HCOOH,,ACOH,,-11,
CH2CL2~|~CHCL2~|~CCL2,,ACOH,,1633.5,
CCL4,,ACOH,,10000,
ACCL,,ACOH,,622.3,
ACNO2,,ACOH,,815.12,
CS2,,ACOH,,1421.3,
DOH,,ACOH,,838.4,
COO,,ACOH,,-167.3,
NMP,,ACOH,,-234.7,
C4H4S~|~C4H3S~|~C4H2S,,ACOH,,810.5,
CHO,,CH3CO~|~CH2CO,,128,
CH3COO~|~CH2COO,,CH3CO~|~CH2CO,,372.2,
HCOO,,CH3CO~|~CH2CO,,385.4,
CH3O~|~CH2O~|~CHO~|~THF,,CH3CO~|~CH2CO,,191.1,
CH3NH~|~CH2NH~|~CHNH,,CH3CO~|~CH2CO,,394.6,
CH3N~|~CH2N,,CH3CO~|~CH2CO,,225.3,
ACNH2,,CH3CO~|~CH2CO,,-450.3,
C5H5N~|~C5H4N~|~C5H3N,,CH3CO~|~CH2CO,,29.1,
CH3CN~|~CH2CN,,CH3CO~|~CH2CO,,-287.5,
COOH~|~HCOOH,,CH3CO~|~CH2CO,,-297.8,
CH2CL~|~CHCL~|~CCL,,CH3CO~|~CH2CO,,286.28,
CH2CL2~|~CHCL2~|~CCL2,,CH3CO~|~CH2CO,,82.86,
CHCL3~|~CCL3,,CH3CO~|~CH2CO,,552.1,
CCL4,,CH3CO~|~CH2CO,,372,
ACCL,,CH3CO~|~CH2CO,,518.4,
CH3NO2~|~CH2NO2~|~CHNO2,,CH3CO~|~CH2CO,,-142.61,
ACNO2,,CH3CO~|~CH2CO,,-101.5,
CS2,,CH3CO~|~CH2CO,,303.657,
CH3SH~|~CH2SH,,CH3CO~|~CH2CO,,160.6,
FURFURAL,,CH3CO~|~CH2CO,,317.5,
DOH,,CH3CO~|~CH2CO,,135.4,
I,,CH3CO~|~CH2CO,,138,
BR,,CH3CO~|~CH2CO,,-142.6,
CH=-C~|~C=-C,,CH3CO~|~CH2CO,,443.615,
DMSO,,CH3CO~|~CH2CO,,110.4,
ACRY,,CH3CO~|~CH2CO,,114.55,
CL-(C=C),,CH3CO~|~CH2CO,,-40.9,
DMF~|~HCON(..,,CH3CO~|~CH2CO,,97.04,
COO,,CH3CO~|~CH2CO,,123.4,
SIH3~|~SIH2~|~SIH~|~SI,,CH3CO~|~CH2CO,,992.4,
C2H5O2~|~C2H4O2,,CH3CO~|~CH2CO,,156.4,
C4H4S~|~C4H3S~|~C4H2S,,CH3CO~|~CH2CO,,278.8,
CH3COO~|~CH2COO,,CHO,,185.1,
HCOO,,CHO,,-236.5,
CH3O~|~CH2O~|~CHO~|~THF,,CHO,,-7.838,
CH3CN~|~CH2CN,,CHO,,224.66,
COOH~|~HCOOH,,CHO,,-165.5,
CH2CL~|~CHCL~|~CCL,,CHO,,-47.51,
CH2CL2~|~CHCL2~|~CCL2,,CHO,,190.6,
CHCL3~|~CCL3,,CHO,,242.8,
I,,CHO,,245.9,
CH=-C~|~C=-C,,CHO,,-55.87,
ACRY,,CHO,,354,
CL-(C=C),,CHO,,183.8,
DMF~|~HCON(..,,CHO,,13.89,
COO,,CHO,,577.5,
HCOO,,CH3COO~|~CH2COO,,1167,
CH3O~|~CH2O~|~CHO~|~THF,,CH3COO~|~CH2COO,,461.3,
CH3NH~|~CH2NH~|~CHNH,,CH3COO~|~CH2COO,,136,
CH3N~|~CH2N,,CH3COO~|~CH2COO,,2888.6001,
ACNH2,,CH3COO~|~CH2COO,,-294.8,
C5H5N~|~C5H4N~|~C5H3N,,CH3COO~|~CH2COO,,8.87,
CH3CN~|~CH2CN,,CH3COO~|~CH2COO,,-266.6,
COOH~|~HCOOH,,CH3COO~|~CH2COO,,-256.3,
CH2CL~|~CHCL~|~CCL,,CH3COO~|~CH2COO,,35.38,
CH2CL2~|~CHCL2~|~CCL2,,CH3COO~|~CH2COO,,-132.95,
CHCL3~|~CCL3,,CH3COO~|~CH2COO,,176.45,
CCL4,,CH3COO~|~CH2COO,,129.49,
ACCL,,CH3COO~|~CH2COO,,-171.1,
CH3NO2~|~CH2NO2~|~CHNO2,,CH3COO~|~CH2COO,,129.3,
CS2,,CH3COO~|~CH2COO,,243.775,
FURFURAL,,CH3COO~|~CH2COO,,-146.31,
DOH,,CH3COO~|~CH2COO,,152,
I,,CH3COO~|~CH2COO,,21.92,
BR,,CH3COO~|~CH2COO,,24.37,
CH=-C~|~C=-C,,CH3COO~|~CH2COO,,-111.45,
DMSO,,CH3COO~|~CH2COO,,41.57,
ACRY,,CH3COO~|~CH2COO,,175.53,
CL-(C=C),,CH3COO~|~CH2COO,,611.3,
DMF~|~HCON(..,,CH3COO~|~CH2COO,,-82.12,
COO,,CH3COO~|~CH2COO,,-234.9,
C2H5O2~|~C2H4O2,,CH3COO~|~CH2COO,,-3.444,
CH3O~|~CH2O~|~CHO~|~THF,,HCOO,,457.3,
C5H5N~|~C5H4N~|~C5H3N,,HCOO,,554.4,
CH3CN~|~CH2CN,,HCOO,,99.37,
COOH~|~HCOOH,,HCOO,,193.9,
CH2CL2~|~CHCL2~|~CCL2,,HCOO,,80.99,
CHCL3~|~CCL3,,HCOO,,235.6,
CCL4,,HCOO,,351.9,
ACCL,,HCOO,,383.3,
CH3SH~|~CH2SH,,HCOO,,201.5,
BR,,HCOO,,-92.26,
CL-(C=C),,HCOO,,134.5,
DMF~|~HCON(..,,HCOO,,-116.7,
COO,,HCOO,,145.4,
CH3NH2~|~CH2NH2~|~CHNH2,,CH3O~|~CH2O~|~CHO~|~THF,,222.1,
CH3NH~|~CH2NH~|~CHNH,,CH3O~|~CH2O~|~CHO~|~THF,,-56.08,
CH3N~|~CH2N,,CH3O~|~CH2O~|~CHO~|~THF,,-194.1,
ACNH2,,CH3O~|~CH2O~|~CHO~|~THF,,285.36,
C5H5N~|~C5H4N~|~C5H3N,,CH3O~|~CH2O~|~CHO~|~THF,,-156.1,
CH3CN~|~CH2CN,,CH3O~|~CH2O~|~CHO~|~THF,,38.81,
COOH~|~HCOOH,,CH3O~|~CH2O~|~CHO~|~THF,,-338.5,
CH2CL~|~CHCL~|~CCL,,CH3O~|~CH2O~|~CHO~|~THF,,225.39,
CH2CL2~|~CHCL2~|~CCL2,,CH3O~|~CH2O~|~CHO~|~THF,,-197.71,
CHCL3~|~CCL3,,CH3O~|~CH2O~|~CHO~|~THF,,-20.93,
CCL4,,CH3O~|~CH2O~|~CHO~|~THF,,113.9,
ACCL,,CH3O~|~CH2O~|~CHO~|~THF,,-25.15,
CH3NO2~|~CH2NO2~|~CHNO2,,CH3O~|~CH2O~|~CHO~|~THF,,-94.49,
ACNO2,,CH3O~|~CH2O~|~CHO~|~THF,,220.66,
CS2,,CH3O~|~CH2O~|~CHO~|~THF,,112.382,
CH3SH~|~CH2SH,,CH3O~|~CH2O~|~CHO~|~THF,,63.71,
FURFURAL,,CH3O~|~CH2O~|~CHO~|~THF,,-87.31,
DOH,,CH3O~|~CH2O~|~CHO~|~THF,,9.207,
I,,CH3O~|~CH2O~|~CHO~|~THF,,476.6,
BR,,CH3O~|~CH2O~|~CHO~|~THF,,736.4,
CH=-C~|~C=-C,,CH3O~|~CH2O~|~CHO~|~THF,,173.77,
DMSO,,CH3O~|~CH2O~|~CHO~|~THF,,-93.51,
CL-(C=C),,CH3O~|~CH2O~|~CHO~|~THF,,-217.9,
ACF,,CH3O~|~CH2O~|~CHO~|~THF,,167.3,
DMF~|~HCON(..,,CH3O~|~CH2O~|~CHO~|~THF,,-158.2,
CF3~|~CF2~|~CF,,CH3O~|~CH2O~|~CHO~|~THF,,278.15,
COO,,CH3O~|~CH2O~|~CHO~|~THF,,-247.8,
SIH3~|~SIH2~|~SIH~|~SI,,CH3O~|~CH2O~|~CHO~|~THF,,448.5,
CH3NH~|~CH2NH~|~CHNH,,CH3NH2~|~CH2NH2~|~CHNH2,,127.4,
CH3N~|~CH2N,,CH3NH2~|~CH2NH2~|~CHNH2,,38.89,
ACNH2,,CH3NH2~|~CH2NH2~|~CHNH2,,-15.07,
CH3CN~|~CH2CN,,CH3NH2~|~CH2NH2~|~CHNH2,,-157.3,
CH2CL~|~CHCL~|~CCL,,CH3NH2~|~CH2NH2~|~CHNH2,,131.2,
CCL4,,CH3NH2~|~CH2NH2~|~CHNH2,,261.1,
ACCL,,CH3NH2~|~CH2NH2~|~CHNH2,,108.5,
CH3SH~|~CH2SH,,CH3NH2~|~CH2NH2~|~CHNH2,,106.7,
DMSO,,CH3NH2~|~CH2NH2~|~CHNH2,,-366.51,
DMF~|~HCON(..,,CH3NH2~|~CH2NH2~|~CHNH2,,49.7,
SIH3~|~SIH2~|~SIH~|~SI,,CH3NH2~|~CH2NH2~|~CHNH2,,961.8,
SIH2O~|~SIHO~|~SIO,,CH3NH2~|~CH2NH2~|~CHNH2,,-125.2,
CH3N~|~CH2N,,CH3NH~|~CH2NH~|~CHNH,,865.9,
ACNH2,,CH3NH~|~CH2NH~|~CHNH,,64.3,
C5H5N~|~C5H4N~|~C5H3N,,CH3NH~|~CH2NH~|~CHNH,,-207.66,
CH3CN~|~CH2CN,,CH3NH~|~CH2NH~|~CHNH,,-108.5,
CCL4,,CH3NH~|~CH2NH~|~CHNH,,91.13,
ACCL,,CH3NH~|~CH2NH~|~CHNH,,102.2,
DOH,,CH3NH~|~CH2NH~|~CHNH,,-213.74,
ACF,,CH3NH~|~CH2NH~|~CHNH,,-198.8,
DMF~|~HCON(..,,CH3NH~|~CH2NH~|~CHNH,,10.03,
COO,,CH3NH~|~CH2NH~|~CHNH,,284.5,
SIH3~|~SIH2~|~SIH~|~SI,,CH3NH~|~CH2NH~|~CHNH,,1464.2,
SIH2O~|~SIHO~|~SIO,,CH3NH~|~CH2NH~|~CHNH,,1603.8,
ACNH2,,CH3N~|~CH2N,,-24.46,
CH3CN~|~CH2CN,,CH3N~|~CH2N,,-446.86,
CH2CL~|~CHCL~|~CCL,,CH3N~|~CH2N,,151.38,
CH2CL2~|~CHCL2~|~CCL2,,CH3N~|~CH2N,,-141.4,
CHCL3~|~CCL3,,CH3N~|~CH2N,,-293.7,
CCL4,,CH3N~|~CH2N,,316.9,
ACCL,,CH3N~|~CH2N,,2951,
DMSO,,CH3N~|~CH2N,,-257.2,
ACF,,CH3N~|~CH2N,,116.478,
DMF~|~HCON(..,,CH3N~|~CH2N,,-185.2,
C5H5N~|~C5H4N~|~C5H3N,,ACNH2,,117.4,
CH3CN~|~CH2CN,,ACNH2,,777.4,
COOH~|~HCOOH,,ACNH2,,493.8,
CH2CL~|~CHCL~|~CCL,,ACNH2,,429.7,
CH2CL2~|~CHCL2~|~CCL2,,ACNH2,,140.8,
CCL4,,ACNH2,,898.2,
ACCL,,ACNH2,,334.9,
ACNO2,,ACNH2,,134.9,
DOH,,ACNH2,,192.3,
DMF~|~HCON(..,,ACNH2,,343.7,
COO,,ACNH2,,-22.1,
CH3CN~|~CH2CN,,C5H5N~|~C5H4N~|~C5H3N,,134.28,
COOH~|~HCOOH,,C5H5N~|~C5H4N~|~C5H3N,,-313.5,
CH2CL2~|~CHCL2~|~CCL2,,C5H5N~|~C5H4N~|~C5H3N,,587.3,
CHCL3~|~CCL3,,C5H5N~|~C5H4N~|~C5H3N,,18.98,
CCL4,,C5H5N~|~C5H4N~|~C5H3N,,368.5,
ACCL,,C5H5N~|~C5H4N~|~C5H3N,,20.18,
ACNO2,,C5H5N~|~C5H4N~|~C5H3N,,2475,
BR,,C5H5N~|~C5H4N~|~C5H3N,,-42.71,
CL-(C=C),,C5H5N~|~C5H4N~|~C5H3N,,281.6,
ACF,,C5H5N~|~C5H4N~|~C5H3N,,159.8,
C4H4S~|~C4H3S~|~C4H2S,,C5H5N~|~C5H4N~|~C5H3N,,221.4,
COOH~|~HCOOH,,CH3CN~|~CH2CN,,92.07,
CH2CL~|~CHCL~|~CCL,,CH3CN~|~CH2CN,,54.32,
CH2CL2~|~CHCL2~|~CCL2,,CH3CN~|~CH2CN,,258.6,
CHCL3~|~CCL3,,CH3CN~|~CH2CN,,74.04,
CCL4,,CH3CN~|~CH2CN,,491.95,
ACCL,,CH3CN~|~CH2CN,,363.5,
CH3NO2~|~CH2NO2~|~CHNO2,,CH3CN~|~CH2CN,,0.283,
CS2,,CH3CN~|~CH2CN,,335.743,
CH3SH~|~CH2SH,,CH3CN~|~CH2CN,,161,
DOH,,CH3CN~|~CH2CN,,169.6,
BR,,CH3CN~|~CH2CN,,136.9,
CH=-C~|~C=-C,,CH3CN~|~CH2CN,,329.12,
ACRY,,CH3CN~|~CH2CN,,-42.31,
CL-(C=C),,CH3CN~|~CH2CN,,335.2,
DMF~|~HCON(..,,CH3CN~|~CH2CN,,150.6,
COO,,CH3CN~|~CH2CN,,-61.6,
C2H5O2~|~C2H4O2,,CH3CN~|~CH2CN,,119.2,
CH2CL~|~CHCL~|~CCL,,COOH~|~HCOOH,,519.1,
CH2CL2~|~CHCL2~|~CCL2,,COOH~|~HCOOH,,543.3,
CHCL3~|~CCL3,,COOH~|~HCOOH,,504.2,
CCL4,,COOH~|~HCOOH,,631,
ACCL,,COOH~|~HCOOH,,993.4,
FURFURAL,,COOH~|~HCOOH,,570.6,
I,,COOH~|~HCOOH,,616.6,
BR,,COOH~|~HCOOH,,5256,
DMSO,,COOH~|~HCOOH,,-180.2,
CL-(C=C),,COOH~|~HCOOH,,898.2,
DMF~|~HCON(..,,COOH~|~HCOOH,,-97.77,
COO,,COOH~|~HCOOH,,1179,
AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,COOH~|~HCOOH,,-70.25,
CH2CL2~|~CHCL2~|~CCL2,,CH2CL~|~CHCL~|~CCL,,-84.53,
CHCL3~|~CCL3,,CH2CL~|~CHCL~|~CCL,,-157.1,
CCL4,,CH2CL~|~CHCL~|~CCL,,11.8,
ACCL,,CH2CL~|~CHCL~|~CCL,,-129.7,
CH3NO2~|~CH2NO2~|~CHNO2,,CH2CL~|~CHCL~|~CCL,,113,
ACNO2,,CH2CL~|~CHCL~|~CCL,,1971,
CS2,,CH2CL~|~CHCL~|~CCL,,-73.092,
CH3SH~|~CH2SH,,CH2CL~|~CHCL~|~CCL,,-27.94,
FURFURAL,,CH2CL~|~CHCL~|~CCL,,-39.46,
I,,CH2CL~|~CHCL~|~CCL,,179.25,
BR,,CH2CL~|~CHCL~|~CCL,,-262.3,
CL-(C=C),,CH2CL~|~CHCL~|~CCL,,383.2,
DMF~|~HCON(..,,CH2CL~|~CHCL~|~CCL,,-55.21,
COO,,CH2CL~|~CHCL~|~CCL,,182.2,
CHCL3~|~CCL3,,CH2CL2~|~CHCL2~|~CCL2,,0,
CCL4,,CH2CL2~|~CHCL2~|~CCL2,,17.97,
ACCL,,CH2CL2~|~CHCL2~|~CCL2,,-8.309,
CH3NO2~|~CH2NO2~|~CHNO2,,CH2CL2~|~CHCL2~|~CCL2,,-9.639,
FURFURAL,,CH2CL2~|~CHCL2~|~CCL2,,-116.21,
I,,CH2CL2~|~CHCL2~|~CCL2,,-40.82,
BR,,CH2CL2~|~CHCL2~|~CCL2,,-174.5,
DMSO,,CH2CL2~|~CHCL2~|~CCL2,,-215,
CL-(C=C),,CH2CL2~|~CHCL2~|~CCL2,,301.9,
DMF~|~HCON(..,,CH2CL2~|~CHCL2~|~CCL2,,397.24,
COO,,CH2CL2~|~CHCL2~|~CCL2,,305.4,
C2H5O2~|~C2H4O2,,CH2CL2~|~CHCL2~|~CCL2,,-194.7,
CCL4,,CHCL3~|~CCL3,,51.9,
ACCL,,CHCL3~|~CCL3,,-0.2266,
CS2,,CHCL3~|~CCL3,,-26.058,
FURFURAL,,CHCL3~|~CCL3,,48.484,
I,,CHCL3~|~CCL3,,21.76,
BR,,CHCL3~|~CCL3,,-46.8,
DMSO,,CHCL3~|~CCL3,,-343.6,
CL-(C=C),,CHCL3~|~CCL3,,-149.8,
COO,,CHCL3~|~CCL3,,-193,
NMP,,CHCL3~|~CCL3,,-196.2,
CH3S~|~CH2S~|~CHS,,CHCL3~|~CCL3,,-363.1,
ACCL,,CCL4,,248.4,
CH3NO2~|~CH2NO2~|~CHNO2,,CCL4,,-34.68,
ACNO2,,CCL4,,514.6,
CS2,,CCL4,,-60.71,
FURFURAL,,CCL4,,-133.16,
I,,CCL4,,48.49,
BR,,CCL4,,77.55,
DMSO,,CCL4,,-58.43,
ACRY,,CCL4,,-85.148,
CL-(C=C),,CCL4,,-134.2,
ACF,,CCL4,,-124.6,
DMF~|~HCON(..,,CCL4,,-186.7,
COO,,CCL4,,335.7,
SIH2O~|~SIHO~|~SIO,,CCL4,,70.81,
C2H5O2~|~C2H4O2,,CCL4,,3.163,
CH3S~|~CH2S~|~CHS,,CCL4,,-11.3,
C4H4S~|~C4H3S~|~C4H2S,,CCL4,,-79.34,
(CH2)2SU~|~CH2CHSU,,CCL4,,75.04,
CH3NO2~|~CH2NO2~|~CHNO2,,ACCL,,132.9,
ACNO2,,ACCL,,-123.1,
BR,,ACCL,,-185.3,
DMSO,,ACCL,,-334.12,
DMF~|~HCON(..,,ACCL,,-374.16,
CF3~|~CF2~|~CF,,ACCL,,33.95,
COO,,ACCL,,956.1,
NMP,,ACCL,,161.5,
C2H5O2~|~C2H4O2,,ACCL,,7.082,
ACNO2,,CH3NO2~|~CH2NO2~|~CHNO2,,-85.12,
CS2,,CH3NO2~|~CH2NO2~|~CHNO2,,277.8,
DOH,,CH3NO2~|~CH2NO2~|~CHNO2,,481.348,
I,,CH3NO2~|~CH2NO2~|~CHNO2,,64.28,
BR,,CH3NO2~|~CH2NO2~|~CHNO2,,125.3,
CH=-C~|~C=-C,,CH3NO2~|~CH2NO2~|~CHNO2,,174.433,
CL-(C=C),,CH3NO2~|~CH2NO2~|~CHNO2,,379.4,
DMF~|~HCON(..,,CH3NO2~|~CH2NO2~|~CHNO2,,223.6,
COO,,CH3NO2~|~CH2NO2~|~CHNO2,,-124.7,
CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,CH3NO2~|~CH2NO2~|~CHNO2,,844,
C4H4S~|~C4H3S~|~C4H2S,,CH3NO2~|~CH2NO2~|~CHNO2,,176.3,
I,,ACNO2,,2448,
BR,,ACNO2,,4288,
I,,CS2,,-27.45,
CL-(C=C),,CS2,,167.9,
COO,,CS2,,885.5,
DMSO,,CH3SH~|~CH2SH,,85.7,
DMF~|~HCON(..,,CH3SH~|~CH2SH,,-71,
NMP,,CH3SH~|~CH2SH,,-274.1,
CH3S~|~CH2S~|~CHS,,CH3SH~|~CH2SH,,6.971,
COO,,FURFURAL,,-64.28,
DMSO,,DOH,,535.8,
DMF~|~HCON(..,,DOH,,-191.7,
COO,,DOH,,-264.3,
NMP,,DOH,,262,
C2H5O2~|~C2H4O2,,DOH,,515.8,
BR,,I,,37.1,
COO,,I,,288.1,
DMSO,,BR,,-111.2,
CL-(C=C),,BR,,322.42,
DMF~|~HCON(..,,BR,,-176.26,
COO,,BR,,627.7,
CL-(C=C),,CH=-C~|~C=-C,,631.5,
DMF~|~HCON(..,,CH=-C~|~C=-C,,6.699,
DMF~|~HCON(..,,DMSO,,136.6,
COO,,DMSO,,-29.34,
CL-(C=C),,ACRY,,837.2,
DMF~|~HCON(..,,ACRY,,5.15,
COO,,ACRY,,-53.91,
DMF~|~HCON(..,,CL-(C=C),,-137.7,
COO,,CL-(C=C),,-198,
NMP,,CL-(C=C),,-66.31,
CH3S~|~CH2S~|~CHS,,CL-(C=C),,148.9,
DMF~|~HCON(..,,ACF,,50.06,
CF3~|~CF2~|~CF,,ACF,,185.6,
CF3~|~CF2~|~CF,,DMF~|~HCON(..,,55.8,
COO,,DMF~|~HCON(..,,-28.65,
CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,CF3~|~CF2~|~CF,,-32.17,
C2H5O2~|~C2H4O2,,COO,,101.2,
SIH2O~|~SIHO~|~SIO,,SIH3~|~SIH2~|~SIH~|~SI,,745.3,
BTI,,IMIDAZOL,,-1869.9,
