Clapeyron Database File
tc-RK parameters [csvtype = single,sep = ;]
species;Tc;Pc;acentricfactor;ZRA;L;M;N;Mw;v_shift
2,3-dimethylheptane;588.8;2.39e6;0.3914;0.2604;0.3157;0.8434;2.6584;128.2551;3.27937e-5
2,3-dimethylhexane;563.5;2.63e6;0.3455;0.2628;0.2802;0.843;2.6647;114.22852;2.75073e-5
2,3-dimethyloctane;613.1;2.173e6;0.4245;0.2553;0.2937;0.8335;2.8361;142.28168;4.42364e-5
2,3-dimethylpentane;537.3;2.91e6;0.2964;0.2654;0.249;0.8445;2.6404;100.20194;2.2742399999999998e-5
2,3-pentadiene;497.0;3.8e6;0.2184;0.2577;0.8954;0.8729;0.8663;68.11702;2.4482399999999998e-5
2,3-xylenol~|~2,3-dimethylphenol;722.95;4.9e6;0.5157;0.293;0.5752;0.8806;2.1215;122.1644;-1.2583e-5
2,4,4-trimethyl-1-pentene;550.0;2.68e6;0.3011;0.2661;0.2853;0.852;2.5169;112.21264;2.40877e-5
2,2,4-trimethyl-2-pentene~|~2,4,4-trimethyl-2-pentene;555.0;2.68e6;0.2971;0.2637;0.6975;0.8237;1.2039;112.21264;2.8050299999999998e-5
2,4,4-trimethylhexane;581.0;2.46e6;0.3522;0.2662;0.3598;0.86;2.3967;128.2551;2.5035599999999998e-5
2,4,6-trimethylpyridine;653.0;3.3299999999999995e6;0.3749;0.2518;1.1723;1.0;0.8762;121.17964;3.69172e-5
2,4-diaminotoluene~|~4-methyl-1,3-benzendiamine~|~4-methyl-1,3-benzenediamine;804.0;4.38e6;0.5794;0.2466;0.8103;0.8543;1.59;122.1677;3.3626899999999995e-5
2,4-dichlorobenzotrifluoride~|~2,4-dichloro-1-(trifluoromethyl)-benzene;646.0;2.81e6;0.4344;-123.0;0.2695;0.8273;2.9576;214.99993;-0.00012299999999999998
2,4-dichlorotoluene~|~2,4-dichloro-1-methylbenzene;705.0;3.59e6;0.359;0.2547;0.2349;0.8312;2.88;161.02854;3.41481e-5
3-ethyl-2,4-dimethylpentane~|~2,4-dimethyl-3-ethylpentane;591.0;2.53e6;0.353;0.2659;0.2993;0.846;2.6151;128.2551;2.52956e-5
2,4-dimethylhexane~|~2 4-dimethylhexane;553.5;2.56e6;0.3436;0.2658;0.2739;0.842;2.6829;114.22852;2.40735e-5
2,4-dimethyloctane;600.0;2.17e6;0.4345;0.2623;0.2598;0.8254;2.9965;142.28168;3.19829e-5
2,4-dimethylpentane;519.8;2.74e6;0.3022;0.2655;0.3128;0.8377;2.2707;100.20194;2.30697e-5
2,4-toluene diisocyanate;725.0;3.04e6;0.6582;0.2456;0.6385;0.8712;2.2408;174.15614;4.16364e-5
2,4-xylenol~|~2,4-dimethylphenol;707.65;4.4e6;0.5136;0.2696;0.5026;0.8645;2.3326;122.1644;9.1795e-6
2,5-dihydrofuran~|~2,5-dihydro-furan;542.0;5.5e6;0.2197;0.2618;1.3151;1.0;0.5886;70.08984;1.62321e-5
2,5-dimethyl-2,4-hexadiene;597.0;2.74e6;0.3218;0.2466;0.5697;0.8181;1.5719;110.19676;4.784e-5
2,5-dimethylhexane;550.0;2.49e6;0.3576;0.262;0.2696;0.8388;2.7384;114.22852;2.89566e-5
2,5-dimethyloctane;603.0;2.17e6;0.4403;0.2584;0.3409;0.8411;2.6984;142.28168;3.7801999999999995e-5
2,5-xylenol~|~2,5-dimethylphenol;707.05;4.9e6;0.5638;0.289;0.6273;0.8845;2.075;122.1644;-9.6814e-6
2,6-dimethyl-4-heptanol;603.0;2.55e6;0.8022;0.2684;0.4203;0.82;3.1119;144.2545;8.1762e-6
2,6-dimethylheptane~|~2,6-dimethyl-heptane;579.0;2.3e6;0.3927;0.259;1.2252;0.9965;0.8554;128.2551;3.6309499999999995e-5
2,6-dimethylnaphthalene;777.0;3.17e6;0.4177;-123.0;0.5893;0.8498;1.7228;156.22368;-0.00012299999999999998
2,6-dimethyloctane;606.0;2.17e6;0.4386;0.2606;0.2698;0.8269;2.9648;142.28168;3.4825699999999994e-5
2,6-dimethylpyridine;623.75;3.75e6;0.3453;0.257;0.451;0.8255;1.8398;107.15306;2.71687e-5
2,6-toluene diisocyanate;749.0;2.9e6;0.4338;0.2355;0.6831;0.6981;1.3399;174.15614;7.02819e-5
2,6-xylenol~|~2,6-dimethylphenol;701.05;4.3e6;0.4554;0.288;0.519;0.8785;2.1481;122.1644;-7.267299999999999e-6
2,7-dimethylnaphthalene;775.0;3.2299999999999995e6;0.4477;-123.0;0.5281;0.8474;1.9623;156.22368;-0.00012299999999999998
2,7-dimethyloctane;604.0;2.13e6;0.442;0.2564;0.3909;0.8281;2.3655;142.28168;4.20503e-5
2-acetoacetoxyethylmethacrylate;724.2;2.257e6;0.8156;-123.0;0.456;0.8161;3.124;172.18;-0.00012299999999999998
2-aminoethoxyethanol~|~2-(2-aminoethoxy)ethanol;735.0;5.9e6;0.5598;0.2891;0.3127;0.8011;2.9425;105.13564;-8.0127e-6
2-bromobutane;567.0;4.63e6;0.2684;0.2881;0.2262;0.844;2.6486;137.01826;-9.728e-7
2-bromopropane;532.0;5.51e6;0.2432;0.3197;0.48;0.9169;1.7322;122.99168;-1.98182e-5
2-butanol~|~butan-2-ol;535.9;4.1880000000000005e6;0.5808;0.2538;0.1254;0.7856;4.0504;74.1216;1.8714500000000002e-5
2-butoxyethanol~|~2-butoxyethan-1-ol;633.9;3.2700000000000005e6;0.5143;0.254;1.6244;0.9801;0.9077;118.17416;2.3953399999999997e-5
2-butyl-2-ethyl-1,3-propanediol;732.0;2.597e6;0.6907;-123.0;0.4868;0.7701;2.4241;160.2539;-0.00012299999999999998
r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane;395.65;3.66e6;0.2877;0.2697;0.2649;0.8496;2.555;136.475953;1.06893e-5
2-chloro-1,1-difluoroethylene;400.55;4.458e6;0.2116;0.2657;1.2958;0.9949;0.5891;98.479146;1.29116e-5
2-chloroethanol~|~1-chloro-2-hydroxyethane;585.0;5.92e6;0.6578;0.2446;0.6521;0.8748;2.1947;80.5135;1.78916e-5
2-chloropropene~|~2-chloro-1-propene;478.0;4.71e6;0.1515;0.2762;0.2853;0.8491;1.8427;76.5248;9.346500000000001e-6
ethoxyethanol~|~2-ethoxyethanol~|~2-ethoxyethan-1-ol;569.0;4.24e6;0.7582;0.2529;0.3142;0.8194;3.1234;90.121;1.9936599999999998e-5
2-ethoxyethyl acetate~|~2-ethoxyethanolacetate~|~2-ethoxyethyl ethanoate;607.3;3.166e6;0.5522;0.262;0.5175;0.8618;2.3709;132.15768;1.84071e-5
2-ethylbutyricacid~|~2-ethylbutanoic acid;655.0;3.41e6;0.6326;0.254;0.3359;0.816;3.2005;116.15828;2.54799e-5
2-ethyl-1-butene;511.0;3.3e6;0.2523;0.2674;0.7882;0.8747;1.0397;84.15948;1.89858e-5
2-ethyl-1-hexanol;640.6;2.8e6;0.5559;0.2556;0.1867;0.7974;3.6811;130.22792;3.12555e-5
2-ethyl-1-hexene~|~3-methyleneheptane;569.0;2.67e6;0.3577;0.2603;1.0196;0.9785;0.9998;112.21264;3.0222e-5
2-ethyl-1-pentene;543.0;2.95e6;0.3073;0.2641;0.4225;0.8837;2.0842;98.18606;2.3113600000000002e-5
2-ethyl-2-hexenal~|~2-ethyl-2-hexen-1-al;636.0;2.64e6;0.4535;0.23;0.2812;0.8272;2.9588;126.2;7.062130000000001e-5
2-ethylbenzothiophene;774.0;3.526e6;0.4283;-123.0;0.8814;0.8393;1.0566;162.05;-0.00012299999999999998
ethylhexyl acetate~|~2-ethylhexyl acetate~|~aceticacid-2-ethylhexylester~|~1-hexanol, 2-ethyl-, acetate;642.4;2.17e6;0.5992;0.2537;1.7862;0.9598;1.3683;172.2646;1.591e-5
2-ethylhexyl acrylate~|~2-ethylhexyl 2-propenoate~|~2-propenoicacid-2-ethylhexylester;655.0;2.07e6;0.673;-123.0;0.6722;0.8761;2.178;184.2753;-0.00012299999999999998
2-ethyl-m-xylene~|~2-ethyl-1,3-dimethylbenzene~|~1,3-dimethyl-2-ethylbenzene;671.0;3.02e6;0.4066;0.2591;0.3541;0.8495;2.558;134.21816;3.05752e-5
2-ethyl-p-xylene~|~2-ethyl-1,4-dimethylbenzene~|~1-ethyl-2,5-dimethylbenzene;663.0;2.88e6;0.4114;0.2551;0.3349;0.8263;2.4978;134.21816;3.71563e-5
2-ethyl-tetrahydrothiophene;657.8;3.81e6;0.2515;0.2643;0.1236;0.8233;3.0397;116.22448;2.4484999999999997e-5
2-heptanol;608.3;3.0e6;0.5677;-123.0;2.3077;0.5723;0.6553;116.20134;-0.00012299999999999998
2-heptanone;611.4;2.94e6;0.419;0.2544;0.3184;0.8395;2.727;114.18546;3.3856399999999997e-5
2-hexanol;585.3;3.311e6;0.553;0.2565;1.5167;0.2352;0.9641;102.17476;2.49979e-5
2-hexanone;587.61;3.2869999999999995e6;0.3846;0.2546;0.3718;0.8327;2.2785;100.15888;3.01779e-5
2-hexoxyethanol~|~2-hexyloxyethanol;633.0;2.62e6;0.9004;0.2555;1.4013;0.8931;1.9762;146.22732;7.454399999999999e-6
2-hexyne;549.0;3.5299999999999995e6;0.2214;0.2612;0.1161;0.8267;2.97;82.1436;2.5930099999999998e-5
2-methyl benzothiophene;768.7;3.5e6;0.3302;-123.0;1.3282;0.9027;0.6255;148.22482;-0.00012299999999999998
2-methyl-1,3-pentanediol;639.0;3.7450000000000005e6;1.2455;-123.0;1.4646;0.9146;1.7543;118.17416;-0.00012299999999999998
2-methyl-1-butanol;575.4;3.94e6;0.5877;0.2581;0.315;0.7505;2.6807;88.14818;1.7252099999999997e-5
2-methyl-1-butene;465.0;3.447e6;0.2341;0.2622;0.715;0.8759;1.1003;70.1329;2.11646e-5
2-methyl-1-heptene;567.0;2.6e6;0.3551;0.2584;0.4204;0.8438;2.0466;112.21264;3.32144e-5
2-methyl-1-hexanol;595.0;3.03e6;0.7733;0.2578;0.436;0.8131;3.0821;116.20134;1.80786e-5
2-methyl-1-hexene;538.0;2.87e6;0.3094;0.2615;0.2917;0.8274;2.3285;98.18606;2.7088899999999997e-5
2-methyl-1-nonene;616.0;2.19e6;0.4527;0.2534;0.5756;0.8522;2.4377;140.2658;3.614779999999999e-5
2-methyl-1-octene;593.0;2.38e6;0.4051;0.2539;0.4772;0.8404;2.0103;126.23922;4.1845100000000004e-5
2-methyl-1-pentanol;604.4;3.45e6;0.51;0.2564;0.1259;0.7637;3.4592;102.17476;2.5056899999999997e-5
2-methyl-1-pentene;505.0;3.19e6;0.2611;0.2645;0.21;0.8415;2.6912;84.15948;2.1558599999999997e-5
isobutanol~|~2-methyl-1-propanol;547.8;4.295e6;0.5857;0.253;1.663;1.0;0.7602;74.1216;1.90934e-5
2-methyl-2-aminobutane;526.0;3.66e6;0.3202;0.2787;0.2638;0.8331;2.5646;87.16342;5.667799999999999e-6
2-methyl-2-butanol~|~2-methylbutan-2-ol;543.7;3.71e6;0.482;0.2601;0.3644;0.2956;1.2403;88.14818;1.91701e-5
2-methyl-2-butene;470.0;3.4200000000000005e6;0.287;0.2561;0.3066;0.8606;2.3871;70.1329;2.45486e-5
2-methyl-2-pentenal~|~(z)-2-methyl-2-pentenal;605.0;3.26e6;0.3494;0.2401;0.2282;0.831;2.8834;98.143;4.77883e-5
2-methyl-2-pentene;514.0;3.16e6;0.2445;0.2608;0.898;0.8142;0.879;84.15948;2.6870999999999997e-5
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol;506.2;3.972e6;0.6152;0.256;2.2215;0.8878;0.5954;74.1216;1.66768e-5
2-methyl-3-ethylpentane~|~3-ethyl-2-methylpentane;567.1;2.7e6;0.3297;0.2626;0.2714;0.8437;2.6525;114.22852;2.7844599999999998e-5
2-methylbenzofuran~|~2-methylbenzo[b]furan;697.0;3.64e6;0.3752;-123.0;0.4172;0.8693;2.2663;132.15922;-0.00012299999999999998
2-methylbutanal~|~butanal, 2-methyl-~|~2-methylbutyraldehyde;543.2;3.829e6;0.3779;0.2634;0.2666;0.8353;2.8023;86.1323;1.695e-5
2-methylheptane;559.7;2.5e6;0.3795;0.2593;0.3855;0.8349;2.2192;114.22852;3.2005e-5
2-methylhexane;530.4;2.74e6;0.328;0.2633;0.3426;0.8322;2.2021;100.20194;2.5115999999999998e-5
2-methylnaphthalene;761.0;3.5e6;0.3781;0.2554;0.3564;0.853;2.4283;142.1971;3.6012099999999994e-5
2-methylnonane~|~2-methyl-nonane;610.0;2.12e6;0.4723;0.2549;0.377;0.8298;2.5458;142.28168;4.359239999999999e-5
2-methyloctane;582.87;2.31e6;0.4602;0.2589;1.2292;0.9343;0.923;128.2551;3.3971e-5
isohexane~|~2-methylpentane;497.7;3.04e6;0.2791;0.2686;0.298;0.8407;2.2679;86.17536;1.77166e-5
isobutanal~|~2-methylpropanal;507.0;4.1e6;0.3622;0.257;0.2676;0.8374;2.7644;72.10572;1.96487e-5
2-methylpyridine;621.0;4.6e6;0.299;0.2663;0.362;0.8382;2.0449;93.12648;1.59057e-5
2-methyltetrahydrofuran;537.0;3.758e6;0.2816;0.2506;0.2616;0.8496;2.5562;86.1323;3.0079899999999996e-5
2-methylthiacyclopentane~|~tetrahydro-2-methylthiophene;628.4;4.183e6;0.2489;-123.0;0.232;0.8474;2.5911;102.195;-0.00012299999999999998
2-methylthiophene;609.0;4.91e6;0.2389;0.2766;0.2188;0.8481;2.5801;98.16614;8.5488e-6
2-nitropropane;594.0;4.45e6;0.3836;0.2523;0.5594;0.9045;1.8538;89.09318;2.4259499999999997e-5
2-nonanol;649.5;2.541e6;0.6092;0.2596;0.3713;0.76;2.5679;144.2545;2.7195499999999997e-5
2-nonanone;652.5;2.41e6;0.4979;0.2489;1.4221;1.0;0.8237;142.23862;5.00783e-5
2-norbornene~|~bicyclo[2.2.1]hept-2-ene;583.0;3.9299999999999995e6;0.159;-123.0;0.1729;0.8479;2.4656;94.1543;-0.00012299999999999998
2-octanol;629.8;2.749e6;0.5881;-123.0;0.2875;0.7134;2.5465;130.22792;-0.00012299999999999998
2-octanone;632.7;2.64e6;0.4549;0.252;0.4827;0.836;2.4442;128.21204;3.6312699999999995e-5
2-pentanol~|~pentan-2-ol;561.0;3.7e6;0.555;-123.0;0.6706;0.356;1.2432;88.14818;-0.00012299999999999998
2-pentanone~|~pentan-2-one~|~methyln-propylketone;561.08;3.694e6;0.3433;0.2551;0.3544;0.8295;2.1917;86.1323;2.64905e-5
2-pentoxyethanol;641.2;3.036e6;0.6228;0.2606;0.3192;0.8141;3.245;132.20074;2.0281099999999998e-5
2-pentyne;519.0;4.0299999999999995e6;0.1752;0.2618;0.1157;0.8346;2.8162;68.11702;2.2303399999999997e-5
2-phenyl-1-propanol~|~b-methylbenzeneethanol;685.0;3.49e6;0.7643;0.2624;1.4772;0.9062;1.8365;136.19098;-1.3689e-6
2-phenyl-2-propanol~|~aa-dimethyl-benzenemethanol~|~.alpha.,.alpha.-dimethylbenzyl alcohol;660.0;3.49e6;0.6924;-123.0;0.6498;0.8688;2.2734;136.19098;-0.00012299999999999998
3-(methylthio)-propanal~|~3-(methylmercapto)propanal;650.0;4.0200000000000005e6;0.4168;0.243;0.2652;0.8289;2.9259;104.17;3.68949e-5
r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene;378.59;3.6090000000000005e6;0.2653;-123.0;0.5319;0.9254;1.6535;96.05113;-0.00012299999999999998
3,3,5-trimethylheptane;609.5;2.32e6;0.3847;0.2643;0.311;0.8437;2.6539;142.28168;2.93989e-5
3,3-diethylpentane;610.05;2.675e6;0.3381;0.2659;0.2932;0.8477;2.5857;128.2551;2.5478e-5
3,3-dimethyl-1-butene;480.0;3.29e6;0.2285;0.281;0.2193;0.851;2.5337;84.15948;6.6157e-6
3,3-dimethyl-2-butanone;564.0;3.3200000000000005e6;0.3273;0.2607;0.2495;0.8394;2.7287;100.15888;2.4588699999999997e-5
3,3-dimethylhexane;562.0;2.65e6;0.3202;0.2613;0.2905;0.8445;2.5088;114.22852;3.0061299999999996e-5
3,3-dimethylpentane;536.4;2.95e6;0.2679;0.2733;0.2667;0.8524;2.4746;100.20194;1.4858499999999998e-5
3,4-dichloroaniline;800.0;4.11e6;0.4678;0.2461;0.2961;0.828;2.9427;162.0166;3.93179e-5
3,4-dimethylhexane;568.8;2.69e6;0.3381;0.2636;0.2799;0.8442;2.6449;114.22852;2.6428999999999997e-5
3,4-xylenol~|~3,4-dimethylphenol;729.95;5.0e6;0.5763;0.2846;0.5904;0.8739;2.2053;122.1644;-6.1682e-6
3,5-dimethylbenzothiophene~|~3,5-dimethylbenzo[b]thiophene;784.8;3.464e6;0.4247;-123.0;0.5292;0.8861;2.0556;162.25;-0.00012299999999999998
3,5-xylenol~|~3,5-dimethylphenol;715.65;3.6e6;0.4852;0.2395;1.5827;1.0;0.7225;122.1644;4.75949e-5
3-amino-1-propanol;649.0;5.5e6;0.8273;-123.0;0.4311;0.8132;3.2662;75.10966;-0.00012299999999999998
3-chloropropene~|~3-chloro-1-propene;514.15;4.71e6;0.1478;0.2601;0.1304;0.8436;2.6546;76.5248;2.0615200000000002e-5
3-chloropropyltrimethoxysilane;647.3;2.134e6;0.5349;0.2414;1.6221;0.799;0.645;198.72;7.544979999999999e-5
3-ethyl-1-pentene;530.0;3.03e6;0.3019;0.2732;0.2009;0.8326;2.8538;98.18606;1.3459599999999999e-5
3-ethylheptane;590.0;2.39e6;0.408;0.2589;0.3022;0.8378;2.7558;128.2551;3.43093e-5
3-ethylhexane;565.5;2.61e6;0.3605;0.2596;0.2793;0.8403;2.7112;114.22852;3.11761e-5
3-ethyl-o-xylene~|~1-ethyl-2,3-dimethylbenzene;680.0;2.88e6;0.3621;0.2509;0.481;0.791;1.6989;134.21816;4.64229e-5
3-ethylpentane;540.6;2.89e6;0.3091;0.2664;0.327;0.8409;2.2553;100.20194;2.14843e-5
3-heptanol;605.4;3.073e6;0.5511;0.2621;0.2185;0.803;3.5243;116.20134;1.93597e-5
3-hexanone;582.82;3.3200000000000005e6;0.3801;0.2559;0.3735;0.8329;2.2561;100.15888;2.85049e-5
3-hexyne;544.0;3.5299999999999995e6;0.2183;0.2606;1.3466;0.6638;0.5945;82.1436;2.6863299999999997e-5
3-methoxypropionitrile~|~3-methoxypropanenitrile;638.0;3.6299999999999995e6;0.4597;0.2177;0.752;0.9031;1.5491;85.10448;6.26513e-5
3-methyl-1,2-butadiene;490.0;3.8299999999999995e6;0.1874;0.2637;1.3644;1.0;0.5374;68.11702;2.0408000000000002e-5
3-methyl-1,4-pentadiene;497.0;3.49e6;0.2468;0.273;0.2566;0.854;2.4857;82.1436;1.2311299999999998e-5
isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol;577.2;3.9299999999999995e6;0.59;-123.0;3.0727;0.8078;0.4371;88.14818;-0.00012299999999999998
3-methyl-1-butene;452.7;3.5299999999999995e6;0.2097;0.2744;0.4264;0.8775;1.6745;70.1329;1.12803e-5
3-methyl-1-butyne;463.2;4.2e6;0.3081;0.2891;0.5182;0.9116;1.783;68.11702;-2.4655e-6
3-methyl-1-hexene;528.0;2.95e6;0.3057;0.2691;0.2307;0.8385;2.7441;98.18606;1.78001e-5
3-methyl-1-pentanol;588.0;3.4e6;0.723;0.2546;0.5306;0.8409;2.7015;102.17476;1.98857e-5
3-methyl-1-pentene;495.0;3.29e6;0.264;0.2742;0.3844;0.8845;2.0751;84.15948;1.14106e-5
3-methyl-2-butanol;556.1;3.8700000000000005e6;0.5016;-123.0;0.7218;0.3021;1.1282;88.14818;-0.00012299999999999998
3-methyl-2-pentanone;573.0;3.3200000000000005e6;0.3886;0.2586;0.7439;0.9014;1.4077;100.15888;2.50765e-5
3-ethyl-3-methylpentane~|~3-methyl-3-ethylpentane;576.5;2.81e6;0.305;0.2681;0.2907;0.8526;2.5074;114.22852;2.14507e-5
(z)-3-methyl-2-pentene~|~3-methyl-cis-2-pentene;515.0;3.29e6;0.2585;0.2646;1.0384;0.9567;0.8235;84.16;2.15588e-5
3-methylcyclopentene;526.0;4.1299999999999995e6;0.2296;0.278;1.1761;1.0;0.7285;82.1436;7.2853e-6
3-methylheptane;563.6;2.55e6;0.3723;0.2588;0.3928;0.8381;2.1827;114.22852;3.25005e-5
3-methylhexanal~|~(.+-.)-3-methylhexanal;595.0;2.85e6;0.457;0.2498;0.4584;0.834;2.1768;114.18546;3.82977e-5
3-methylhexane~|~3-methyl-hexane;535.2;2.81e6;0.3204;0.2615;0.3398;0.8348;2.2045;100.20194;2.68965e-5
3-methylnonane~|~3-methyl-nonane;613.0;2.16e6;0.4649;0.2544;0.4101;0.8325;2.3866;142.28168;4.42254e-5
3-methyloctane;590.15;2.34e6;0.4123;0.2581;0.4069;0.8362;2.253;128.2551;3.61634e-5
3-methylpentane;504.6;3.12e6;0.2702;0.2674;0.2763;0.8451;2.375;86.17536;1.8896599999999998e-5
3-picoline~|~3-methylpyridine;645.0;4.66e6;0.2978;0.2611;0.2821;0.8512;2.5121;93.12648;2.04285e-5
methylthiophene~|~3-methyl thiophene;613.0;4.91e6;0.2397;0.2737;0.2192;0.8478;2.5855;98.16614;1.0762299999999999e-5
(e)-3-methyl-2-pentene~|~3-methyl-trans-2-pentene;517.0;3.19e6;0.2627;0.2578;0.4028;0.7948;1.6334;84.16;2.8683499999999997e-5
3-nitrobenzotrifluoride~|~1-nitro-3-(trifluoromethyl)-benzene;667.0;2.8e6;0.5364;0.2322;0.5744;0.8766;2.1712;191.10737;6.32602e-5
3-pentanol;559.6;3.714e6;0.5143;0.2545;1.7207;0.0174;1.0176;88.14818;2.3925999999999998e-5
3-pentanone~|~pentan-3-one~|~diethylketone;560.95;3.74e6;0.3448;0.2569;0.368;0.8274;2.1246;86.1323;2.4647899999999998e-5
benzenepropanol~|~3-phenyl-1-propanol;694.0;3.4299999999999995e6;0.8033;0.2586;1.6027;0.8982;1.9198;136.19098;-5.765e-7
4-chloro-3-nitrobenzotrifluoride~|~1-chloro-2-nitro-4-(trifluoromethyl)-benzene;686.0;2.74e6;0.6038;-123.0;0.6236;0.8765;2.1728;225.55243;-0.00012299999999999998
4-ethyl-m-xylene~|~1-ethyl-2,4-dimethylbenzene;665.0;2.88e6;0.414;0.2552;0.3275;0.8426;2.6722;134.21816;3.6816099999999995e-5
4-ethyl-o-xylene~|~4-ethyl-1,2-dimethylbenzene~|~1-ethyl-3,4-dimethylbenzene;667.0;2.88e6;0.4114;0.2543;0.3127;0.8398;2.72;134.21816;3.8170099999999996e-5
4-methyl-1-hexene;534.0;3.04e6;0.3024;0.2716;0.2294;0.8388;2.7383;98.18606;1.50318e-5
4-methyl-1-pentene;496.0;3.2200000000000005e6;0.2389;0.2716;0.2182;0.8477;2.5861;84.15948;1.5203099999999998e-5
4-methyl-2-pentanol;574.4;3.4700000000000005e6;0.573;0.2672;1.4218;1.0;0.9023;102.17476;1.11842e-5
cis-4-methyl-2-pentene~|~(z)-4-methyl-2-pentene~|~4-methyl-cis-2-pentene;499.0;3.2200000000000005e6;0.2442;0.2699;0.1961;0.8412;2.6955;84.16;1.68094e-5
4-methylcyclopentene;527.0;4.1299999999999995e6;0.2357;0.2799;1.1836;1.0;0.7213;82.1436;5.9269e-6
4-methylheptane;561.7;2.54e6;0.3707;0.2592;0.3992;0.8361;2.1424;114.22852;3.21045e-5
4-methylnonane~|~4-methyl-nonane;610.0;2.16e6;0.4651;0.2573;0.5212;0.813;1.9302;142.28168;3.94748e-5
4-methyloctane;587.65;2.34e6;0.4129;0.2581;0.4035;0.8314;2.2388;128.2551;3.60674e-5
4-methylpyridine;646.15;4.66e6;0.301;0.2621;0.2748;0.8497;2.5538;93.12648;1.96001e-5
(e)-4-methyl-2-pentene~|~4-methyl-trans-2-pentene;501.0;3.2200000000000005e6;0.2552;0.2696;0.2036;0.841;2.6995;84.16;1.67094e-5
5-ethylidene-2-norbornene~|~cis-5-ethylidenebicyclo[2.2.1]hept-2-ene;629.0;3.4e6;0.3141;0.2653;0.2494;0.8415;2.6913;120.19158;2.2195199999999997e-5
5-ethyl-m-xylene~|~1-ethyl-3,5-dimethylbenzene;655.0;2.75e6;0.4169;0.2513;0.3574;0.8486;2.5722;134.21816;4.2993e-5
5-methyl-1-hexene;528.0;2.87e6;0.3105;0.2649;0.4905;0.8647;1.7589;98.18606;2.2547699999999998e-5
5-methyl-2-hexanone;601.0;2.97e6;0.4344;0.2568;0.388;0.8523;2.5131;114.18546;2.94541e-5
5-methylnonane~|~5-methyl-nonane;610.0;2.16e6;0.4562;0.256;0.3566;0.8419;2.6844;142.28168;4.1350299999999996e-5
5-nonanone;640.0;2.32e6;0.5137;0.2435;0.3758;0.8376;2.7599;142.23862;5.7332799999999994e-5
6-aminohexanamide;807.8;3.456e6;0.6975;0.248;0.7111;0.8383;2.0086;130.18816;3.7004199999999994e-5
6-methyl-1-heptene;558.0;2.6e6;0.3555;0.2601;0.3605;0.8498;2.3422;112.21264;3.02466e-5
7-methyl-1-octene;579.0;2.38e6;0.4045;-123.0;0.4435;0.8264;1.852;126.23922;-0.00012299999999999998
8-quinolinol~|~8-hydroxyquinoline;788.0;4.36e6;0.5223;0.2626;0.3052;0.8229;3.0475;145.15798;1.79629e-5
8-methyl-1-nonene;619.0;2.19e6;0.4523;-123.0;0.6059;0.8533;2.2614;140.27;-0.00012299999999999998
8-methylquinoline;787.0;4.3e6;0.3582;0.2736;0.4272;0.8745;2.198;143.18516;1.0983e-5
acenaphthene;803.15;3.1e6;0.3811;0.2315;1.2086;1.0;0.8581;154.2078;7.751499999999999e-5
acetal~|~1,1-diethoxyethane;539.7;3.2200000000000005e6;0.4869;0.2832;0.6019;0.8931;1.9762;118.17416;-3.2387e-6
acetaldoxime;568.0;6.04e6;0.6384;0.247;0.5167;0.8495;2.5575;59.0672;1.5975e-5
acetic acid;591.95;5.786e6;0.4665;0.2214;0.3878;0.8485;2.5726;60.05196;3.43712e-5
acetic anhydride~|~ethanoic anhydride;606.0;4.0e6;0.4553;0.2438;0.5131;0.8051;1.8892;102.08864;3.31982e-5
acetone~|~propanone;508.2;4.701e6;0.3065;0.2442;0.3207;0.8547;2.363;58.07914;2.6151199999999998e-5
acetonitrile;545.5;4.85e6;0.3419;0.1986;0.5589;0.9137;1.7627;41.05192;5.3262599999999994e-5
acetophenone~|~methyl phenyl ketone;709.6;4.01e6;0.383;0.2567;0.3128;0.8441;2.6467;120.14852;2.75958e-5
acetyl chloride;508.0;5.74e6;0.334;0.2664;0.5555;0.916;1.7405;78.49762;9.7752e-6
acetylene;308.3;6.138e6;0.1912;0.271;0.3155;0.8837;2.0846;162.92687;5.6067e-6
acridine;905.0;3.64e6;0.44;0.2547;0.3299;0.8396;2.7242;179.21726;3.92802e-5
acrolein~|~2-propenal;506.0;5.0e6;0.3198;0.2366;0.552;0.9185;1.7172;56.06326;2.85363e-5
acrylamide~|~2-propenamide;776.0;5.73e6;0.4863;-123.0;1.3832;0.9331;1.0012;71.0779;-0.00012299999999999998
acrylicacid~|~propenoic acid;615.0;5.66e6;0.5383;0.245;0.4769;0.8371;2.3486;72.06266;2.14768e-5
air;132.45;3.774e6;0.0;0.2934;0.1593;0.8955;1.9492;28.946;1.1007e-6
allyl acetate~|~aceticacid-2-propenylester;559.0;3.6799999999999995e6;0.3879;0.2566;0.578;0.9064;1.8351;100.11582;2.34987e-5
2-propenol~|~2-propen-1-ol~|~allyl alcohol;545.1;5.62e6;0.5697;0.2505;0.3259;0.8212;3.0855;58.07914;1.56537e-5
allylamine~|~2-propen-1-amine;505.0;5.17e6;0.3265;0.2575;0.2456;0.8383;2.7481;57.09438;1.58936e-5
