Clapeyron Database File
DIPPR101 Like Parameters for molar volume (from Perry)
CAS,species,A,B,C,D,E,Tmin,Tmax
79-16-3,methylacetamide~|~n-methylacetamide,79.128,-9523.9,-7.7355,3.1616e-18,6.0,301.15,718.0
79-20-9,methylacetate~|~methyl ethanoate,61.267,-5618.6,-5.6473,2.108e-17,6.0,175.15,506.55
79-24-3,nitroethane,75.632,-7202.3,-7.6464,1.825e-17,6.0,183.63,593.0
79-29-8,"2,3-dimethylbutane",77.161,-5691.1,-8.501,8.0325e-6,2.0,145.19,500.0
79-31-2,isobutyricacid~|~2-methylpropanoic acid,110.38,-10540.0,-12.262,1.431e-17,6.0,227.15,605.0
79-41-4,methacrylicacid~|~2-methyl-2-propenoic acid,109.53,-10410.0,-12.289,3.199e-6,2.0,288.15,662.0
80-62-6,methyl methacrylate,107.36,-8085.3,-12.72,8.3307e-6,2.0,224.95,566.0
84-15-1,"o-terphenyl~|~1,1'-2',1''-terphenyl",110.52,-14045.0,-11.861,2.2121e-18,6.0,329.35,857.0
85-01-8,phenanthrene,72.958,-10943.0,-6.7902,1.085e-18,6.0,372.38,869.0
85-44-9,phthalic anhydride,126.5,-12551.0,-15.002,7.7521e-6,2.0,404.15,791.0
88-09-5,2-ethylbutyricacid~|~2-ethylbutanoic acid,90.464,-10243.0,-9.2836,5.2573e-18,6.0,258.15,655.0
91-20-3,naphthalene,62.964,-8137.5,-5.6317,2.2675e-18,6.0,353.43,748.4
92-52-4,biphenyl,77.314,-9910.4,-7.5079,2.2385e-18,6.0,342.2,773.0
93-58-3,methyl benzoate,84.828,-9334.7,-8.7063,6.1723e-18,6.0,260.75,693.0
93-89-0,ethyl benzoate,52.923,-7531.7,-4.2347,1.1835e-6,2.0,238.45,698.0
95-47-6,"oxylene~|~o-xylene~|~1,2-dimethylbenzene",90.405,-7955.2,-10.086,5.9594e-6,2.0,247.98,630.3
95-48-7,o-cresol~|~2-methylphenol,210.88,-13928.0,-29.483,0.025182,1.0,304.19,697.55
95-50-1,"o-dichloro benzene~|~1,2-dichlorobenzene",77.105,-8111.1,-7.8886,2.7267e-6,2.0,256.15,705.0
95-63-6,"1,2,4-trimethylbenzene",85.301,-8215.9,-9.2166,4.7979e-6,2.0,229.33,649.1
96-22-0,3-pentanone~|~pentan-3-one~|~diethylketone,44.286,-5415.1,-3.0913,1.858e-18,6.0,234.18,560.95
96-33-3,methylacrylate~|~methyl propenoate,107.69,-7027.2,-13.916,0.015185,1.0,196.32,536.0
96-37-7,methylcyclopentane,55.368,-5149.8,-5.0136,3.222e-6,2.0,130.73,532.7
98-82-8,cumene~|~isopropylbenzene,102.81,-8674.6,-11.922,7.0048e-6,2.0,177.14,631.0
98-83-9,alpha-methylstyrene~|~(1-methylethenyl)benzene,56.485,-6954.2,-4.7889,2.7753e-18,6.0,249.95,654.0
99-35-4,"1,3,5-trinitrobenzene",506.33,-37483.0,-69.22,2.7381e-5,2.0,398.4,846.0
100-21-0,"terephthalic acid~|~1,4-benzenedicarboxylicacid",248.72,-32238.0,-30.009,4.795e-6,2.0,700.15,1113.0
100-41-4,ethylbenzene,89.063,-7733.7,-9.917,5.986e-6,2.0,178.2,617.15
100-42-5,styrene,105.93,-8685.9,-12.42,7.5583e-6,2.0,242.54,636.0
100-47-0,benzonitrile,138.5,-11195.0,-17.085,9.5641e-6,2.0,260.4,699.35
100-51-6,benzylalcohol~|~benzenemethanol,100.68,-11059.0,-10.709,3.0582e-18,6.0,257.85,720.15
100-53-8,benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene,118.02,-10527.0,-13.91,6.4794e-6,2.0,243.95,718.0
100-66-3,anisole~|~methyl phenyl ether,128.06,-9307.7,-16.693,0.014919,1.0,235.65,645.6
101-84-8,diphenyl ether,59.969,-8585.5,-5.1538,1.9983e-18,6.0,300.03,766.8
103-65-1,propylbenzene~|~n-propylbenzene,91.379,-8276.8,-10.176,5.624e-6,2.0,173.55,638.35
103-71-9,phenyl isocyanate,86.779,-8101.8,-9.5303,6.1367e-6,2.0,243.15,653.0
104-51-8,butylbenzene~|~n-butylbenzene,101.22,-9255.4,-11.538,5.9208e-6,2.0,185.3,660.5
105-37-3,ethylpropionate~|~ethyl propanoate,105.64,-8007.0,-12.477,9.0e-6,2.0,199.25,546.0
105-54-4,ethylbutyrate~|~ethyl butanoate~|~ethyl n-butyrate,57.661,-6346.5,-5.032,8.2534e-18,6.0,175.15,571.0
106-35-4,3-heptanone,78.463,-8077.2,-7.9062,8.0521e-18,6.0,234.15,606.6
106-42-3,"pxylene~|~p-xylene~|~1,4-dimethylbenzene",88.72,-7741.2,-9.8693,6.077e-6,2.0,286.41,616.2
106-44-5,p-cresol~|~4-methylphenol,118.53,-11957.0,-13.293,8.6988e-18,6.0,307.93,704.65
106-46-7,"p-dichlorobenzene~|~1,4-dichlorobenzene",88.31,-8463.4,-9.6308,4.5833e-6,2.0,326.14,684.75
