Clapeyron Database File
PCPSAFT Assoc Parameters; Rehner et al. (2023) [csvtype = assoc]
species1,site1,species2,site2,epsilon_assoc,bondvol
ethanol,e,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,H,1385.654315,0.05533
ethanol,e,methylacetate~|~methyl ethanoate,H,1458.820307,0.05533
ethanol,e,furfural~|~2-furaldehyde,H,1628.988655,0.05533
ethanol,e,diisopropyl ether~|~di-isopropyl ether,H,1096.182306,0.05533
ethanol,e,4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,H,1764.123838,0.05533
ethanol,e,3-picoline~|~3-methylpyridine,H,2070.207228,0.05533
ethanol,e,4-methylpyridine,H,2107.407235,0.05533
ethanol,e,nitromethane,H,1748.47452,0.05533
ethanol,e,"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",H,1659.545379,0.05533
ethanol,e,pyridine,H,2075.015809,0.05533
ethanol,e,thf~|~tetrahydrofuran,H,1682.558348,0.05533
ethanol,e,triethylamine,H,1772.744058,0.05533
ethanol,e,vinyl acetate,H,1005.978035,0.05533
ethanol,e,nitroethane,H,1595.597315,0.05533
ethanol,e,methylbutyl ether~|~butyl methyl ether~|~methyl-n-butylether~|~methyl n-butyl ether,H,1010.980912,0.05533
ethanol,e,ethylpropionate~|~ethyl propanoate~|~propanoic acid ethyl ester,H,1487.38369,0.05533
ethanol,e,isoamylacetate~|~isopentyl acetate~|~3-methylbutyl ethanoate,H,1561.888587,0.05533
ethanol,e,butylpropionate~|~butyl propanoate~|~n-butylpropionate~|~propanoic acid butyl ester,H,1464.735928,0.05533
ethanol,e,"1,2-dimethoxyethane",H,1648.185154,0.05533
ethanol,e,"n,n-dimethylacetamide~|~n,n-dimethylethanamide",H,2591.325383,0.05533
ethanol,e,acetic anhydride~|~ethanoic anhydride,H,1322.520826,0.05533
ethanol,e,propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,H,1420.874914,0.05533
ethanol,e,cyclohexanone,H,1804.668883,0.05533
ethanol,e,methyl methacrylate~|~methacrylic acid methyl ester,H,1218.8301,0.05533
ethanol,e,n-methylpyrrolidone~|~n-methyl-2-pyrrolidone~|~methyl-2-pyrrolidinone~|~n-methyl-2-pyrrolidinone,H,2544.517692,0.05533
ethanol,e,3-pentanone~|~pentan-3-one~|~diethylketone,H,1666.06559,0.05533
ethanol,e,butylformate~|~n-butyl formate~|~butyl methanoate~|~n-butylmethanoate~|~formic acid butyl ester,H,1284.773164,0.05533
ethanol,e,methylformate~|~methyl methanoate,H,825.0756891,0.05533
ethanol,e,2-methyltetrahydrofuran,H,1530.682847,0.05533
ethanol,e,crotonaldehyde,H,2237.6391,0.05533
ethanol,e,methyl benzoate~|~benzoic acid methyl ester,H,1033.010137,0.05533
ethanol,e,butanal~|~1-butanal~|~butyraldehyde,H,2001.115401,0.05533
ethanol,e,ethyl acrylate~|~ethyl propenoate~|~2-propenoicacidethylester,H,1110.531138,0.05533
ethanol,e,propionitrile~|~propanenitrile,H,2230.411984,0.05533
ethanol,e,ethylbutyrate~|~ethyl butanoate~|~ethyl n-butyrate,H,1312.727092,0.05533
ethanol,e,isobutyl acetate~|~2-methylpropyl ethanoate~|~aceticacid-2-methylpropylester,H,1377.786892,0.05533
ethanol,e,isopropylacetate~|~1-methylethyl ethanoate~|~acetic acid isopropyl ester,H,1407.226512,0.05533
ethanol,e,"1,3-dioxolane",H,1179.603604,0.05533
ethanol,e,propanal~|~1-propanal~|~propionaldehyde,H,2315.762489,0.05533
ethanol,e,methylpropionate~|~methyl propanoate,H,1322.351871,0.05533
ethanol,e,amyl acetate~|~pentylacetate~|~n-pentylacetate~|~pentyl ethanoate,H,1445.149066,0.05533
ethanol,e,propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate~|~formic acid propyl ester,H,1207.627863,0.05533
ethanol,e,butylbutyrate~|~butyl butanoate~|~n-butyl n-butyrate~|~butanoic acid butyl ester,H,1401.985651,0.05533
ethanol,e,3-methyl-2-butanone~|~methyl isopropyl ketone,H,1754.177823,0.05533
ethanol,e,propylpropionate~|~propyl propanoate~|~n-propyl propanoate~|~n-propyl propionate~|~propanoic acid propyl ester,H,1222.361773,0.05533
ethanol,e,dimethyl carbonate~|~carbonic acid dimethyl ester,H,964.2044198,0.05533
ethanol,e,sulfolane,H,1370.335529,0.05533
ethanol,e,"n,n-diethylformamide",H,2207.324725,0.05533
ethanol,e,dimethyl ether,H,1698.609455,0.05533
ethanol,e,propylbutyrate~|~n-propylbutyrate~|~propyl butanoate~|~n-propylbutanoate~|~n-propyl n-butyrate~|~butanoic acid propyl ester,H,1363.814267,0.05533
ethanol,e,gamma-butyrolactone~|~.gamma.-butyrolactone,H,1910.377603,0.05533
ethanol,e,"diisopropyl ketone~|~di-isopropyl ketone~|~2,4-dimethyl-3-pentanone",H,1672.515437,0.05533
ethanol,e,ethyl benzoate,H,962.5371598,0.05533
ethanol,e,methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,H,1270.260912,0.05533
ethanol,e,"propylenecarbonate~|~4-methyl-1,3-dioxolan-2-one",H,1680.197739,0.05533
ethanol,e,pentanal~|~1-pentanal~|~valeraldehyde,H,1879.897336,0.05533
ethanol,e,thp~|~tetrahydropyran,H,1361.307484,0.05533
ethanol,e,"acetylacetone~|~2,4-pentanedione",H,715.184268,0.05533
ethanol,e,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane~|~methyl tert-butyl ether~|~mtbe,H,1455.250446,0.05533
ethanol,e,tame~|~methyl-tert-amylether~|~methyl tert-amyl ether~|~methyl tert-pentyl ether~|~2-methoxy-2-methylbutane,H,1178.882998,0.05533
ethanol,e,hexylacetate~|~n-hexylacetate~|~hexyl ethanoate,H,1200.681931,0.05533
ethanol,e,ethyl valerate~|~ethyl pentanoate,H,961.8140451,0.05533
ethanol,e,butyronitrile~|~butanenitrile~|~n-butyronitrile,H,1887.512014,0.05533
ethanol,e,heptyl acetate~|~n-heptyl acetate~|~heptyl ethanoate~|~aceticacidheptylester,H,1484.941271,0.05533
ethanol,e,ethylal~|~diethoxymethane,H,1083.650142,0.05533
ethanol,e,"acetal~|~1,1-diethoxyethane",H,1414.621439,0.05533
ethanol,e,triethoxymethane~|~triethylorthoformate~|~ethyl orthomethanoate,H,1559.661043,0.05533
ethanol,e,ethylsuccinate~|~diethyl succinate~|~diethyl butanedioate,H,1405.926628,0.05533
ethanol,e,tetraethoxysilane,H,1261.545027,0.05533
ethanol,e,sulfur dioxide,H,1789.787831,0.05533
ethanol,e,sec-butylacetate~|~1-methylpropyl ethanoate,H,1325.133319,0.05533
ethanol,e,etbe~|~tert-butyl ethyl ether~|~ethyl tert-butyl ether~|~2-ethoxy-2-methylpropane~|~2-ethoxy-2-methyl-propane,H,1289.956459,0.05533
ethanol,e,gamma-valerolactone~|~tetrahydro-5-methyl-2-furanone~|~dihydro-5-methyl-2(3h)-furanone,H,2239.429908,0.05533
ethanol,e,diethyl carbonate~|~carbonic acid diethyl ester,H,1073.757141,0.05533
ethanol,e,"butoxide~|~ethyloxirane~|~1,2-epoxybutane",H,1447.927521,0.05533
ethanol,e,methyl silicate~|~tetramethoxysilane~|~silicon tetramethoxide,H,1215.020948,0.05533
ethanol,e,ethyl hexanoate~|~hexanoic acid ethyl ester,H,1512.407419,0.05533
ethanol,e,"1,8-cineole~|~1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",H,1137.661852,0.05533
ethanol,e,ethyl isobutyrate~|~ethyl 2-methylpropanoate~|~2-methylpropanoicacidethylester,H,1274.068323,0.05533
ethanol,e,ethyl myristate~|~ethyl tetradecanoate~|~tetradecanoic acid ethyl ester,H,2024.406455,0.05533
ethanol,e,ethyl hexadecanoate~|~hexadecanoicacid-ethylester~|~hexadecanoic acid ethyl ester,H,949.0084793,0.05533
ethanol,e,"2-(difluoromethoxy)-1,1,1-trifluoroethane~|~1,1,1-trifluoro-2-(difluoromethoxy)ethane",H,894.3854871,0.05533
ethanol,e,"r356mmz~|~1,1,1,3,3,3-hexafluoro-2-methoxypropane~|~2-methoxy-1,1,1,3,3,3-hexafluoropropane",H,1192.459955,0.05533
ethanol,e,"1,1,1,4,4,5,5-heptafluoro-3-oxa-pentane~|~2,2,2-trifluoroethyl 1,1,2,2-tetrafluoroethyl ether",H,1257.996134,0.05533
diethyl ether,e,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,H,2105.454329,0.01435
diethyl ether,e,methanol,H,1410.551291,0.08716
diethyl ether,e,propanol~|~1-propanol~|~propan-1-ol,H,1243.232908,0.03853
diethyl ether,e,water,H,1057.670652,0.35319
oxirane~|~ethyleneoxide,e,lauric acid~|~dodecanoic acid~|~n-dodecanoic acid,H,1096.806793,0.00271
oxirane~|~ethyleneoxide,e,"tetraethylene glycol~|~3,6,9-trioxa-1,11-undecanediol~|~2,2'-oxybis(2,1-ethanediyloxy)bisethanol",H,3729.762172,0.13605
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,ethylacetate~|~ethyl ethanoate,H,1571.375504,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,hydrogen cyanide,H,1943.532771,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,H,1543.813776,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,furfural~|~2-furaldehyde,H,1623.865474,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,H,1842.303038,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",H,1780.644163,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,butylpropionate~|~butyl propanoate~|~n-butylpropionate~|~propanoic acid butyl ester,H,1537.196348,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,n-methylpyrrolidone~|~n-methyl-2-pyrrolidone~|~methyl-2-pyrrolidinone~|~n-methyl-2-pyrrolidinone,H,2016.881773,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,isobutyl acetate~|~2-methylpropyl ethanoate~|~aceticacid-2-methylpropylester,H,1502.575317,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,methylpropionate~|~methyl propanoate,H,1551.896031,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,2-hexanone,H,1811.900493,0.04087
2-propenol~|~2-propen-1-ol~|~allyl alcohol,e,allylcyanide~|~3-butenenitrile~|~vinylacetonitrile,H,1868.24571,0.04087
formic acid~|~methanoic acid,e,butanone~|~2-butanone~|~methyl ethyl ketone,H,2429.913531,0.60493
formic acid~|~methanoic acid,e,dibutyl ether~|~di-n-butylether,H,1473.76351,0.60493
formic acid~|~methanoic acid,e,isoamyl formate~|~3-methylbutyl methanoate,H,1419.773212,0.60493
formic acid~|~methanoic acid,e,furfural~|~2-furaldehyde,H,1767.634818,0.60493
formic acid~|~methanoic acid,e,diisopropyl ether~|~di-isopropyl ether,H,1649.830854,0.60493
formic acid~|~methanoic acid,e,methylbutyl ether~|~butyl methyl ether~|~methyl-n-butylether~|~methyl n-butyl ether,H,1653.243855,0.60493
formic acid~|~methanoic acid,e,"1,2-dimethoxyethane",H,2227.644131,0.60493
formic acid~|~methanoic acid,e,n-methylpyrrolidone~|~n-methyl-2-pyrrolidone~|~methyl-2-pyrrolidinone~|~n-methyl-2-pyrrolidinone,H,8606.043732,0.60493
formic acid~|~methanoic acid,e,butylformate~|~n-butyl formate~|~butyl methanoate~|~n-butylmethanoate~|~formic acid butyl ester,H,1504.59894,0.60493
formic acid~|~methanoic acid,e,methylformate~|~methyl methanoate,H,1661.912543,0.60493
formic acid~|~methanoic acid,e,2-methyltetrahydrofuran,H,2395.935585,0.60493
formic acid~|~methanoic acid,e,dipropyl ether~|~di-n-propylether,H,1463.220515,0.60493
formic acid~|~methanoic acid,e,1-ethoxybutane~|~butyl ethyl ether~|~ethyl butyl ether~|~n-butyl ethyl ether,H,1756.745524,0.60493
formic acid~|~methanoic acid,e,propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate~|~formic acid propyl ester,H,1648.288614,0.60493
formic acid~|~methanoic acid,e,gamma-valerolactone~|~tetrahydro-5-methyl-2-furanone~|~dihydro-5-methyl-2(3h)-furanone,H,2150.804145,0.60493
formic acid~|~methanoic acid,e,amyl formate~|~pentyl methanoate~|~formicacidpentylester,H,1540.084631,0.60493
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,2-butanol~|~butan-2-ol,H,1144.611633,0.00622
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,H,974.0534372,0.01435
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,2-propanol~|~propan-2-ol~|~isopropanol,H,371.3467923,0.03508
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,methanol,H,1281.515025,0.08716
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,isobutanol~|~2-methyl-1-propanol,H,1297.441389,0.00677
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,propanol~|~1-propanol~|~propan-1-ol,H,840.3817387,0.03853
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,H,997.3097834,0.00548
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,water,H,271.0100897,0.35319
ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,e,methylaniline~|~n-methylaniline,H,931.9510145,0.09951
aniline,e,"n,n-dimethylaniline~|~n n-dimethylaniline",H,889.5078929,0.02373
aniline,e,dimethyl ether,H,1426.43804,0.02373
anisole~|~methoxybenzene~|~methyl phenyl ether,e,butyric acid~|~butanoic acid~|~n-butyric acid~|~n-butanoic acid,H,465.077806,0.30395
anisole~|~methoxybenzene~|~methyl phenyl ether,e,"2,4-xylenol~|~2,4-dimethylphenol",H,2062.540056,0.00463
2-methylpyridine,e,2-butanol~|~butan-2-ol,H,2232.217915,0.00622
2-methylpyridine,e,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,H,2061.450195,0.01435
2-methylpyridine,e,2-propanol~|~propan-2-ol~|~isopropanol,H,1501.161405,0.03508
2-methylpyridine,e,methanol,H,2138.416901,0.08716
2-methylpyridine,e,isobutanol~|~2-methyl-1-propanol,H,2372.095012,0.00677
2-methylpyridine,e,propanol~|~1-propanol~|~propan-1-ol,H,1757.870508,0.03853
2-methylpyridine,e,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,H,1954.169257,0.00548
2-methylpyridine,e,water,H,832.84765,0.35319
ethylacetate~|~ethyl ethanoate,e,"2,3-butanediol",H,2383.481389,0.03413
ethylacetate~|~ethyl ethanoate,e,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,H,1324.813767,0.01435
ethylacetate~|~ethyl ethanoate,e,2-butoxime~|~2-butanone oxime~|~methyl ethyl ketoxime,H,2867.006043,0.01161
ethylacetate~|~ethyl ethanoate,e,2-propanol~|~propan-2-ol~|~isopropanol,H,964.958565,0.03508
ethylacetate~|~ethyl ethanoate,e,methanol,H,1402.168015,0.08716
ethylacetate~|~ethyl ethanoate,e,2-methoxyethanol~|~2-methoxyethan-1-ol,H,846.6229645,0.22091
ethylacetate~|~ethyl ethanoate,e,isobutanol~|~2-methyl-1-propanol,H,1735.659072,0.00677
ethylacetate~|~ethyl ethanoate,e,1-pentanol~|~pentan-1-ol,H,1449.074792,0.01039
ethylacetate~|~ethyl ethanoate,e,propanol~|~1-propanol~|~propan-1-ol,H,1134.890106,0.03853
ethylacetate~|~ethyl ethanoate,e,water,H,206.6683432,0.35319
ethylacetate~|~ethyl ethanoate,e,methylformamide~|~n-methylformamide,H,724.6627261,0.9
ethylacetate~|~ethyl ethanoate,e,isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,H,1655.501623,0.00381
ethylacetate~|~ethyl ethanoate,e,ethoxyethanol~|~2-ethoxyethanol~|~2-ethoxyethan-1-ol,H,409.1777931,0.53446
ethylacetate~|~ethyl ethanoate,e,"propyleneglycol~|~1,2-propanediol~|~1,2-propylene glycol",H,943.3119433,0.103
ethylacetate~|~ethyl ethanoate,e,methylaniline~|~n-methylaniline,H,1118.714087,0.09951
ethylacetate~|~ethyl ethanoate,e,pyrrolidine,H,515.5674596,0.07367
ethylacetate~|~ethyl ethanoate,e,2-methyl-1-butanol,H,1861.502668,0.00539
ethylacetate~|~ethyl ethanoate,e,tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol,H,1730.289007,0.00144
ethylacetate~|~ethyl ethanoate,e,2-ethylhexanoic acid~|~2-ethyl-hexanoic acid,H,1927.697693,0.00982
ethylacetate~|~ethyl ethanoate,e,2-pyrrolidon~|~2-pyrrolidone~|~2-pyrrolidinone,H,516.6365755,0.9
2-butanol~|~butan-2-ol,e,nitrobenzene,H,2063.029686,0.00622
2-butanol~|~butan-2-ol,e,"dioxane~|~p-dioxane~|~1,4-dioxane",H,1634.495587,0.00622
2-butanol~|~butan-2-ol,e,"2,6-dimethylpyridine",H,2142.362281,0.00622
2-butanol~|~butan-2-ol,e,furfural~|~2-furaldehyde,H,1720.006413,0.00622
2-butanol~|~butan-2-ol,e,diisopropyl ether~|~di-isopropyl ether,H,1703.555058,0.00622
2-butanol~|~butan-2-ol,e,3-picoline~|~3-methylpyridine,H,2253.039021,0.00622
2-butanol~|~butan-2-ol,e,pyridine,H,2241.242475,0.00622
2-butanol~|~butan-2-ol,e,thf~|~tetrahydrofuran,H,2087.40985,0.00622
2-butanol~|~butan-2-ol,e,triethylamine,H,2029.778065,0.00622
2-butanol~|~butan-2-ol,e,butylpropionate~|~butyl propanoate~|~n-butylpropionate~|~propanoic acid butyl ester,H,1676.279677,0.00622
2-butanol~|~butan-2-ol,e,butylformate~|~n-butyl formate~|~butyl methanoate~|~n-butylmethanoate~|~formic acid butyl ester,H,1463.734173,0.00622
2-butanol~|~butan-2-ol,e,dipropyl ether~|~di-n-propylether,H,1296.875037,0.00622
2-butanol~|~butan-2-ol,e,ethylbutyrate~|~ethyl butanoate~|~ethyl n-butyrate,H,1655.92295,0.00622
2-butanol~|~butan-2-ol,e,isopropylacetate~|~1-methylethyl ethanoate~|~acetic acid isopropyl ester,H,1765.418376,0.00622
2-butanol~|~butan-2-ol,e,"1,3-dioxolane",H,1332.522819,0.00622
2-butanol~|~butan-2-ol,e,methylpropionate~|~methyl propanoate,H,1511.629004,0.00622
2-butanol~|~butan-2-ol,e,propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate~|~formic acid propyl ester,H,1321.525876,0.00622
2-butanol~|~butan-2-ol,e,butylbutyrate~|~butyl butanoate~|~n-butyl n-butyrate~|~butanoic acid butyl ester,H,1680.664574,0.00622
2-butanol~|~butan-2-ol,e,propylpropionate~|~propyl propanoate~|~n-propyl propanoate~|~n-propyl propionate~|~propanoic acid propyl ester,H,1676.060206,0.00622
2-butanol~|~butan-2-ol,e,propylbutyrate~|~n-propylbutyrate~|~propyl butanoate~|~n-propylbutanoate~|~n-propyl n-butyrate~|~butanoic acid propyl ester,H,1633.38066,0.00622
2-butanol~|~butan-2-ol,e,methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,H,1495.517348,0.00622
2-butanol~|~butan-2-ol,e,thp~|~tetrahydropyran,H,1823.598499,0.00622
2-butanol~|~butan-2-ol,e,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane~|~methyl tert-butyl ether~|~mtbe,H,1862.006513,0.00622
2-butanol~|~butan-2-ol,e,tame~|~methyl-tert-amylether~|~methyl tert-amyl ether~|~methyl tert-pentyl ether~|~2-methoxy-2-methylbutane,H,1578.551088,0.00622
2-butanol~|~butan-2-ol,e,sec-butylacetate~|~1-methylpropyl ethanoate,H,1806.225461,0.00622
"2,3-butanediol",e,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,H,2464.054876,0.03413
benzylalcohol~|~benzenemethanol,e,benzaldehyde,H,2114.519423,0.00222
benzylalcohol~|~benzenemethanol,e,benzyl acetate~|~benzyl ethanoate~|~acetic acid benzyl ester~|~aceticacidphenylmethylester,H,1452.992889,0.00222
benzonitrile,e,methanol,H,1748.861111,0.08716
nitrobenzene,e,methanol,H,1435.443449,0.08716
nitrobenzene,e,isobutanol~|~2-methyl-1-propanol,H,2291.698953,0.00677
hydrogen cyanide,e,methanol,H,2692.255923,0.08716
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,"dioxane~|~p-dioxane~|~1,4-dioxane",H,1328.432197,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,"2,6-dimethylpyridine",H,2065.047114,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,H,1375.137089,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,methylacetate~|~methyl ethanoate,H,1119.693069,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,furfural~|~2-furaldehyde,H,1543.791627,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,diisopropyl ether~|~di-isopropyl ether,H,1501.37766,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,H,1737.603702,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,3-picoline~|~3-methylpyridine,H,2035.360938,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,4-methylpyridine,H,2092.273593,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,2-pentanone~|~pentan-2-one~|~methyln-propylketone,H,1692.251855,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,thf~|~tetrahydrofuran,H,1525.701752,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,triethylamine,H,1999.011253,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,vinyl acetate,H,585.7049022,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,ethylpropionate~|~ethyl propanoate~|~propanoic acid ethyl ester,H,1281.945762,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,isoamylacetate~|~isopentyl acetate~|~3-methylbutyl ethanoate,H,1255.464368,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,butylpropionate~|~butyl propanoate~|~n-butylpropionate~|~propanoic acid butyl ester,H,1392.53339,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,"1,2-dimethoxyethane",H,1690.279856,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,H,1363.315657,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,cyclopentanone,H,1938.360138,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,methyl methacrylate~|~methacrylic acid methyl ester,H,1192.834742,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,3-pentanone~|~pentan-3-one~|~diethylketone,H,1779.707629,0.01435
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,e,butylformate~|~n-butyl formate~|~butyl methanoate~|~n-butylmethanoate~|~formic acid butyl ester,H,1261.975725,0.01435
