Clapeyron Database File
PCPSAFT Assoc Parameters; Esper et al. (2023) [csvtype = assoc]
species1,site1,species2,site2,bondvol,epsilon_assoc,source
diacetone alcohol~|~4-oh-4-me-2-pentanone~|~4-hydroxy-4-methylpentan-2-one,a,diacetone alcohol~|~4-oh-4-me-2-pentanone~|~4-hydroxy-4-methylpentan-2-one,b,0.04729,2501.08734,10.1021/acs.iecr.3c02255
isobutanol~|~2-methyl-1-propanol,a,isobutanol~|~2-methyl-1-propanol,b,0.00677,2370.71658,10.1021/acs.iecr.3c02255
1-nonanol~|~nonan-1-ol,a,1-nonanol~|~nonan-1-ol,b,0.00254,2917.47097,10.1021/acs.iecr.3c02255
o-cresol~|~2-methylphenol,a,o-cresol~|~2-methylphenol,b,0.00958,1593.76577,10.1021/acs.iecr.3c02255
p-cresol~|~4-methylphenol,a,p-cresol~|~4-methylphenol,b,0.00052,2624.74648,10.1021/acs.iecr.3c02255
1-pentanol~|~pentan-1-ol,a,1-pentanol~|~pentan-1-ol,b,0.01039,2356.43743,10.1021/acs.iecr.3c02255
phenol,a,phenol,b,0.00076,2497.4878,10.1021/acs.iecr.3c02255
propanol~|~1-propanol~|~propan-1-ol,a,propanol~|~1-propanol~|~propan-1-ol,b,0.03853,1980.96875,10.1021/acs.iecr.3c02255
propionic acid~|~propanoic acid~|~n-propanoic acid,a,propionic acid~|~propanoic acid~|~n-propanoic acid,b,0.0001,200.00605,10.1021/acs.iecr.3c02255
1-propanethiol~|~propyl mercaptan~|~n-propyl mercaptan,a,1-propanethiol~|~propyl mercaptan~|~n-propyl mercaptan,b,0.03038,644.97504,10.1021/acs.iecr.3c02255
nitric acid,a,nitric acid,b,0.0001,1932.6196,10.1021/acs.iecr.3c02255
methyl 2-hydroxybenzoate~|~salicylic acid methyl ester~|~2-hydroxy-benzoicacidmethylester,a,methyl 2-hydroxybenzoate~|~salicylic acid methyl ester~|~2-hydroxy-benzoicacidmethylester,b,0.01157,1311.30975,10.1021/acs.iecr.3c02255
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,a,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,b,0.00548,2150.4402,10.1021/acs.iecr.3c02255
tetrahydrofurfurylalcohol~|~2-tetrahydrofurylmethanol,a,tetrahydrofurfurylalcohol~|~2-tetrahydrofurylmethanol,b,0.00034,2622.56993,10.1021/acs.iecr.3c02255
water,a,water,b,0.35319,2195.10176,10.1021/acs.iecr.3c02255
methylamine~|~methanamine,a,methylamine~|~methanamine,b,0.10474,610.87229,10.1021/acs.iecr.3c02255
dimethylamine,a,dimethylamine,b,0.02657,988.83672,10.1021/acs.iecr.3c02255
2-propanethiol~|~2-propyl mercaptan~|~isopropyl mercaptan,a,2-propanethiol~|~2-propyl mercaptan~|~isopropyl mercaptan,b,0.02156,586.54149,10.1021/acs.iecr.3c02255
cyclopentanol,a,cyclopentanol,b,0.00178,2887.06558,10.1021/acs.iecr.3c02255
ammonia,a,ammonia,b,0.0001,200.0,10.1021/acs.iecr.3c02255
"n,n-dimethylhydrazine~|~1,1-dimethylhydrazine",a,"n,n-dimethylhydrazine~|~1,1-dimethylhydrazine",b,0.72037,1426.54326,10.1021/acs.iecr.3c02255
hydrogen peroxide,a,hydrogen peroxide,b,0.34561,1852.17704,10.1021/acs.iecr.3c02255
azacycloheptane~|~hexamethyleneimine~|~hexahydro-1h-azepine,a,azacycloheptane~|~hexamethyleneimine~|~hexahydro-1h-azepine,b,0.9,1997.12363,10.1021/acs.iecr.3c02255
methylformamide~|~n-methylformamide,a,methylformamide~|~n-methylformamide,b,0.9,2611.99891,10.1021/acs.iecr.3c02255
glycerol,a,glycerol,b,0.01123,2063.85002,10.1021/acs.iecr.3c02255
methacrylic acid~|~2-methyl-2-propenoic acid,a,methacrylic acid~|~2-methyl-2-propenoic acid,b,0.00047,2643.83687,10.1021/acs.iecr.3c02255
2-methyl-3-buten-2-ol,a,2-methyl-3-buten-2-ol,b,0.00398,2398.3937,10.1021/acs.iecr.3c02255
butyric acid~|~butanoic acid~|~n-butyric acid~|~n-butanoic acid,a,butyric acid~|~butanoic acid~|~n-butyric acid~|~n-butanoic acid,b,0.30395,1819.92307,10.1021/acs.iecr.3c02255
palmitic acid~|~hexadecanoic acid,a,palmitic acid~|~hexadecanoic acid,b,0.00241,3983.98057,10.1021/acs.iecr.3c02255
butylamine~|~1-butylamine~|~n-butylamine~|~1-butanamine,a,butylamine~|~1-butylamine~|~n-butylamine~|~1-butanamine,b,0.81717,494.86264,10.1021/acs.iecr.3c02255
oleic acid~|~cis-9-octadecenoic acid~|~(z)-9-octadecenoic acid,a,oleic acid~|~cis-9-octadecenoic acid~|~(z)-9-octadecenoic acid,b,0.0001,3285.41235,10.1021/acs.iecr.3c02255
piperidine,a,piperidine,b,0.01234,1043.08819,10.1021/acs.iecr.3c02255
phenylhydrazine,a,phenylhydrazine,b,0.9,416.68408,10.1021/acs.iecr.3c02255
caprolactam~|~epsilon-caprolactam~|~1-aza-2-cycloheptanone,a,caprolactam~|~epsilon-caprolactam~|~1-aza-2-cycloheptanone,b,0.01229,1425.78023,10.1021/acs.iecr.3c02255
cyclohexanol,a,cyclohexanol,b,0.00171,2781.12609,10.1021/acs.iecr.3c02255
stearic acid~|~octadecanoic acid,a,stearic acid~|~octadecanoic acid,b,0.00238,4030.38606,10.1021/acs.iecr.3c02255
isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,a,isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,b,0.00381,2593.30289,10.1021/acs.iecr.3c02255
hexanoic acid~|~n-hexanoic acid~|~n-pentyl formate,a,hexanoic acid~|~n-hexanoic acid~|~n-pentyl formate,b,0.00335,2688.84534,10.1021/acs.iecr.3c02255
caprylic acid~|~octanoic acid~|~n-octanoic acid,a,caprylic acid~|~octanoic acid~|~n-octanoic acid,b,0.01011,2924.31072,10.1021/acs.iecr.3c02255
ethoxyethanol~|~2-ethoxyethanol~|~2-ethoxyethan-1-ol,a,ethoxyethanol~|~2-ethoxyethanol~|~2-ethoxyethan-1-ol,b,0.53446,836.72417,10.1021/acs.iecr.3c02255
isobutylamine~|~2-methylpropylamine~|~2-methyl-1-propanamine,a,isobutylamine~|~2-methylpropylamine~|~2-methyl-1-propanamine,b,0.0001,1914.5902,10.1021/acs.iecr.3c02255
furfuryl alcohol~|~2-hydroxymethylfuran,a,furfuryl alcohol~|~2-hydroxymethylfuran,b,0.19141,2042.36559,10.1021/acs.iecr.3c02255
"2,4-xylenol~|~2,4-dimethylphenol",a,"2,4-xylenol~|~2,4-dimethylphenol",b,0.00463,2419.64414,10.1021/acs.iecr.3c02255
"3,5-xylenol~|~3,5-dimethylphenol",a,"3,5-xylenol~|~3,5-dimethylphenol",b,0.00253,2751.43048,10.1021/acs.iecr.3c02255
"propyleneglycol~|~1,2-propanediol~|~1,2-propylene glycol",a,"propyleneglycol~|~1,2-propanediol~|~1,2-propylene glycol",b,0.103,1467.04116,10.1021/acs.iecr.3c02255
methylacetamide~|~n-methylacetamide,a,methylacetamide~|~n-methylacetamide,b,0.01943,2395.46176,10.1021/acs.iecr.3c02255
chloroacetic acid~|~chloroethanoic acid,a,chloroacetic acid~|~chloroethanoic acid,b,0.0189,1875.45062,10.1021/acs.iecr.3c02255
1-hexanol~|~hexan-1-ol,a,1-hexanol~|~hexan-1-ol,b,0.00722,2509.5721,10.1021/acs.iecr.3c02255
acrylic acid~|~propenoic acid,a,acrylic acid~|~propenoic acid,b,0.01854,2881.10662,10.1021/acs.iecr.3c02255
cyclohexylamine,a,cyclohexylamine,b,0.01058,1567.84017,10.1021/acs.iecr.3c02255
isobutyric acid~|~2-methylpropanoic acid,a,isobutyric acid~|~2-methylpropanoic acid,b,0.00307,2043.58731,10.1021/acs.iecr.3c02255
"2-methyl-2,4-pentanediol",a,"2-methyl-2,4-pentanediol",b,0.01088,2328.21468,10.1021/acs.iecr.3c02255
ethylamine~|~ethanamine,a,ethylamine~|~ethanamine,b,0.04498,622.42578,10.1021/acs.iecr.3c02255
bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid,a,bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid,b,0.0001,3111.01504,10.1021/acs.iecr.3c02255
methylaniline~|~n-methylaniline,a,methylaniline~|~n-methylaniline,b,0.09951,1972.15484,10.1021/acs.iecr.3c02255
1-phenylethanol~|~sec-phenethylalcohol~|~alpha.-phenylethanol~|~alpha-methylbenzyl alcohol,a,1-phenylethanol~|~sec-phenethylalcohol~|~alpha.-phenylethanol~|~alpha-methylbenzyl alcohol,b,0.0001,3081.76465,10.1021/acs.iecr.3c02255
dibutylamine~|~di-n-butylamine,a,dibutylamine~|~di-n-butylamine,b,0.0001,2686.96987,10.1021/acs.iecr.3c02255
2-methylcyclohexanol,a,2-methylcyclohexanol,b,0.00073,2857.96046,10.1021/acs.iecr.3c02255
1-heptanol~|~heptan-1-ol,a,1-heptanol~|~heptan-1-ol,b,0.00298,2944.42231,10.1021/acs.iecr.3c02255
1-octanol~|~octan-1-ol,a,1-octanol~|~octan-1-ol,b,0.00239,2998.54369,10.1021/acs.iecr.3c02255
1-decanol~|~decan-1-ol,a,1-decanol~|~decan-1-ol,b,0.00194,3081.68397,10.1021/acs.iecr.3c02255
lauric acid~|~dodecanoic acid~|~n-dodecanoic acid,a,lauric acid~|~dodecanoic acid~|~n-dodecanoic acid,b,0.00271,3654.9118,10.1021/acs.iecr.3c02255
myristic acid~|~tetradecanoic acid,a,myristic acid~|~tetradecanoic acid,b,0.00229,4019.06681,10.1021/acs.iecr.3c02255
2-naphthol~|~2-hydroxynaphthalene,a,2-naphthol~|~2-hydroxynaphthalene,b,0.02699,2629.51966,10.1021/acs.iecr.3c02255
2-methyl-3-pentanol,a,2-methyl-3-pentanol,b,0.00225,2287.79309,10.1021/acs.iecr.3c02255
2-methyl-1-hexanol,a,2-methyl-1-hexanol,b,0.04465,4558.99446,10.1021/acs.iecr.3c02255
2-propylamine~|~2-propanamine~|~isopropylamine,a,2-propylamine~|~2-propanamine~|~isopropylamine,b,0.02607,850.97908,10.1021/acs.iecr.3c02255
propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,a,propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,b,0.0001,1610.12005,10.1021/acs.iecr.3c02255
2-ethyl-1-hexanol,a,2-ethyl-1-hexanol,b,0.00207,2761.61241,10.1021/acs.iecr.3c02255
cycloheptanol,a,cycloheptanol,b,0.0001,2450.38688,10.1021/acs.iecr.3c02255
"1,2-propanediamine",a,"1,2-propanediamine",b,0.27378,406.14917,10.1021/acs.iecr.3c02255
"dmmea~|~dimethylethanolamine~|~n,n-dimethylethanolamine~|~2-(dimethylamino)-ethanol~|~2-(n,n-dimethylamino)ethanol",a,"dmmea~|~dimethylethanolamine~|~n,n-dimethylethanolamine~|~2-(dimethylamino)-ethanol~|~2-(n,n-dimethylamino)ethanol",b,0.00422,2042.55721,10.1021/acs.iecr.3c02255
"3,6-dioxa-1-decanol~|~diethyleneglycolmonobutylether",a,"3,6-dioxa-1-decanol~|~diethyleneglycolmonobutylether",b,0.01116,2028.1552,10.1021/acs.iecr.3c02255
1-naphthol,a,1-naphthol,b,0.0001,200.0,10.1021/acs.iecr.3c02255
"1,6-hexanediamine~|~hexamethylenediamine",a,"1,6-hexanediamine~|~hexamethylenediamine",b,0.00942,1099.27912,10.1021/acs.iecr.3c02255
benzoic acid,a,benzoic acid,b,0.03123,2137.21733,10.1021/acs.iecr.3c02255
propynol~|~2-propyn-1-ol~|~propargyl alcohol,a,propynol~|~2-propyn-1-ol~|~propargyl alcohol,b,0.0001,2544.80628,10.1021/acs.iecr.3c02255
"2,4-dichlorophenol",a,"2,4-dichlorophenol",b,0.00815,1784.02856,10.1021/acs.iecr.3c02255
teg~|~triethylene glycol,a,teg~|~triethylene glycol,b,0.00889,2011.71578,10.1021/acs.iecr.3c02255
2-(2-methoxyethoxy)ethanol~|~diethylene glycol monomethyl ether,a,2-(2-methoxyethoxy)ethanol~|~diethylene glycol monomethyl ether,b,0.00671,2291.89925,10.1021/acs.iecr.3c02255
2-isopropoxyethanol,a,2-isopropoxyethanol,b,0.00651,1946.49128,10.1021/acs.iecr.3c02255
"3,6-dioxa-1-octanol~|~2-(2-ethoxyethoxy)ethanol~|~diethylene glycol ethyl ether~|~diethyleneglycolmonoethylether",a,"3,6-dioxa-1-octanol~|~2-(2-ethoxyethoxy)ethanol~|~diethylene glycol ethyl ether~|~diethyleneglycolmonoethylether",b,0.005,3215.09581,10.1021/acs.iecr.3c02255
tert-butylamine~|~2-methyl-2-propanamine,a,tert-butylamine~|~2-methyl-2-propanamine,b,0.05886,962.21594,10.1021/acs.iecr.3c02255
deg~|~diethylene glycol,a,deg~|~diethylene glycol,b,0.06873,2525.13962,10.1021/acs.iecr.3c02255
4-methyl-2-pentanol,a,4-methyl-2-pentanol,b,0.00837,2125.5966,10.1021/acs.iecr.3c02255
capric acid~|~decanoic acid~|~n-decanoic acid,a,capric acid~|~decanoic acid~|~n-decanoic acid,b,0.00217,4227.84719,10.1021/acs.iecr.3c02255
1-undecanol,a,1-undecanol,b,0.00233,2834.87537,10.1021/acs.iecr.3c02255
2-(2-propoxyethoxy)ethanol~|~diethylene glycol monopropyl ether,a,2-(2-propoxyethoxy)ethanol~|~diethylene glycol monopropyl ether,b,0.06588,948.33873,10.1021/acs.iecr.3c02255
dipropyleneglycoln-butylether~|~dipropylene glycol butyl ether,a,dipropyleneglycoln-butylether~|~dipropylene glycol butyl ether,b,0.0001,200.0,10.1021/acs.iecr.3c02255
o-deuteromethanol,a,o-deuteromethanol,b,0.14673,2138.1465,10.1021/acs.iecr.3c02255
dodecanol~|~1-dodecanol~|~dodecan-1-ol,a,dodecanol~|~1-dodecanol~|~dodecan-1-ol,b,0.00161,2967.99239,10.1021/acs.iecr.3c02255
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,a,mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,b,0.00536,2132.32983,10.1021/acs.iecr.3c02255
t-butyl hydroperoxide~|~tert-butylhydroperoxide~|~tert.butyl hydroperoxide,a,t-butyl hydroperoxide~|~tert-butylhydroperoxide~|~tert.butyl hydroperoxide,b,0.0001,2190.20514,10.1021/acs.iecr.3c02255
"2,2,3,3-tetrafluoro-1-propanol",a,"2,2,3,3-tetrafluoro-1-propanol",b,0.0001,2339.47789,10.1021/acs.iecr.3c02255
methanethiol~|~methyl mercaptan,a,methanethiol~|~methyl mercaptan,b,0.00079,1216.66528,10.1021/acs.iecr.3c02255
"1,1,1,3,3,3-hexafluoro-2-propanol",a,"1,1,1,3,3,3-hexafluoro-2-propanol",b,0.00131,2219.88588,10.1021/acs.iecr.3c02255
pyrrolidine,a,pyrrolidine,b,0.07367,1054.21541,10.1021/acs.iecr.3c02255
trifluoroacetic acid~|~trifluoroethanoic acid,a,trifluoroacetic acid~|~trifluoroethanoic acid,b,0.9,1517.81774,10.1021/acs.iecr.3c02255
"1,4-butadiol~|~1,4-butanediol",a,"1,4-butadiol~|~1,4-butanediol",b,0.00963,2414.81877,10.1021/acs.iecr.3c02255
p-nitrophenol,a,p-nitrophenol,b,0.00976,4999.99705,10.1021/acs.iecr.3c02255
o-toluidine~|~2-methylaniline~|~o-methylaniline~|~2-methyl-benzeneamine,a,o-toluidine~|~2-methylaniline~|~o-methylaniline~|~2-methyl-benzeneamine,b,0.00175,2145.79575,10.1021/acs.iecr.3c02255
2-methyl-1-butanol,a,2-methyl-1-butanol,b,0.00539,2649.13909,10.1021/acs.iecr.3c02255
2-pentanol~|~pentan-2-ol,a,2-pentanol~|~pentan-2-ol,b,0.00314,2683.67172,10.1021/acs.iecr.3c02255
3-pentanol,a,3-pentanol,b,0.02702,2323.45962,10.1021/acs.iecr.3c02255
tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol,a,tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol,b,0.00144,2636.1177,10.1021/acs.iecr.3c02255
"2,3,3-trimethyl-2-butanol",a,"2,3,3-trimethyl-2-butanol",b,0.01392,1774.62555,10.1021/acs.iecr.3c02255
3-ethyl-3-pentanol,a,3-ethyl-3-pentanol,b,0.0004,2448.88819,10.1021/acs.iecr.3c02255
3-methyl-3-pentanol,a,3-methyl-3-pentanol,b,0.00022,2821.43953,10.1021/acs.iecr.3c02255
"2,3-dimethyl-2-butanol",a,"2,3-dimethyl-2-butanol",b,0.00074,2662.17543,10.1021/acs.iecr.3c02255
2-methyl-2-pentanol,a,2-methyl-2-pentanol,b,0.00201,2806.99352,10.1021/acs.iecr.3c02255
3-hexanol,a,3-hexanol,b,0.00241,2651.25773,10.1021/acs.iecr.3c02255
2-hexanol,a,2-hexanol,b,0.00421,2559.58388,10.1021/acs.iecr.3c02255
"2,2-dimethyl-1-butanol",a,"2,2-dimethyl-1-butanol",b,0.00622,2731.2426,10.1021/acs.iecr.3c02255
formamide,a,formamide,b,0.00647,2132.37665,10.1021/acs.iecr.3c02255
diphenylamine,a,diphenylamine,b,0.03372,2471.88495,10.1021/acs.iecr.3c02255
1-propoxy-2-propanol~|~propylene glycol n-propyl ether,a,1-propoxy-2-propanol~|~propylene glycol n-propyl ether,b,0.01399,1321.38124,10.1021/acs.iecr.3c02255
isovaleric acid~|~3-methylbutanoic acid,a,isovaleric acid~|~3-methylbutanoic acid,b,0.03478,2218.45336,10.1021/acs.iecr.3c02255
"1,5-pentanediol",a,"1,5-pentanediol",b,0.01576,3816.80105,10.1021/acs.iecr.3c02255
1-hexadecanol,a,1-hexadecanol,b,0.00116,3285.90929,10.1021/acs.iecr.3c02255
octadecanol~|~1-octadecanol,a,octadecanol~|~1-octadecanol,b,0.00165,3153.70404,10.1021/acs.iecr.3c02255
"1,3-propanediol~|~propan-1,3-diol~|~1 3-propylene glycol~|~1,3-propylene glycol",a,"1,3-propanediol~|~propan-1,3-diol~|~1 3-propylene glycol~|~1,3-propylene glycol",b,0.0043,2591.96455,10.1021/acs.iecr.3c02255
"1,6-hexanediol",a,"1,6-hexanediol",b,0.00608,2549.80916,10.1021/acs.iecr.3c02255
"dichloroacetic acid~|~2,2-dichloroacetic acid",a,"dichloroacetic acid~|~2,2-dichloroacetic acid",b,0.00829,4876.97257,10.1021/acs.iecr.3c02255
2-ethylhexanoic acid~|~2-ethyl-hexanoic acid,a,2-ethylhexanoic acid~|~2-ethyl-hexanoic acid,b,0.00982,3471.59121,10.1021/acs.iecr.3c02255
heptanoic acid~|~n-heptanoic acid,a,heptanoic acid~|~n-heptanoic acid,b,0.0001,3860.065,10.1021/acs.iecr.3c02255
"pyrocatechol~|~1,2-benzenediol~|~1,2-dihydroxybenzene",a,"pyrocatechol~|~1,2-benzenediol~|~1,2-dihydroxybenzene",b,0.002,1472.68371,10.1021/acs.iecr.3c02255
"2-mercaptoethanol~|~ethanol, 2-mercapto-",a,"2-mercaptoethanol~|~ethanol, 2-mercapto-",b,0.0001,2430.15659,10.1021/acs.iecr.3c02255
trichloroacetic acid~|~trichlorethanoic acid,a,trichloroacetic acid~|~trichlorethanoic acid,b,0.03241,1591.58225,10.1021/acs.iecr.3c02255
2-nitrophenol~|~o-nitrophenol,a,2-nitrophenol~|~o-nitrophenol,b,0.9,211.12794,10.1021/acs.iecr.3c02255
nonanoic acid~|~n-nonanoic acid,a,nonanoic acid~|~n-nonanoic acid,b,0.0001,4330.29863,10.1021/acs.iecr.3c02255
m-toluidine~|~3-methylaniline~|~m-methylaniline,a,m-toluidine~|~3-methylaniline~|~m-methylaniline,b,0.00015,2883.45347,10.1021/acs.iecr.3c02255
salicylaldehyde~|~salicylicaldehyde~|~2-hydroxybenzaldehyde,a,salicylaldehyde~|~salicylicaldehyde~|~2-hydroxybenzaldehyde,b,0.9,346.23775,10.1021/acs.iecr.3c02255
guaiacol~|~2-methoxyphenol,a,guaiacol~|~2-methoxyphenol,b,0.9,229.79318,10.1021/acs.iecr.3c02255
2-chlorophenol~|~o-chlorophenol,a,2-chlorophenol~|~o-chlorophenol,b,0.0001,1924.66697,10.1021/acs.iecr.3c02255
3-chlorophenol~|~m-chlorophenol,a,3-chlorophenol~|~m-chlorophenol,b,0.0001,2595.28048,10.1021/acs.iecr.3c02255
4-chlorophenol~|~p-chlorophenol,a,4-chlorophenol~|~p-chlorophenol,b,0.00131,1954.29949,10.1021/acs.iecr.3c02255
"resorcinol~|~1,3-benzenediol~|~1,3-dihydroxybenzene",a,"resorcinol~|~1,3-benzenediol~|~1,3-dihydroxybenzene",b,0.02401,2003.18796,10.1021/acs.iecr.3c02255
1-tetradecanol,a,1-tetradecanol,b,0.00328,2742.58776,10.1021/acs.iecr.3c02255
2-methylpiperidine,a,2-methylpiperidine,b,0.05202,956.24133,10.1021/acs.iecr.3c02255
2-chloroaniline~|~o-chloroaniline~|~2-chlorobenzeneamine,a,2-chloroaniline~|~o-chloroaniline~|~2-chlorobenzeneamine,b,0.9,200.0,10.1021/acs.iecr.3c02255
m-chloroaniline~|~3-chlorobenzenamine~|~3-chlorobenzeneamine,a,m-chloroaniline~|~3-chlorobenzenamine~|~3-chlorobenzeneamine,b,0.40413,2019.85235,10.1021/acs.iecr.3c02255
4-chloroaniline~|~p-chloroaniline~|~4-chlorobenzenamine,a,4-chloroaniline~|~p-chloroaniline~|~4-chlorobenzenamine,b,0.10401,2380.88581,10.1021/acs.iecr.3c02255
2-nitroaniline~|~o-nitroaniline~|~2-nitrobenzeneamine,a,2-nitroaniline~|~o-nitroaniline~|~2-nitrobenzeneamine,b,0.00412,4098.0265,10.1021/acs.iecr.3c02255
m-nitroaniline~|~3-nitrobenzenamine~|~3-aminonitrobenzene,a,m-nitroaniline~|~3-nitrobenzenamine~|~3-aminonitrobenzene,b,0.03854,3313.70612,10.1021/acs.iecr.3c02255
p-nitroaniline~|~4-aminonitrobenzene,a,p-nitroaniline~|~4-aminonitrobenzene,b,0.42541,4530.69897,10.1021/acs.iecr.3c02255
"dea~|~diethanolamine~|~2,2'-diethanolamine",a,"dea~|~diethanolamine~|~2,2'-diethanolamine",b,0.47928,1948.16098,10.1021/acs.iecr.3c02255
ethanethiol~|~ethyl mercaptan,a,ethanethiol~|~ethyl mercaptan,b,0.0001,200.0,10.1021/acs.iecr.3c02255
2-butanamine~|~sec-butylamine,a,2-butanamine~|~sec-butylamine,b,0.00022,1896.39111,10.1021/acs.iecr.3c02255
2-(2-dimethylaminoethoxu)ethanol~|~2-(2-dimethylaminoethoxy) ethanol,a,2-(2-dimethylaminoethoxu)ethanol~|~2-(2-dimethylaminoethoxy) ethanol,b,0.01691,2065.41029,10.1021/acs.iecr.3c02255
3-octanol,a,3-octanol,b,0.00275,2484.90408,10.1021/acs.iecr.3c02255
2-octanol,a,2-octanol,b,0.00198,2823.06834,10.1021/acs.iecr.3c02255
"2,4-dimethylaniline~|~1-amino-2,4-dimethylbenzene",a,"2,4-dimethylaniline~|~1-amino-2,4-dimethylbenzene",b,0.9,1710.41134,10.1021/acs.iecr.3c02255
aziridine~|~ethylenimine~|~ethyleneimine~|~azacyclopropane,a,aziridine~|~ethylenimine~|~ethyleneimine~|~azacyclopropane,b,0.11094,1038.16463,10.1021/acs.iecr.3c02255
methylcyclohexanamine~|~n-methylcyclohexanamine~|~n-methylcyclohexylamine,a,methylcyclohexanamine~|~n-methylcyclohexanamine~|~n-methylcyclohexylamine,b,0.03507,1477.42568,10.1021/acs.iecr.3c02255
2-methyl-1-pentanol,a,2-methyl-1-pentanol,b,0.03599,1942.15829,10.1021/acs.iecr.3c02255
triethanolamine,a,triethanolamine,b,0.27436,1719.88938,10.1021/acs.iecr.3c02255
