OpenSAFT Database File;;;;;
RK Like Parameters;;;;;
species;DIPPR Number;Mw;Tc;pc;w
1-Heptanal;111717;114.188;617;3.18;0.427
1-Octanal;124130;128.214;638.1;2.97;0.474
1-Nonanal;124196;142.241;658;2.74;0.514
1-Decanal;112312;156.268;674.2;2.6;0.582
Acetone;67641;58.08;508.2;4.71;0.307
Methyl ethyl ketone;78933;72.107;535.5;4.12;0.32
2-Pentanone;107879;86.134;561.08;3.71;0.345
Methyl isopropyl ketone;563804;86.134;553;3.84;0.349
2-Hexanone;591786;100.161;587.05;3.31;0.395
Methyl isobutyl ketone;108101;100.161;571.4;3.27;0.389
3-Methyl-2-pentanone;565617;100.161;573;3.32;0.386
3-Pentanone;96220;86.134;560.95;3.7;0.34
Ethyl isopropyl ketone;565695;100.161;567;3.34;0.394
Diisopropyl ketone;565800;114.188;576;3.06;0.411
Cyclohexanone;108941;98.145;653;4.01;0.308
Methyl phenyl ketone;98862;120.151;709.5;3.85;0.365
Formic acid;64186;46.026;588;5.81;0.317
Acetic acid;64197;60.053;591.95;5.74;0.463
Propionic acid;79094;74.079;600.81;4.61;0.574
n-Butyric acid;107926;88.106;615.7;4.07;0.682
Isobutyric acid;79312;88.106;605;3.68;0.612
Benzoic acid;65850;122.123;751;4.47;0.603
Acetic anhydride;108247;102.09;606;3.97;0.45
Methyl formate;107313;60.053;487.2;5.98;0.254
Methyl acetate;79209;74.079;506.55;4.69;0.326
Methyl propionate;554121;88.106;530.6;4.03;0.349
Methyl n-butyrate;623427;102.133;554.5;3.48;0.378
Ethyl formate;109944;74.079;508.4;4.71;0.282
Ethyl acetate;141786;88.106;523.3;3.85;0.363
Ethyl propionate;105373;102.133;546;3.34;0.391
Ethyl n-butyrate;105544;116.16;571;2.94;0.399
n-Propyl formate;110747;88.106;538;4.03;0.31
n-Propyl acetate;109604;102.133;549.73;3.37;0.39
n-Butyl acetate;123864;116.16;579.15;3.11;0.41
Methyl benzoate;93583;136.15;693;3.59;0.421
Ethyl benzoate;93890;150.177;698;3.22;0.477
Vinyl acetate;108054;86.09;519.13;3.93;0.348
Methylamine;74895;31.057;430.05;7.41;0.279
Dimethylamine;124403;45.084;437.2;5.26;0.293
Trimethylamine;75503;59.111;433.25;4.1;0.21
Ethylamine;75047;45.084;456.15;5.59;0.283
Diethylamine;109897;73.138;496.6;3.67;0.3
Triethylamine;121448;101.192;535.15;3.04;0.316
n-Propylamine;107108;59.111;496.95;4.74;0.28
di-n-Propylamine;142847;101.192;550;3.11;0.446
Isopropylamine;75310;59.111;471.85;4.54;0.276
Diisopropylamine;108189;101.192;523.1;3.2;0.388
Aniline;62533;93.128;699;5.35;0.381
N-Methylaniline;100618;107.155;701.55;5.19;0.48
N,N-Dimethylaniline;121697;121.182;687.15;3.63;0.403
Ethylene oxide;75218;44.053;469.15;7.26;0.201
Furan;110009;68.075;490.15;5.55;0.205
Thiophene;110021;84.142;579.35;5.71;0.195
Pyridine;110861;79.101;619.95;5.64;0.239
Formamide;75127;45.041;771;7.75;0.41
N,N-Dimethylformamide;68122;73.095;649.6;4.37;0.312
Acetamide;60355;59.068;761;6.57;0.419
N-Methylacetamide;79163;73.095;718;5;0.437
Acetonitrile;75058;41.053;545.5;4.85;0.34
Propionitrile;107120;55.079;564.4;4.19;0.325
n-Butyronitrile;109740;69.106;582.25;3.79;0.371
Benzonitrile;100470;103.123;699.35;4.21;0.352
Methyl mercaptan;74931;48.109;469.95;7.23;0.158
Ethyl mercaptan;75081;62.136;499.15;5.49;0.188
n-Propyl mercaptan;107039;76.163;536.6;4.63;0.232
n-Butyl mercaptan;109795;90.189;570.1;3.97;0.272
Isobutyl mercaptan;513440;90.189;559;4.06;0.253
sec-Butyl mercaptan;513531;90.189;554;4.06;0.251
Dimethyl sulfide;75183;62.136;503.04;5.53;0.194
Methyl ethyl sulfide;624895;76.163;533;4.26;0.209
Diethyl sulfide;352932;90.189;557.15;3.96;0.294
Fluoromethane;593533;34.033;317.28;5.897;0.198
Chloromethane;74873;50.488;416.25;6.69;0.154
