Clapeyron Database File,,,,,,,,
PCSAFT Like Parameters,,,,,,,,
species,DIPPR Number,Mw,segment,sigma,epsilon,n_H,n_e,source
"2,2,3,3-tetramethylpentane",51,128.26,3.1245,4.1789,279.57,0,0,10.1016/j.fluid.2006.07.006
"2,2,3,4-tetramethylpentane",52,128.26,3.2491,4.1459,267.81,0,0,10.1016/j.fluid.2006.07.006
"2,3,3,4-tetramethylpentane",54,128.26,3.1835,4.1606,277.47,0,0,10.1016/j.fluid.2006.07.006
"2,4,4-trimethylhexane",49,128.26,3.4059,4.1091,258.97,0,0,10.1016/j.fluid.2006.07.006
"2,2-dimethyloctane",72,142.28,4.0461,4.0217,251.01,0,0,10.1016/j.fluid.2006.07.006
2-methylnonane~|~2-methyl-nonane,86,142.28,4.5569,3.8664,242.57,0,0,10.1016/j.fluid.2006.07.006
3-methylnonane~|~3-methyl-nonane,85,142.28,4.4407,3.884,246.3,0,0,10.1016/j.fluid.2006.07.006
4-methylnonane~|~4-methyl-nonane,87,142.28,4.381,3.9151,246.42,0,0,10.1016/j.fluid.2006.07.006
5-methylnonane~|~5-methyl-nonane,88,142.28,4.3272,3.9261,247.94,0,0,10.1016/j.fluid.2006.07.006
"2,3-dimethyloctane",2095,142.28,4.148,3.9779,252.62,0,0,10.1016/j.fluid.2006.07.006
"2,4-dimethyloctane",2096,142.28,4.375,3.922,240.62,0,0,10.1016/j.fluid.2006.07.006
"2,5-dimethyloctane",2097,142.28,4.1938,3.9681,247.67,0,0,10.1016/j.fluid.2006.07.006
"2,6-dimethyloctane",2098,142.28,4.3242,3.9403,244.67,0,0,10.1016/j.fluid.2006.07.006
"2,7-dimethyloctane",2099,142.28,4.2935,3.9439,245.33,0,0,10.1016/j.fluid.2006.07.006
"3,3-diethylpentane",50,156.31,3.2334,4.1403,278.43,0,0,10.1016/j.fluid.2006.07.006
cyclopropane,101,42.02,1.8258,3.5084,234.45,0,0,10.1016/j.fluid.2006.07.006
cyclobutane,102,56.11,2.0988,3.6189,254.45,0,0,10.1016/j.fluid.2006.07.006
cyclopentane,104,70.13,2.3655,3.7114,265.83,0,0,10.1021/ie0003887
cyclohexane,137,84.15,2.5303,3.8499,278.11,0,0,10.1021/ie0003887
methylcyclopentane,105,84.16,2.613,3.8253,265.12,0,0,10.1021/ie0003887
ethylcyclopentane,107,98.18,2.9062,3.8873,270.5,0,0,10.1021/ie0003887
methylcyclohexane,138,98.18,2.6637,3.9993,282.33,0,0,10.1021/ie0003887
cycloheptane,159,98.19,2.6975,3.9336,296.09,0,0,10.1016/j.fluid.2006.07.006
"1,1-dimethylcyclopentane",108,98.19,2.7863,3.946,264.12,0,0,10.1016/j.fluid.2006.07.006
"(z)-1,2-dimethylcyclopentane~|~cis-1,2-dimethylcyclopentane~|~1,cis-2-dimethylcyclopentane",109,98.19,2.809,3.918,272.78,0,0,10.1016/j.fluid.2006.07.006
"trans-1,2-dimethylcyclopentane~|~1,trans-2-dimethylcyclopentane",110,98.19,2.8607,3.9202,263.27,0,0,10.1016/j.fluid.2006.07.006
"1,1-dimethylcyclohexane",141,112.21,2.7196,4.1593,290.06,0,0,10.1016/j.fluid.2006.07.006
cyclooctane,160,112.21,2.8856,4.0117,307.03,0,0,10.1016/j.fluid.2006.07.006
isopropylcyclopentane~|~1-methylethylcyclopentane~|~(1-methylethyl)-cyclopentane,115,112.21,3.032,4.0022,278.15,0,0,10.1016/j.fluid.2006.07.006
propylcyclopentane~|~n-propylcyclopentane,114,112.21,3.2639,3.9042,270.48,0,0,10.1016/j.fluid.2006.07.006
"cis-1,2-dimethylcyclohexane",142,112.21,2.788,4.1065,294.75,0,0,10.1016/j.fluid.2006.07.006
"1,2-dimethylcyclohexane~|~trans-1,2-dimethylcyclohexane",143,112.21,2.7483,4.1487,291.38,0,0,10.1016/j.fluid.2006.07.006
"trans-1,3-dimethylcyclohexane",145,112.21,2.8762,4.0753,285.17,0,0,10.1016/j.fluid.2006.07.006
"cis-1,3-dimethylcyclohexane",144,112.21,2.8686,4.1003,281.56,0,0,10.1016/j.fluid.2006.07.006
"cis-1,4-dimethylcyclohexane",146,112.21,2.8645,4.0814,285.61,0,0,10.1016/j.fluid.2006.07.006
"1,4-dimethylcyclohexane~|~trans-1,4-dimethylcyclohexane",147,112.21,2.797,4.1387,284.87,0,0,10.1016/j.fluid.2006.07.006
ethylcyclohexane,140,112.22,2.8256,4.1039,294.04,0,0,10.1021/ie0003887
butylcyclopentane~|~n-butylcyclopentane,122,126.24,3.6442,3.9149,269.66,0,0,10.1016/j.fluid.2006.07.006
isopropylcyclohexane~|~(1-methylethyl)cyclohexane,150,126.24,3.2678,4.0418,284.66,0,0,10.1016/j.fluid.2006.07.006
propylcyclohexane~|~n-propylcyclohexane~|~1-cyclohexylpropane,149,126.24,3.2779,4.0499,285.91,0,0,10.1016/j.fluid.2006.07.006
cis-decalin~|~decahydronaphthalene~|~cis-decahydronaphthalene,153,138.25,2.985,4.1803,331.18,0,0,10.1016/j.fluid.2006.07.006
trans-decalin~|~trans-decahydronaphthalene,154,138.25,2.9477,4.2365,325.91,0,0,10.1016/j.fluid.2006.07.006
butylcyclohexane~|~n-butylcyclohexane,152,140.27,3.6023,4.0637,285.97,0,0,10.1016/j.fluid.2006.07.006
decylcyclohexane~|~n-decylcyclohexane,158,224.43,6.0329,4.0083,272.23,0,0,10.1016/j.fluid.2006.07.006
ethene~|~ethylene~|~1-ethylene,201,28.05,1.593,3.445,176.47,0,0,10.1021/ie0003887
"2,3-dimethyl-1,3-butadiene",319,28.14,2.7005,3.7841,257.7,0,0,10.1016/j.fluid.2006.07.006
"propadiene~|~1,2-propadiene",301,40.06,1.5506,3.7082,257.73,0,0,10.1016/j.fluid.2006.07.006
propene~|~propylene,202,42.08,1.9597,3.5356,207.19,0,0,10.1021/ie0003887
"1,2-butadiene",302,54.09,2.2979,3.5395,239.01,0,0,10.1016/j.fluid.2006.07.006
"butadiene~|~1,3-butadiene",303,54.09,2.2309,3.5892,228.6,0,0,10.1016/j.fluid.2006.07.006
butene~|~1-butene,204,56.11,2.2864,3.6431,222.0,0,0,10.1021/ie0003887
2-butene~|~(z)-2-butene~|~cis-2-butene,206,56.11,2.3842,3.564,226.296,0,0,10.1021/ie034258k
isobutene~|~isobutylene~|~2-methylpropene,207,56.11,2.2826,3.6442,221.58,0,0,10.1016/j.fluid.2006.07.006
"isoprene~|~2-methyl-1,3-butadiene",309,68.12,2.3837,3.7501,249.88,0,0,10.1016/j.fluid.2006.07.006
