Clapeyron Database File,,,,,,,,,,,
Burdhardt Ideal Like Parameters  [csvtype = like,grouptype = BurkhardtAlyLee]
species,A,B,C,D,E
>S=,4.455378167378915,0.5928738918855865,318.0902504277688,8.441711523619473,368.84650314699974
-S-(arom),0.5139816786362223,2.345410232444356,-24.812098450487003,-0.531078927639646,-24.036438516451497
>SO2,4.891420921272468,5.548214905846139,258.1376421863648,6.249614250317036,340.97687550157167
=S,0.7110938119814262,1.6733680493861076,14.130440053761903,0.38438876904546293,8.997549084113041
-B<,1.3714049685186787,1.1371487636046334,2.2467930333353703,2.1784193121169038,-5.550732750462409
-Cl,0.390513664652913,2.7135161880448697,-34.549553125320685,-2.037106292130254,-6.637222163894986
-Br,0.6711445932408171,2.3919275920857066,-36.844917527609205,-1.8318194986916931,-6.258338323929374
-F,-0.0006781353548809067,3.161764202864014,-28.085510776575898,-2.958695382923018,-0.6704027172464037
-I,0.7947008462827312,2.2410168410840576,-32.72354885337249,-1.5238747491530904,-13.442090270001225
>Si<,3.320088609824739,-1.1260090563972727,38.87490482070952,6.525304720289415,0.43850981513491877
>SiH-,1.8505170832690216,3.4262484073364923,-20.956068439458914,1.3730783377416071,4.262620487565075
-SiH2-,1.1919810740749994,6.987835955208467,-42.80906474637968,-3.1325999293273012,-32.29570116400021
-SiH3,0.8066564396106405,10.351276165286546,-66.42435310429451,-7.596850244817942,-21.37087460091055
[2H],0.05202859045923019,0.17077162740994936,-1.475753972282479,0.4317647572062115,-1.0636224945198387
SO:multicyclic-site,-1.1047251267771172,1.3591375763439097,11.00795169813042,1.4134504816137388,30.00455504706701
SO:-CH2-(cyc5+),-0.5578114274159907,0.9246034666416942,-11.723241524916132,-2.143410529927613,-8.054912339492454
SO:-CH2-(cyc34),-0.5006367195599253,0.9188172497786361,-6.40917099181791,-1.978432016091158,-0.2526987572239646
SO:-CH3(@arom),-0.595908324722487,0.7699978336655735,-16.728497109445367,-1.8633331635457944,-13.174098170535895
SO:-OH(@arom),-0.8615764470003041,0.38844398632517124,-58.1168806727753,-1.9710911162603648,-53.88554028909492
SO:-F(primary to C),0.2905637823793856,-0.3638676580411643,5.283765699467319,-0.02891487585191297,-12.808818017110307
SO:=CH-(cyc),-0.46524913543485164,0.7939925258728985,0.7596774833002725,-0.6907966866973917,8.086222123553961
"SO:>C=O(keto,ring)",-0.7658578899719497,0.8636160140210801,-24.012668114190383,-2.162742245266369,-15.984828818216686
SO:-O-(cyc),-0.7753580950950592,0.6708772708331274,-3.2849989047706587,0.4244491192125471,2.9661896803586987
SO:-Br(primary to C),-0.05712121292311705,0.2182646541992883,21.630274895310823,0.16660601284705462,16.963454730744935
SO:-Cl(primary to C),0.06471538063102586,-0.09302367640683443,15.456742215403994,0.20168770958782123,7.372703206809989
SO:-F(@arom),-0.03522478489109665,0.12009466294622606,-3.3365575394909968,0.2493847471949833,-5.1636911040429885
SO:-OH(secondary to C),-1.0836291491695584,1.052875498653337,-16.03087258548407,-0.133936850610662,-0.44206783359728247
SO:-CF2X,0.41891125038606714,-0.2871672786739522,25.50201968632785,0.06818502134562278,41.874781776973144
SO:Cl-(to Si),0.05691509706654376,-0.042833867903181416,6.3233498070721765,-0.237635561869153,3.766500135668465
SO:>CH-(cyc),-0.0824489553416225,0.5903117444128066,-6.799835942748627,-2.586605023270711,4.981065020942296
SO:-CH2-(@arom),-1.7115770476170225,2.4094484787337604,-8.082100703287146,-0.8436255529546226,12.586340599153358
SO:>C<(cyc),-0.5632588015974392,0.7417803422239857,-30.23157699547232,-4.096593151300632,6.379764175930993
"SO:[*]-[Br,I]3",0.4948955779853696,-0.3853623718574072,-5.824021701822155,-0.7936980128295699,-18.50939663797702
SO:-NH-(cyc),2.3631091413965915,-1.5021818833769949,153.64422547281097,4.204269264150385,92.2738611017157
SO:-CH=O(aldeh),0.35288986889154256,0.07089216573087812,9.13486898932361,-0.14169083768878432,11.31217469405125
SO:HO-O-(perhydroxide),-0.5112111038226451,0.6537689330985985,-25.617731802946206,0.20889086086203185,27.439897061663185
