Clapeyron Database File
Twu like parameters
species,DIPPR Number,L,M,N,source
"1,2,3,4-tetrahydro-n-methylcarbazole~|~2,3,4,9-tetrahydro-9-methyl-1h-carbazole",,0.681898,0.828155762,1.474539329,
deuterium chloride,,0.838921,0.999797672,0.666869232,
"1,1,1-trifluoro-2-methoxyethane",,0.758193,0.85569775,1.155400345,
"azobenzene~|~(e)-1,2-diphenyldiazene",,0.355845,0.810192796,1.924692683,
4-phenylpyrimidine,,1.2766,0.999984853,0.727884219,
"1,2,3,4-tetrahydrodibenzothiophene",,0.774447,0.850601622,1.182170614,
"2,3-dihydro-4,7-dimethyl-1h-indene",,0.491873,0.815073681,1.60010801,
bromotrinitromethane,,1.557442,0.555816164,0.441792737,
r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane,,0.660876,0.923119486,0.91816083,
.gamma.-methoxypropylamine,,1.124762,0.910468481,0.78504296,
cis-perfluorodecalin~|~cis-perfluorodecahydronaphthalene,,0.369859,0.802264808,2.481413109,
8-pentadecanone,,0.32739,0.814646752,3.231607079,
9-fluorenemethanol,,1.774405,0.913323171,0.547989962,
"perfluoro-2,4,6,8,11,13,15,17-octaoxaoctadecane",,0.345387,0.79918938,3.629251359,
"2,3-dihydro-1,1,4-7-tetramethyl-1h-indene",,0.396992,0.810713772,1.905602865,
difluorobis(trifluoromethoxy)methane,,1.080577,0.968942591,0.878458982,
"1,2,3,6,7,8-hexahydropyrene",,1.295803,0.999973373,0.795073298,
"4,6-dimethylindan",,0.526205,0.816515306,1.528770649,
"3-ethyl-o-xylene~|~1-ethyl-2,3-dimethylbenzene",,1.861522,0.997654377,0.468748754,
"phthalan~|~1,3-dihydroisobenzofuran~|~2,5-dihydrobenzo-3,4-furan",,0.32031,0.817377187,1.953017067,
n-hexyl levulinate,,0.534318,0.827507501,2.258915339,
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",,0.470488,0.814690263,1.585801357,
r12b1~|~bromochlorodifluoromethane,,0.918742,0.999989811,0.685950729,
"perfluoro-2,4,6,9,11,13-hexaoxatetradecane",,0.323249,0.804676958,3.478939492,
"azetidine, 1-(2-phenylethyl)-",,0.887003,0.946576153,1.379103534,
"2-(difluoromethoxy)-1,1,1-trifluoroethane~|~1,1,1-trifluoro-2-(difluoromethoxy)ethane",,0.194429,0.832057387,2.86333406,
"benzo[h]quinoline~|~7,8-benzoquinoline",,0.546308,0.827511267,1.606896342,
4-chlorophthalic anhydride,,1.319821,0.999859946,0.869640726,
2-cyclohexen-1-one~|~2-cyclohexene-1-one,,0.280556,0.826681099,1.939883871,
methyl ricinoleate~|~[r]-methyl 12-hydroxy-9-octadecenoate,,0.567647,0.305615973,1.368371609,
ethine~|~ethyne~|~acetylene,,0.722962,0.957785444,0.910352846,
"2,7-di-tert-butylfluorene",,1.640025,0.919283761,0.651584291,
isopropylcyclopentane~|~1-methylethylcyclopentane~|~(1-methylethyl)-cyclopentane,,0.377412,0.824702387,1.558066327,
"5-fluoro-1,3-isobenzofurandione",,1.208584,0.999983852,0.959788424,
(e)-2-octene~|~trans-2-octene,,0.809403,0.925699661,1.185332277,
"1,2-dichloro-3-nitrobenzene",,0.229922,0.819305393,3.125934621,
trans-perfluorodecahydronaphthalene,,0.487392,0.803481817,1.98851733,
cyclododecane,,0.368069,0.810796261,1.783894412,
"butane, 2,3-dichloro-1,1,1,4,4,4-hexafluoro-, meso-",,1.297997,0.899468873,0.631046953,
deuterium sulfide,,0.549413,0.844347271,0.818205535,
"1,2-dichlorononane",,1.139876,0.963744851,0.932312079,
"1,1,1,2,2-pentafluoropropane",,0.170226,0.838108072,2.67727037,
"ethyl tert-butyl disulfide~|~2,2-dimethyl-3,4-dithiahexane",,0.929389,0.913500223,0.880504678,
(z)-3-hexene~|~cis-3-hexene,,0.635041,0.871717046,1.149399692,
"1,1,2-trimethylcyclopentane",,0.858237,0.908510237,0.861406914,
"2,3-dihydro-1,1,4,6-tetramethyl-1h-indene",,0.325283,0.814439058,2.254000637,
sulfur hexafluoride,,0.746298,0.977519961,0.940250209,
"3,4-dithiaheptane~|~ethylpropyldisulfide",,1.069564,0.999853796,0.847297784,
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",,0.367167,0.819965353,1.71038696,
"1,2,4,5-tetraisopropylbenzene~|~1,2,4,5-tetrakis(1-methylethyl)benzene",,0.246419,0.809067674,3.366644893,
propyl levulinate,,1.279085,0.999999593,0.925861638,
phenoxathiin,,0.404073,0.814883674,1.674152719,
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",,0.466168,0.818750816,1.558077719,
"[1s-(1.alpha.,2.beta.,5.alpha.)]-2,6,6-trimethylbicyclo[3.1.1]heptane",,1.122349,0.99995272,0.73562609,
"r365mfc~|~1,1,1,3,3-pentafluorobutane",,0.491552,0.82588499,1.551974774,
(z)-2-octene~|~cis-2-octene,,1.147106,0.99714582,0.788941719,
"2,3-dihydrofuran",,0.887717,0.940775448,0.791776484,
"halothane~|~2-bromo-2-chloro-1,1,1-trifluoroethane~|~1-bromo-1-chloro-2,2,2-trifluoroethane",,0.149607,0.840820619,2.702327397,
"1,1,3-trimethylcyclopentane",,0.534723,0.83801855,1.243575468,
"1,2,3,5-tetrafluorobenzene",,1.101844,0.999996503,0.778459331,
krypton,,0.135495,0.892790421,1.67892105,
vinyl propionate~|~vinyl propanoate~|~propanoicacidethenylester,,0.646762,0.817390739,1.245630201,
(e)-3-octene~|~trans-3-octene,,1.057036,0.959656307,0.857507817,
2-(ethyldithio)propane,,1.373709,0.99959252,0.572565843,
"(e)-4,4-dimethyl-2-pentene~|~trans-4,4-dimethyl-2-pentene",,0.934845,0.931548363,0.81215009,
methyl p-nitrobenzoate,,0.436066,0.843072256,2.55119867,
isoamyl levulinate,,0.652739,0.881566556,2.033646928,
"r236ea~|~1,1,1,2,3,3-hexafluoropropane",,0.171801,0.829277,2.904074369,
"2,4'-bipyridine",,0.406647,0.85802529,2.425560691,
"1,8-dimethylnaphthalene",,0.35683,0.85156217,2.52436308,
"3,4-diethyl-3,4-hexanediol",,0.394336,0.845124385,2.629044003,
3-pyridinecarboxamide,,1.489621,0.985346806,0.779166248,
4'-bromoacetophenone,,0.527964,0.840028368,1.907694645,
perfluoromethylcyclohexane~|~(trifluoromethyl)undecaflurocyclohexane,,0.469592,0.789008644,1.646817492,
2-methylpiperidine,,0.159069,0.840641344,2.706037822,
isoquinoline,,0.35515,0.818431949,1.691292532,
1-(4-fluorophenyl)ethanone,,0.841539,0.871251284,1.131889044,
"3,3-dimethyl-1-butene",,1.385162,0.982434363,0.466738558,
"perfluoro-1,3-dioxolane~|~2,2,4,4,5,5-hexafluoro-1,3-dioxolane",,1.084465,0.975067278,0.738654197,
"1,1-dimethylethyl phenyl ether",,0.193203,0.826602198,2.971373633,
"1,1,1,3,5,5,5-heptamethyltrisiloxane",,0.195847,0.811839022,3.22265911,
"2,4,4-trimethylhexane",,0.895875,0.90037976,0.964030773,
"2,2,4-trimethylhexane",,0.603911,0.830921513,1.267215038,
"2,3-pentanedione",,0.257977,0.836253305,2.708664432,
n-methylnicotinamide,,1.398242,0.983124457,0.828917641,
bicyclo[4.2.0]octane,,1.129512,0.999815049,0.674381319,
1-ethyl-cis-2-methylcyclopentane,,0.553664,0.834723704,1.256866867,
"(e)-2,2-dimethyl-3-hexene~|~trans-2,2-dimethyl-3-hexene",,0.267323,0.827595921,2.125841034,
methyl p-fluorobenzoate,,0.547866,0.82601427,1.640238867,
"cyclobutane, hexafluoro-1,2-bis(trifluoromethyl)-",,0.518663,0.816927726,1.601869057,
methyltris(trimethylsiloxy)silane,,0.250352,0.811868358,3.297903799,
"2-pentyl-2-nonenal~|~2-nonenal, 2-pentyl-",,0.714343,0.853966798,1.85158774,
"2,4,4-trimethyl-1-pentene",,0.922943,0.92456343,0.844914678,
"1-tert-butoxy-2-propanol~|~1-(1,1-dimethylethoxy)-2-propanol~|~propylene glycol 1-tert-butyl ether",,0.113226,0.804457435,3.485049824,
2-benzylpyridine,,0.527959,0.856407825,2.105928488,
1-fluoro-3-(trifluoromethyl)benzene,,0.230117,0.828065291,2.503203185,
"2-(1,2-dimethylpropyl)-5,6-dimethyl-2-heptenal",,0.798546,0.848253068,1.518293344,
methyl-4-formylbenzoate~|~methyl 4-formylbenzoate~|~terephthalaldehydic acid methyl ester,,0.466088,0.850746759,2.537211682,
"perfluoro-2-methyl-butane~|~butane, nonafluoro-2-(trifluoromethyl)-",,0.223707,0.822727335,2.806356258,
methyl p-cyanobenzoate,,1.334602,0.896081623,0.713624496,
"1,1,1,2,2,3,4,5,5,5-decafluoropentane",,1.549963,0.411160195,0.707484408,
8-methylquinoline,,0.460177,0.815445288,1.536004805,
cis-3-hexene~|~(e)-3-hexene~|~trans-3-hexene,,0.672598,0.91325969,1.209395649,
4-bromophenol,,0.543751,0.805807675,1.727737457,
tetrakis(trimethylsilyl) silicate,,0.269744,0.809316314,3.360136853,
"bicyclo[4.1.0]hept-3-ene, 3,7,7-trimethyl-, (1s,6r)-",,1.023151,0.892740798,0.791839889,
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",,1.099134,0.948908325,0.844186128,
"r245ca~|~1,1,2,2,3-pentafluoropropane",,0.156005,0.828282282,2.937271981,
3-bromo-1-propene,,0.147485,0.846693683,2.602875909,
benzothiazole,,0.531793,0.819841831,1.360874853,
"3,4-dimethylpentanal",,0.465003,0.81614512,1.614739172,
methyl 4-chlorobenzoate,,1.062004,0.929550115,0.999833727,
"2,4-dimethyl-1-pentene",,0.620034,0.844221427,1.142153791,
"n-hydroxydiethylamine~|~n,n-diethylhydroxylamine",,1.426616,0.999928842,0.905270052,
2'-acetoxyacetophenone,,1.040169,0.899172613,1.218714508,
3-ethyl-3-methylpentane~|~3-methyl-3-ethylpentane,,0.274463,0.835683583,2.096289148,
"o-diethylbenzene~|~1,2-diethylbenzene",,0.294588,0.814187883,2.213452994,
"1,1,1,2,2-pentafluoropentan-3-one",,0.343963,0.718800293,1.752395974,
"1,2-dichlorobutane",,1.099348,0.997018546,0.687272127,
"n,n-dimethylnicotinamide",,1.173814,0.950371307,0.964661281,
(-)-verbenone,,1.141073,0.99998302,0.994473872,
boron tribromide,,0.33521,0.8303156,1.513639419,
cyclononanone,,0.275364,0.8230595,2.141690062,
1-chloro-2-ethylhexane,,1.19602,0.989065542,0.792250406,
"1-chloro-1,1,3,3,3-pentafluoro-2-propanone",,0.814692,0.856182051,1.006794693,
"propanedinitrile, dimethyl-",,0.414271,0.813323087,1.620177062,
4-fluorophenol,,1.013613,0.605632833,0.780497067,
"2-aminodiphenyl~|~2-amino-1,1'-biphenyl",,0.232868,0.823450632,2.810850246,
2-methyl-3-ethylpentane~|~3-ethyl-2-methylpentane~|~2-methyl-3-ethyl-pentane,,0.233683,0.831989256,2.380288808,
cis-bicyclo[3.3.0]octane,,0.741928,0.851358985,0.995458846,
methyl 4-bromobenzoate,,0.799128,0.898575264,1.426803461,
"2,4-difluoronitrobenzene",,0.364886,0.846516214,2.605929693,
"neopentane~|~2,2-dimethylpropane",,0.143081,0.849598004,2.453459854,
"r1234zez~|~r1234ze(z)~|~cis-1,3,3,3-tetrafluoropropene~|~(z)-1,3,3,3-tetrafluoro-1-propene~|~(z)-1,3,3,3-tetrafluoroprop-1-ene",,0.215975,0.846343958,2.589777904,
piperazine,,1.367435,0.86304853,0.563595902,
"2,2-dimethylhexane",,0.587659,0.826216728,1.277926233,
methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane~|~methyl tert-butyl ether~|~mtbe,,0.619396,0.812353827,1.059938434,
"perfluorotriethylamine~|~pentadecafluoro-n,n-diethylethanamine",,0.190944,0.811090174,3.31675371,
neon,,0.260097,0.947353651,1.117499978,
4'-chloroacetophenone~|~1-(4-chlorophenyl)ethanone,,0.498032,0.813539115,1.689245368,
"2,3-dimethylhexane",,0.300812,0.822483338,2.065509288,
methylformate~|~methyl methanoate,,1.318045,0.999711634,0.536655625,
2-methyl-1-pentene,,1.119005,0.997007412,0.680530076,
"2-chloro-1,1,1,2-tetrafluoropropane",,0.908153,0.999322819,0.833488023,
4-acetoxyacetophenone,,0.963508,0.892133306,1.449567212,
"tricaprin~|~1,2,3-propanetriyl tridecanoate~|~decanoic acid 1,2,3-propanetriyl ester",,1.510069,0.943562425,1.409724681,
n-methylbenzamide,,0.93558,0.903103034,1.613518541,
"dichloroacetic acid~|~2,2-dichloroacetic acid",,0.902481,0.932179923,1.54579853,
bicyclo[3.1.0]hexane,,0.582478,0.929887419,1.419304387,
"butane, 1,4-dichloro-1,1,2,3,4,4-hexafluoro-, meso-",,6.28e-6,0.19285616,0.903767128,
1-methylindole,,0.380568,0.856365607,2.450201287,
"2-buten-1-ol, 3-methyl-",,1.279232,0.994910227,0.919095815,
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",,0.306401,0.829777328,2.011245912,
"p-dichlorobenzene~|~1,4-dichlorobenzene",,0.273412,0.829982233,2.162632337,
"2,2,3,3,5,6,6-heptamethylheptane",,0.79343,0.857114709,1.200437316,
para-iodoacetophenone,,0.808623,0.901202861,1.452895387,
"1,4-dimethoxybenzene",,0.242826,0.825586958,2.901483833,
pyrazine,,0.619641,0.850426585,1.07631131,
4-fluoronitrobenzene~|~1-fluoro-4-nitrobenzene,,0.469629,0.816543909,1.625781178,
bicyclo[5.3.0]decane,,0.208662,0.84559401,2.620857648,
"3,4-dimethylhexane",,0.237899,0.833438327,2.408210521,
2-ethyl-4-methyl-2-pentenal,,0.211885,0.828617329,2.929823951,
(e)-4-methyl-2-pentene~|~4-methyl-trans-2-pentene,,1.157263,0.944636394,0.639295588,
"2,3-dimethyl-2-hexene",,0.850485,0.985965251,1.073753526,
"cyclohexene, decafluoro-",,0.842415,0.898523842,1.151840126,
3-methylthiacyclopentane,,0.764069,0.895379201,0.921544261,
"2,5-dichlorophenol",,2.167953,0.79518973,0.30717008,
"p-dibromobenzene~|~1,4-dibrombenzene~|~1,4-dibromobenzene",,1.088636,0.999633911,0.739625636,
"enflurane~|~2-chloro-1,1,2-trifluoroethyl difluoromethyl ether",,0.203181,0.827485886,2.953455262,
(s)-2-pinene,,0.574197,0.82723526,1.323352723,
"hexafluoroacetone~|~perfluoro-2-propanone~|~1,1,1,3,3,3-hexafluoro-2-propanone",,0.131773,0.82116823,3.085116055,
2-(dimethylamino)ethyl methylpropenoate,,1.076165,0.984798795,1.082844244,
"1,2,4,5-tetrafluorobenzene",,0.40383,0.807779067,1.677463464,
"2,5-dimethyl pyrrole~|~2,5-dimethyl-1h-pyrrole",,1.342764,0.466583883,0.681674221,
pentafluoroethylmethylether~|~methyl perfluoroethyl ether~|~methyl pentafluoroethyl ether,,0.363779,0.786847612,1.733010309,
cl2~|~chlorine,,0.320297,0.839720669,1.14519083,
"2,2,4-trimethyl-1,3-pentanediol",,0.0,0.151590487,1.065910232,
"3,3-dimethylhexane",,0.414814,0.818300256,1.584972613,
"(-)-beta-pinene~|~(1s,5s)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane",,0.473845,0.8294135,1.555450948,
2-o-tolyl-2-p-tolylbutane,,0.75746,0.661697649,1.086344636,
methyl 5h-perfluoropentanoate,,0.977505,0.919400979,1.197076785,
1-bromo-2-isobutoxybenzene,,1.013035,0.96261064,1.198026376,
"2h-thiopyran, tetrahydro-4-methyl-",,0.989143,0.999998674,0.744159468,
butanamide,,1.242176,0.999896616,0.988053946,
o-ethyltoluene~|~1-methyl-2-ethylbenzene~|~1-ethyl-2-methylbenzene,,1.148585,0.988267378,0.74764325,
1-iodo-3-methylbutane,,1.157725,0.999793886,0.655795244,
"r245fa~|~1,1,1,3,3-pentafluoropropane",,0.898274,0.869389808,0.973995756,
"2,5-dimethyl-2,4-hexadiene",,1.061963,0.937272889,0.874353645,
"2,5-dimethyl-1,5-hexadiene",,0.844788,0.985909707,1.069479788,
3-ethylhexane,,0.244719,0.828746026,2.424041706,
"1,2-epoxy-perfluoropropylene~|~2,2,3-trifluoro-3-(trifluoromethyl)oxirane",,1.023973,0.942295853,0.818003491,
etbe~|~tert-butyl ethyl ether~|~ethyl tert-butyl ether~|~2-ethoxy-2-methylpropane~|~2-ethoxy-2-methyl-propane,,0.596349,0.833822797,1.24608238,
"1,4-dibromoperfluorobutane",,0.849548,0.841535771,0.996959225,
"2-chloro-1,1,2-trifluoroethylchloromethyl ether~|~chloromethyl 2-chloro-1,1,2-trifluoroethyl ether",,0.621661,0.8166422,1.596592396,
"epichlorohydrin~|~alpha-epichlorohydrin~|~(chloromethyl)-oxirane~|~1-chloro-2,3-epoxypropane",,1.050228,0.929353238,0.887836624,
r161~|~fluoroethane~|~ethyl fluoride,,0.198341,0.84112272,2.131086279,
ethylacetate~|~ethyl ethanoate,,1.197215,0.999998969,0.72940286,
dibutoxymethane,,1.494527,0.984496785,0.718274457,
"1,4-dichloroperfluorobutane",,0.471503,0.847315392,1.635678338,
pentafluoro(trifluoromethoxy)ethane,,0.396827,0.851340638,1.878509147,
4-fluorobenzonitrile,,1.011907,0.938062433,0.857441771,
isopropyl levulinate,,0.648776,0.891421029,1.994664818,
(e)-5-decene,,1.529203,0.997962225,0.626858853,
2-oxadodecane~|~decyl methyl ether,,0.357285,0.805562547,2.534582618,
"butoxide~|~ethyloxirane~|~1,2-epoxybutane",,0.163956,0.842843678,2.628388142,
benzamide,,0.925876,0.901568997,1.41177287,
thiirane~|~thiacyclopropane~|~ethylene sulfide,,0.928899,0.997237406,0.674612881,
"1,2-dichloropentane",,1.27206,0.999816334,0.614056616,
ethyl chloroformate~|~ethyl chloromethanoate,,0.852879,0.93561706,1.05427391,
nitrous oxide~|~dinitrogen monoxide,,0.469056,0.81213394,1.034612297,
"r132b~|~1,1-difluoro-1,2-dichloroethane~|~1,2-dichloro-1,1-difluoroethane",,0.135556,0.837711572,2.758124634,
"1,2-dibromotetrafluoroethane~|~1,2-dibromo-1,1,2,2-tetrafluoroethane",,0.136783,0.844702732,2.636005097,
"1,1,2-trichloroethane",,0.178916,0.847270326,2.593465706,
