Clapeyron Database File,,,,,,,,,
CKSAFT Like Parameters,,,,,,,,,
species,DIPPR Number,Mw,segment,c,vol,epsilon,n_H,n_e,source
butanone~|~2-butanone~|~methyl ethyl ketone,,,4.193,10.0,11.871,229.99,0,0,
2-pentanone~|~pentan-2-one~|~methyln-propylketone,,,4.644,10.0,11.653,230.4,0,0,
3-pentanone~|~pentan-3-one~|~diethylketone,,,4.569,10.0,10.51,235.24,0,0,
trimethylamine,,,3.459,10.0,14.102,196.09,0,0,
triethylamine,,,5.363,10.0,11.288,201.31,0,0,
methylformate~|~methyl methanoate,,,3.886,10.0,7.548,215.48,0,0,
ethylformate~|~ethyl methanoate,,,4.727,10.0,7.954,202.72,0,0,
propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate,,,5.276,10.0,8.671,203.98,0,0,
butylformate~|~n-butyl formate~|~butyl methanoate~|~n-butylmethanoate,,,5.46,10.0,10.1,212.34,0,0,
methylacetate~|~methyl ethanoate,,,4.918,10.0,7.366,200.58,0,0,
ethylacetate~|~ethyl ethanoate,,,5.566,10.0,7.897,196.19,0,0,
propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,,,6.106,10.0,8.637,197.94,0,0,
butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,,,5.918,10.0,10.829,212.11,0,0,
methylpropionate~|~methyl propanoate,,,5.493,10.0,7.991,199.61,0,0,
ethylpropionate~|~ethyl propanoate,,,6.064,10.0,8.621,197.45,0,0,
propylpropionate~|~propyl propanoate~|~n-propyl propanoate~|~n-propyl propionate,,,6.09,10.0,10.332,207.13,0,0,
methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,,,6.176,10.0,8.634,196.83,0,0,
ethylbutyrate~|~ethyl butanoate~|~ethyl n-butyrate,,,5.675,10.0,11.273,214.04,0,0,
propylbutyrate~|~n-propylbutyrate~|~propyl butanoate~|~n-propylbutanoate~|~n-propyl n-butyrate,,,6.713,10.0,10.575,205.67,0,0,
ethene~|~ethylene~|~1-ethylene,,,1.464,10.0,18.157,212.06,0,0,
propene~|~propylene,,,2.223,10.0,15.648,213.9,0,0,
butene~|~1-butene,,,3.162,10.0,13.154,202.49,0,0,
hexene~|~1-hexene~|~hex-1-ene,,,4.508,10.0,12.999,204.71,0,0,
r40~|~chloromethane~|~methyl chloride,,,2.377,10.0,10.765,238.37,0,0,
ch2cl2~|~dichloromethane,,,3.114,10.0,10.341,253.03,0,0,
chcl3~|~chloroform~|~trichloromethane,,,3.661,10.0,10.971,240.31,0,0,
ccl4~|~tetrachloromethane~|~carbon tetrachloride,,,3.458,10.0,13.73,257.46,0,0,
chloroethane~|~ethyl chloride,,,3.034,10.0,11.074,229.58,0,0,
propyl chloride~|~1-chloropropane,,,3.6,10.0,11.946,229.14,0,0,
1-chlorobutane~|~n-butyl chloride,,,4.207,10.0,12.236,227.88,0,0,
1-chlorohexane,,,5.458,10.0,12.422,225.82,0,0,
chlorobenzene~|~monochlorobenzene,,,3.962,10.0,13.093,276.72,0,0,
ammonia,,,1.503,1.0,10.0,283.18,2,1,
water,,,1.179,1.0,10.0,528.17,2,1,
hydrogen sulfide,,,1.935,10.0,10.0,226.38,2,1,
methanol,,,1.776,10.0,12.0,216.13,1,1,
ethanol,,,2.457,10.0,12.0,213.48,1,1,
propanol~|~1-propanol~|~propan-1-ol,,,3.24,10.0,12.0,225.68,1,1,
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,,,3.971,10.0,12.0,225.96,1,1,
1-pentanol~|~pentan-1-ol,,,4.642,10.0,12.0,225.15,1,1,
1-hexanol~|~hexan-1-ol,,,5.315,10.0,12.0,222.88,1,1,
1-heptanol~|~heptan-1-ol,,,6.028,10.0,12.0,221.62,1,1,
1-octanol~|~octan-1-ol,,,6.642,10.0,12.0,220.69,1,1,
1-nonanol~|~nonan-1-ol,,,7.322,10.0,12.0,219.18,1,1,
1-decanol~|~decan-1-ol,,,8.024,10.0,12.0,217.14,1,1,
2-propanol~|~propan-2-ol~|~isopropanol,,,3.249,10.0,12.0,202.94,1,1,
2-butanol~|~butan-2-ol,,,3.933,10.0,12.0,216.41,1,1,
isobutanol~|~2-methyl-1-propanol,,,4.028,10.0,12.0,232.9,1,1,
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,,,3.966,10.0,12.0,202.35,1,1,
phenol,,,4.103,10.0,12.0,290.08,1,1,
formicacid~|~methanoicacid,,,1.341,10.0,15.5,333.28,1,0,
acetic acid,,,2.132,10.0,14.5,290.73,1,0,
propionicacid~|~propanoic acid~|~n-propanoicacid,,,3.084,10.0,13.5,296.03,1,0,
butyricacid~|~butanoic acid~|~n-butyric acid~|~n-butanoicacid,,,3.8,10.0,13.0,268.93,1,0,
bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid,,,4.719,10.0,12.0,248.63,1,0,
hexanoicacid~|~n-hexanoicacid~|~n-pentyl formate,,,5.482,10.0,12.0,243.39,1,0,
heptanoic acid~|~n-heptanoicacid,,,6.059,10.0,12.0,241.5,1,0,
caprylicacid~|~octanoic acid~|~n-octanoic acid,,,6.628,10.0,12.0,240.41,1,0,
nonanoic acid~|~n-nonanoic acid,,,7.274,10.0,12.0,238.97,1,0,
decanoic acid~|~n-decanoicacid,,,7.847,10.0,12.0,237.1,1,0,
benzoic acid,,,4.608,10.0,12.0,272.66,1,0,
methylamine~|~methanamine,,,2.026,10.0,12.0,226.86,2,1,
ethylamine~|~ethanamine,,,2.781,10.0,12.0,208.61,2,1,
dipropylamine~|~1-propanamine~|~di-n-propylamine,,,3.45,10.0,12.0,211.36,2,1,
1-butylamine~|~n-butylamine~|~1-butanamine,,,4.062,10.0,12.0,210.91,2,1,
pentylamine~|~n-pentylamine~|~1-pentanamine~|~1-aminopentane~|~1-pentylamine,,,4.773,10.0,12.0,215.81,2,1,
hexylamine~|~n-hexylamine~|~1-hexanamine,,,5.476,10.0,12.0,215.73,2,1,
1-heptanamine~|~n-heptylamine,,,6.153,10.0,12.0,218.62,2,1,
aniline,,,4.034,10.0,12.0,288.1,2,1,
dimethylamine,,,2.637,10.0,12.0,208.23,1,1,
diethylamine,,,3.996,10.0,12.0,212.62,1,1,
