Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
2-methoxyethylamine;75.111;572.0;5.778056466e6;0.270345729;0.819762146;2.033505396
2-chloro-1,1,1-trifluoroethane~|~1-chloro-2,2,2-trifluoroethane;118.4832095;425.01;4.014289229e6;0.791192032;0.884238322;0.976454404
perfluoro(propylcyclohexane);450.0702569;521.0;1.426957656e6;0.373496721;0.804567464;2.420807591
1,1-dichlorohexane;155.062;640.0;3.043452192e6;0.193785424;0.832439585;2.856156497
ethylhexyl acetate~|~2-ethylhexyl acetate~|~1-hexanol, 2-ethyl-, acetate~|~aceticacid-2-ethylhexylester;172.268;642.4;2.019636076e6;0.28244318;0.810177771;2.838353386
benzoxazole;119.123;699.0;4.558176037e6;0.302856498;0.816211929;2.000308054
2,4-hexadiyne;78.114;619.0;4.647274498e6;0.810103188;0.890280512;0.978404719
(r*,r*)-2,3-dichloro-1,1,1,4,4,4-hexafluorobutane;234.950419;507.0;2.580083854e6;0.612867931;0.940403243;1.445428626
(-)-trans-pinane;138.254;643.0;2.746258063e6;0.743955164;0.851942048;1.055678158
benzonitrile, p-chloro-;137.566;723.0;3.295197829e6;1.191439051;0.999999967;0.79205967
chlorine trifluoride;92.44520949;452.74484;7.159272999e6;0.338887466;0.831700136;1.907772636
2-methylcyclohexyl acetate;156.225;655.0;2.726390174e6;0.725032498;0.848995637;1.268707019
1,2-dibromohexane;243.97;708.0;3.150062739e6;0.198269451;0.836739085;2.775756362
pivalic anhydride;186.251;644.0;2.064459164e6;0.257820319;0.814383681;2.794350428
(e)-3-methyl-3-hexene;98.189;541.0;3.01826633e6;0.454804627;0.820578812;1.505226641
2,2-di-p-tolylbutane;238.374;824.0;1.896496722e6;0.493444938;0.785191699;1.779167439
dicyclohexyl sulfide;198.368;803.0;2.847862426e6;0.318479228;0.815570731;2.18049349
perfluoro-1-decene;500.0780633;510.0;1.158869527e6;0.26135884;0.81088152;3.321858168
propyl chloroformate;122.548;572.0;3.733172412e6;0.980507488;0.891259181;0.877072089
1,1-dichlorooctane;183.116;679.0;2.445468336e6;0.214300605;0.823937776;3.026288962
1,3,5-trifluorobenzene;132.0852095;530.9;3.929372473e6;0.213724093;0.848508616;2.573200732
1,2,3,4-tetrahydroquinoline;133.194;786.0;4.115791673e6;0.51239987;0.786510736;1.411687696
.gamma.,.gamma.'-bipyridyl;156.188;831.0;4.457311467e6;0.340927677;0.85094985;2.534071982
1,1,2,2,3,3,4,4,5-nonafluorocyclopentane;232.0486285;460.0;3.327511008e6;0.177486412;0.831937289;2.865393957
butylvinylether~|~1-(ethenyloxy)butane;100.161;540.5;3.121894434e6;0.306323968;0.815163635;2.002907601
1h-2-benzopyran, 3,4-dihydro-;134.178;735.0;3.951622253e6;0.331231173;0.814466393;1.923556581
1,1,1,2,2,3,3,4,4-nonafluoro-4-propoxybutane;278.1176285;503.0;1.831871749e6;0.273282204;0.813016729;2.665880024
perfluoro(2-methylpropyl)cyclohexane;500.0780633;537.0;1.256288845e6;0.405733399;0.803435392;2.409656013
1,1,1,2,2,3,3-heptafluoro-3-(2,2,3,3-tetrafluoropropoxy)propane;300.0714348;484.0;1.911392501e6;0.572145492;0.814003493;1.748327559
ethyl-t-butyl sulfide~|~ethyl t-butyl sulfide~|~ethyl-tert-butyl sulfide~|~2,2-dimethyl-3-thiapentane~|~2-(ethylthio)-2-methylpropane;118.238;597.0;3.598521823e6;0.261643455;0.825717808;1.992952607
2-ethyl-3-methyl-1-butene~|~1-butene, 2-ethyl-3-methyl-;98.189;538.9;3.302585002e6;0.2479359;0.827325633;2.123742973
carbon dioxide;44.009;304.1793535;7.381764547e6;0.64606792;0.827942676;0.957675703
1,3,5-trimethyladamantane~|~1,3,5-trimethyl-tricyclo[3.3.1.1(3,7)]decane;178.319;700.0;2.419256612e6;0.191245921;0.836577027;2.60658663
5,6,7,8-tetrahydroquinoline;133.194;744.0;3.824631223e6;0.454158106;0.815659454;1.561861214
4,5-dichloro-1-methyl-1h-imidazole;150.99;883.0;6.716253871e6;1.280004671;0.692151742;0.482382123
undecafluoropiperidine;283.0444348;452.0;2.161323245e6;0.581353938;0.833466129;1.499359249
1,3-dichlorobutane;127.008;618.0;3.886958161e6;0.283282543;0.823579265;1.975463816
n,n-dimethyl(2-pentylnonyl)amine~|~n,n-dimethyl-2-pentyl-1-nonanamine;241.463;706.0;1.323248274e6;0.292923521;0.808489564;3.380921951
2,3-dimethyl-2-butanethiol;118.238;608.0;3.585637455e6;0.187986125;0.851410692;2.526769579
benzonitrile, o-chloro-;137.566;740.0;3.14325109e6;1.203653128;0.999998451;0.76580262
2,6-bis(1,1-dimethylethyl)-4-methylphenol;220.356;763.0;2.340397712e6;1.483499884;0.991294923;0.65381692
3-ethyl-2-methyl-1-pentene~|~2-methyl-3-ethyl-1-pentene;112.216;565.3;2.935641084e6;0.2927554;0.822702376;1.953438861
