Clapeyron Database File
Rackett Compresibility Factor Single Parameters
species,ZRA
pentafluorophenol,0.2619
pentamethylbenzene,0.255
pentanal,0.2578
pentylcyclohexane,0.2586
perchloryl fluoride,0.2811
perfluorobutanoic acid,0.2413
perfluoromethylcyclopentane,0.2667
perfluoro-n-heptane,0.2556
perfluoro-n-hexane,0.2618
perfluoro-n-octane,0.2536
perfluoro-n-pentane,0.2663
p-ethyltoluene,0.2651
phenanthrene,0.2259
phenetole,0.2547
phenol,0.2771
phenyl isocyanate,0.2592
phenyl mercaptan,0.2665
phenylacetonitrile,0.2289
phenylmethyldichlorosilane,0.2638
phenyltrichlorosilane,0.2629
phosgene,0.2789
phosphine,0.2975
phosphorus oxychloride,0.2152
phosphorus trichloride,0.2937
phthalan,0.2595
p-hydroxybenzaldehyde,0.2419
piperidine,0.2724
p-methylstyrene,0.2615
p-nitrotoluene,0.2219
potassium,0.2039
p-phenylenediamine,0.248
propadiene,0.2677
propanal,0.2549
propane,0.277
propargyl alcohol,0.2405
propenylcyclohexene~|~1-allylcyclohexene~|~1-(2-propenyl)cyclohexene,0.2616
propionic acid,0.2284
propionic anhydride,0.2571
propionitrile,0.2176
propyl chloride,0.2627
propylene,0.2776
propylene glycol 1-tert-butyl ether,0.2553
propylene glycol ethyl ether acetate,0.2568
propylene glycol monomethyl ether acetate,0.2548
propylene glycol n-propyl ether,0.2703
p-terphenyl,0.2732
p-tert-butylphenol,0.2652
p-tolualdehyde,0.254
p-toluidine,0.2459
p-xylene,0.2585
pyrazine,0.2493
pyrazole,0.2358
pyridine,0.2681
pyrrole,0.2592
pyrrolidine,0.2766
quinaldine,0.2425
quinoline,0.2759
quinone,0.2801
radon,0.2807
sec-butyl acetate,0.2667
sec-butyl chloride,0.2685
sec-butyl formate,0.264
sec-butyl mercaptan,0.2739
sec-butylamine,0.265
sec-butylbenzene,0.2603
sec-butyl-tert-butyl ether,0.2721
silane,0.309
styrene,0.2606
sulfur dichloride,0.2671
sulfur dioxide,0.2664
sulfur hexafluoride,0.2788
sulfuryl chloride,0.2496
tert-butyl acetate,0.2675
tert-butyl chloride,0.2787
tert-butyl ethyl ether,0.2684
tert-butyl mercaptan,0.2862
tert-butyl methacrylate,0.2672
tert-butylamine,0.2704
tert-butylbenzene,0.2646
tert-nonyl mercaptan,0.2476
tert-octyl mercaptan,0.2629
tetrachloroethylene,0.2663
tetrachlorosilane,0.271
tetraethoxysilane,0.2744
tetraethyl lead,0.2406
tetraethyl silane,0.2671
tetraethylenepentamine,0.25
tetrafluoroethylene,0.2701
tetrahydrofuran,0.2682
tetrahydropyran,0.2757
tetrahydrothiophene,0.2613
tetramethylsilane,0.2718
thiacyclopropane,0.2603
thionyl chloride,0.2239
thiophene,0.2721
thymol,0.2692
tin(iv) chloride,0.2663
toluene,0.2643
"trans,trans-2,4-hexadiene",0.255
"trans-1,2-dichloroethylene",0.2755
"trans-1,2-dimethylcyclohexane",0.2592
"trans-1,2-dimethylcyclopentane",0.278
"trans-1,3,3,3-tetrafluoropropene",0.2664
"trans-1,3-dimethylcyclohexane",0.2591
"trans-1,3-dimethylcyclopentane",0.2779
"1-trans-3-pentadiene~|~(e)-1,3-pentadiene~|~trans-1,3-pentadiene",0.2595
"trans-1,4-dimethylcyclohexane",0.2644
trans-2-butene,0.272
trans-2-heptene,0.2592
trans-2-hexene,0.2629
trans-2-octene,0.2562
trans-2-pentene,0.2709
trans-3-heptene,0.2607
trans-3-hexene,0.2648
trans-3-octene,0.2569
trans-4-octene,0.2573
trans-crotonitrile,0.2243
trans-decahydronaphthalene,0.2713
tribromomethane,0.2826
trichloroacetic acid,0.2621
trichloroacetyl chloride,0.2806
trichloroethylene,0.2704
trichlorofluoromethane,0.2759
trichlorosilane,0.2787
tridecafluoroheptanoic acid,0.2612
tridecanal,0.2627
triethylamine,0.2693
trifluoromethane,0.2576
trimethylamine,0.2711
trimethylchlorosilane,0.2727
trimethylene sulfide,0.2553
tri-n-butylamine,0.251
triphenylmethane,0.2437
undecanal,0.266
undecyl mercaptan,0.2437
valeronitrile,0.2388
vinyl chloride,0.2748
vinyl fluoride,0.2744
vinyl formate,0.2605
vinyl propionate,0.2605
vinylacetonitrile,0.2197
vinylacetylene,0.265
vinylethylene carbonate,0.2421
vinyltrichlorosilane,0.2543
vinyltrimethoxysilane,0.2614
water,0.2307
xenon,0.2877
