Clapeyron Database File,,,,,,,,,,,,,,,,,,,
NASAIdeal Coefficients from Modelica.Media.IdealGases.Common.SingleGasesData [csvtype = single],,,,,,,,,,,,,,,,,,,
species,Tmid,a1l,a2l,a3l,a4l,a5l,a6l,a7l,b1l,b2l,a1h,a2h,a3h,a4h,a5h,a6h,a7h,b1h,b2h
AL2S2,1000.0,66145.8732,-1111.319537,12.57007304,-0.001456053256,-5.85162711e-07,1.390055053e-09,-5.4964682e-13,19144.56895,-36.00277092,-137780.6456,-77.050325,10.55723566,-2.277554487e-05,5.00768285e-09,-5.715862119999999e-13,2.63799924e-17,13133.36091,-22.56851594
Ar,1000.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745375,4.37967491,20.10538475,-0.05992661069999999,2.500069401,-3.99214116e-08,1.20527214e-11,-1.819015576e-15,1.078576636e-19,-744.993961,4.37918011
Arplus,1000.0,-57312.0917,793.079147,-1.717121217,0.01044184018,-1.180207501e-05,6.52813478e-09,-1.44755813e-12,179057223,29.4915095,-383596.54,816.20197,2.301342628,-4.95298377e-06,1.205108477e-08,-2.185050286e-12,1.265493898e-16,177181.1455,7.94750748
B,1000.0,118.2394638,-0.0700991691,2.500236159,-4.5842137e-07,5.12318583e-10,-3.057217674e-13,7.533815325e-17,68483.5908,4.20950192,-107265961,322.530716,2.126407232,0.0002106579339,-5.93712916e-08,7.37742799e-12,-2.282443381e-16,66434131,6.87706967
Bplus,1000.0,0.07849791190000001,-0.000894748095,2.500004085,-9.577271229999999e-09,1.218136411e-11,-7.98675252e-15,2.113769829e-18,165508026,2.419053631,-8911.54803,4.58779009,2.531500086,-4.9039491e-05,2.853326582e-08,-7.38217591e-12,7.12072156e-16,165452.6303,2.23866978
Bminus,1000.0,22.01568105,-0.00474046888,2.500014238,-2.497056599e-08,2.556360708e-11,-1.41527478e-14,3.27177071e-18,64517.9188,4.61636729,21.18018248,0.0002070697496,2.499999729,1.456693631e-10,-3.88857176e-14,5.09059863e-18,-2.601566168e-22,64517.8914,4.61645583
BBr,1000.0,37960935,-497.609602,5.2670082,-3.74284019e-05,-1.13154437e-06,1.261945702e-09,-4.28881188e-13,30381.25367,-4.35340733,253685.8027,-640.59095,4.66682347,0.000417548639,-2.963714868e-07,7.51911954e-11,-4.83536832e-15,31890.8434,-0.825587091
BBr2,1000.0,65165.5071,-902.959076,8.0638178,0.00112984901,-4.19548239e-06,3.96565877e-09,-1.283029835e-12,14704.66408,-13.36453164,-419163337,415.768847,7.14816983,-0.000568959075,3.19544177e-07,-5.55317699e-11,3.19113676e-15,6118.98205,-5.50275962
BBr3,1000.0,39680.7369,-633.108716,8.05455157,0.0097775713,-1.614866025e-05,1.216119883e-08,-3.51653961e-12,-23667.23308,-11.0609939,-190104.6795,-150.3627687,10.10999896,-4.32309511e-05,9.40969619e-09,-1.06521847e-12,4.883048770000001e-17,-27425.53062,-19.97496003
BC,1000.0,-39157.58,728.453806,-1.552743361,0.01552898673,-1.976857863e-05,1.272066405e-08,-3.22998278e-12,96449.13680000001,32.48204466,-2346280674,6450.7513,-2.619532384,0.0033391605,-4.50802214e-07,1.351919576e-11,8.265104270000001e-16,57866.8507,50.37884876
BC2,1000.0,-29874.22175,364.312658,2.963469415,0.00656175015,-3.53976724e-06,1.927356029e-10,3.118724866e-13,93048.3573,10.83424193,1525485889,-5987.862380000001,14.08384855,-0.0037474998,1.081927223e-06,-1.378744645e-10,6.473822e-15,131120.4013,-63.37215498
BCL,1000.0,22024.58989,-170.0511155,3.066075869,0.00559507018,-8.46087041e-06,6.08473341e-09,-1.702889433e-12,21974.02537,6.388978917,-74212.6254,263.8090127,3.60022765,0.001018866266,-4.666184119999999e-07,9.849002029999999e-11,-6.46881817e-15,19127.2648,5.235317877
BCLplus,1000.0,65144.0542,-684.554101,5.52727682,-0.000445835745,-4.55772884e-07,6.37085816e-10,-2.13436612e-13,150942.4507,-6.918246393,-216942.3542,358.997516,4.03520837,0.000327445243,-8.63457845e-08,1.207061044e-11,-5.262253270000001e-16,144547.7224,3.488222017
BCLOH,1000.0,-28984.27288,689.404658,-2.288138069,0.0334942862,-4.72522598e-05,3.32698131e-08,-9.22423886e-12,-32619811,39.76886651,702773844,-2857.391274,10.9117584,-8.10770934e-05,-2.124440337e-08,5.40991244e-12,-3.46415384e-16,-13072.21888,-35.85168799
BCL_OH_2,1000.0,80726.23009999999,-859.461982,2.705039614,0.0387879962,-5.72173435e-05,4.14585033e-08,-1.168536754e-11,-93799.1074,7.134982695,1423878191,-5849.70407,17.92165219,-0.0002009909087,-3.39343578e-08,9.83856076e-12,-6.47267882e-16,-64742.6176,-81.00399519
BCL2,1000.0,35988.7942,-360.28265,4.15768545,0.0115287745,-1.816567395e-05,1.341714418e-08,-3.84082286e-12,-6765.107050000001,5.182311874,350140313,-1662.20359,8.83953472,-0.000977254411,2.467356248e-07,-2.501151018e-11,8.722954559999999e-16,568.2909440000001,-21.48348344
BCL2plus,1000.0,80659.5624,-1149.602601,10.16765297,-0.00358649491,2.837145924e-06,-1.225075731e-09,2.224794198e-13,84786.1741,-29.37256994,302929.3331,-1305.533159,8.92039006,-0.000728991964,1.727833266e-07,-1.523567337e-11,4.22691144e-16,86534.15770000001,-22.67466616
BCL2OH,1000.0,20997.5517,-247.0699169,2.578761742,0.03120362393,-4.54531405e-05,3.24201177e-08,-9.039822660000001e-12,-73090.2862,12.73658611,587811379,-2982.969317,14.00662004,-0.0001194189832,-1.269775742e-08,4.42289219e-12,-3.004089365e-16,-58241.6807,-51.50858228
