original_nasa_species,final_species,status
be4o4,be4o4,missing_kept_nasa_only
bromine atom~|~atomic bromine~|~br,bromine atom~|~atomic bromine~|~br,missing_kept_nasa_only
brplus,brplus,missing_kept_nasa_only
brminus,brminus,missing_kept_nasa_only
brcl,brcl,missing_kept_nasa_only
brf,brf,missing_kept_nasa_only
brf3,brf3,missing_kept_nasa_only
brf5,brf5,missing_kept_nasa_only
bro,bro,missing_kept_nasa_only
obro,obro,missing_kept_nasa_only
broo,broo,missing_kept_nasa_only
bro3,bro3,missing_kept_nasa_only
bromine~|~dibromine~|~br2,bromine~|~dibromine~|~br2,matched
brbro,brbro,missing_kept_nasa_only
brobr,brobr,missing_kept_nasa_only
carbon atom~|~atomic carbon~|~c,carbon atom~|~atomic carbon~|~c,missing_kept_nasa_only
cplus,cplus,missing_kept_nasa_only
cminus,cminus,missing_kept_nasa_only
cbr,cbr,missing_kept_nasa_only
cbr2,cbr2,missing_kept_nasa_only
cbr3,cbr3,missing_kept_nasa_only
cbr4,cbr4,missing_kept_nasa_only
ccl,ccl,missing_kept_nasa_only
ccl2,ccl2,missing_kept_nasa_only
ccl2br2,ccl2br2,missing_kept_nasa_only
ccl3,ccl3,missing_kept_nasa_only
ccl3br,ccl3br,missing_kept_nasa_only
ccl4~|~tetrachloromethane~|~carbon tetrachloride,ccl4~|~tetrachloromethane~|~carbon tetrachloride,matched
cf,cf,missing_kept_nasa_only
cfplus,cfplus,missing_kept_nasa_only
Tribromofluoromethane~|~R11B3~|~Halon1103~|~Tribromo(fluoro)methane~|~CBr3F~|~CFBr3,Tribromofluoromethane~|~R11B3~|~Halon1103~|~Tribromo(fluoro)methane~|~CBr3F~|~CFBr3,matched
cfcl,cfcl,missing_kept_nasa_only
Dibromochlorofluoromethane~|~Dibromo(chloro)fluoromethane~|~CBr2ClF~|~CFCLBr2,Dibromochlorofluoromethane~|~Dibromo(chloro)fluoromethane~|~CBr2ClF~|~CFCLBr2,matched
cfcl2,cfcl2,missing_kept_nasa_only
cfcl2br,cfcl2br,missing_kept_nasa_only
r11~|~cfcl3~|~trichlorofluoromethane,r11~|~cfcl3~|~trichlorofluoromethane,matched
cf2,cf2,missing_kept_nasa_only
cf2plus,cf2plus,missing_kept_nasa_only
cf2br2,cf2br2,missing_kept_nasa_only
cf2cl,cf2cl,missing_kept_nasa_only
cf2clbr,cf2clbr,missing_kept_nasa_only
cf2cl2,cf2cl2,missing_kept_nasa_only
cf3,cf3,missing_kept_nasa_only
cf3plus,cf3plus,missing_kept_nasa_only
cf3br~|~r13b1~|~bromotrifluoromethane~|~trifluorobromomethane,cf3br~|~r13b1~|~bromotrifluoromethane~|~trifluorobromomethane,matched
cf3cl,cf3cl,missing_kept_nasa_only
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride~|~cf4,r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride~|~cf4,matched
chplus,chplus,missing_kept_nasa_only
r20b3~|~chbr3~|~bromoform~|~tribromomethane,r20b3~|~chbr3~|~bromoform~|~tribromomethane,matched
chcl,chcl,missing_kept_nasa_only
chclbr2,chclbr2,missing_kept_nasa_only
chcl2,chcl2,missing_kept_nasa_only
chcl2br,chcl2br,missing_kept_nasa_only
chcl3~|~chloroform~|~trichloromethane,chcl3~|~chloroform~|~trichloromethane,matched
chf,chf,missing_kept_nasa_only
chfbr2,chfbr2,missing_kept_nasa_only
chfcl,chfcl,missing_kept_nasa_only
chfclbr,chfclbr,missing_kept_nasa_only
r21~|~chfcl2~|~Halon_112~|~Freon_21~|~dichlorofluoromethane,r21~|~chfcl2~|~Halon_112~|~Freon_21~|~dichlorofluoromethane,matched
chf2,chf2,missing_kept_nasa_only
chf2br,chf2br,missing_kept_nasa_only
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,matched
r23~|~Freon23~|~fluoroform~|~trifluoromethane~|~chf3,r23~|~Freon23~|~fluoroform~|~trifluoromethane~|~chf3,matched
chi3,chi3,missing_kept_nasa_only
methylene~|~ch2,methylene~|~ch2,missing_kept_nasa_only
r30b2~|~ch2br2~|~dibromomethane,r30b2~|~ch2br2~|~dibromomethane,matched
ch2cl,ch2cl,missing_kept_nasa_only
r30b1~|~ch2clbr~|~bromochloromethane,r30b1~|~ch2clbr~|~bromochloromethane,matched
ch2cl2~|~dichloromethane~|~methylene chloride,ch2cl2~|~dichloromethane~|~methylene chloride,matched
ch2f,ch2f,missing_kept_nasa_only
Bromofluoromethane~|~Bromo(fluoro)methane~|~CH2BrF~|~ch2fbr,Bromofluoromethane~|~Bromo(fluoro)methane~|~CH2BrF~|~ch2fbr,matched
ch2fcl,ch2fcl,missing_kept_nasa_only
ch2f2,ch2f2,missing_kept_nasa_only
ch2i2,ch2i2,missing_kept_nasa_only
methyl radical~|~methyl~|~ch3,methyl radical~|~methyl~|~ch3,missing_kept_nasa_only
ch3br~|~r40b1~|~bromomethane~|~methyl bromide,ch3br~|~r40b1~|~bromomethane~|~methyl bromide,matched
r40~|~chloromethane~|~methyl chloride~|~ch3cl,r40~|~chloromethane~|~methyl chloride~|~ch3cl,matched
r41~|~fluoromethane~|~methyl fluoride~|~ch3f,r41~|~fluoromethane~|~methyl fluoride~|~ch3f,matched
ch3i~|~iodomethane~|~methyl iodide,ch3i~|~iodomethane~|~methyl iodide,matched
ch2oh,ch2oh,missing_kept_nasa_only
ch2ohplus,ch2ohplus,missing_kept_nasa_only
ch3o,ch3o,missing_kept_nasa_only
methane~|~ch4,methane~|~ch4,matched
methanol~|~methyl alcohol~|~ch3oh,methanol~|~methyl alcohol~|~ch3oh,matched
ch3ooh,ch3ooh,missing_kept_nasa_only
ci,ci,missing_kept_nasa_only
ci2,ci2,missing_kept_nasa_only
ci3,ci3,missing_kept_nasa_only
ci4,ci4,missing_kept_nasa_only
