original_nasa_species,final_species,status
niminus,niminus,missing_kept_nasa_only
nicl,nicl,missing_kept_nasa_only
nicl2,nicl2,missing_kept_nasa_only
nio,nio,missing_kept_nasa_only
nis,nis,missing_kept_nasa_only
oxygen atom~|~atomic oxygen~|~o,oxygen atom~|~atomic oxygen~|~o,missing_kept_nasa_only
oplus,oplus,missing_kept_nasa_only
ominus,ominus,missing_kept_nasa_only
od,od,missing_kept_nasa_only
odminus,odminus,missing_kept_nasa_only
oh,oh,missing_kept_nasa_only
ohplus,ohplus,missing_kept_nasa_only
ohminus,ohminus,missing_kept_nasa_only
oxygen~|~dioxygen~|~o2,oxygen~|~dioxygen~|~o2,matched
o2plus,o2plus,missing_kept_nasa_only
o2minus,o2minus,missing_kept_nasa_only
ozone~|~o3,ozone~|~o3,matched
p,p,missing_kept_nasa_only
pplus,pplus,missing_kept_nasa_only
pminus,pminus,missing_kept_nasa_only
pcl,pcl,missing_kept_nasa_only
pcl2,pcl2,missing_kept_nasa_only
pcl2minus,pcl2minus,missing_kept_nasa_only
pcl3,pcl3,missing_kept_nasa_only
pcl5,pcl5,missing_kept_nasa_only
pf,pf,missing_kept_nasa_only
pfplus,pfplus,missing_kept_nasa_only
pfminus,pfminus,missing_kept_nasa_only
pfcl,pfcl,missing_kept_nasa_only
pfclminus,pfclminus,missing_kept_nasa_only
pfcl2,pfcl2,missing_kept_nasa_only
pfcl4,pfcl4,missing_kept_nasa_only
pf2,pf2,missing_kept_nasa_only
pf2minus,pf2minus,missing_kept_nasa_only
pf2cl,pf2cl,missing_kept_nasa_only
pf2cl3,pf2cl3,missing_kept_nasa_only
pf3,pf3,missing_kept_nasa_only
pf3cl2,pf3cl2,missing_kept_nasa_only
pf4cl,pf4cl,missing_kept_nasa_only
pf5,pf5,missing_kept_nasa_only
ph,ph,missing_kept_nasa_only
ph2,ph2,missing_kept_nasa_only
ph2minus,ph2minus,missing_kept_nasa_only
phosphine~|~phosphorous trihydride~|~ph3,phosphine~|~phosphorous trihydride~|~ph3,matched
pn,pn,missing_kept_nasa_only
po,po,missing_kept_nasa_only
pominus,pominus,missing_kept_nasa_only
pocl3,pocl3,missing_kept_nasa_only
pofcl2,pofcl2,missing_kept_nasa_only
pof2cl,pof2cl,missing_kept_nasa_only
pof3,pof3,missing_kept_nasa_only
po2,po2,missing_kept_nasa_only
po2minus,po2minus,missing_kept_nasa_only
ps,ps,missing_kept_nasa_only
p2,p2,missing_kept_nasa_only
p2o3,p2o3,missing_kept_nasa_only
p2o4,p2o4,missing_kept_nasa_only
p2o5,p2o5,missing_kept_nasa_only
p3,p3,missing_kept_nasa_only
p3o6,p3o6,missing_kept_nasa_only
p4,p4,missing_kept_nasa_only
p4o6,p4o6,missing_kept_nasa_only
p4o7,p4o7,missing_kept_nasa_only
p4o8,p4o8,missing_kept_nasa_only
p4o9,p4o9,missing_kept_nasa_only
p4o10,p4o10,missing_kept_nasa_only
pb,pb,missing_kept_nasa_only
pbplus,pbplus,missing_kept_nasa_only
pbminus,pbminus,missing_kept_nasa_only
pbbr,pbbr,missing_kept_nasa_only
PbBr2~|~Lead(II) bromide,PbBr2~|~Lead(II) bromide,matched
phosphorus tribromide~|~pbbr3,phosphorus tribromide~|~pbbr3,matched
PbBr4~|~Lead tetrabromide~|~Lead(IV) bromide,PbBr4~|~Lead tetrabromide~|~Lead(IV) bromide,matched
pbcl,pbcl,missing_kept_nasa_only
Lead(II) chloride~|~PbCl2~|~Lead dichloride,Lead(II) chloride~|~PbCl2~|~Lead dichloride,matched
pbcl3,pbcl3,missing_kept_nasa_only
Lead(IV) chloride~|~PbCl4~|~Lead tetrachloride,Lead(IV) chloride~|~PbCl4~|~Lead tetrachloride,matched
pbf,pbf,missing_kept_nasa_only
pbf2,pbf2,missing_kept_nasa_only
pbf3,pbf3,missing_kept_nasa_only
pbf4,pbf4,missing_kept_nasa_only
pbi,pbi,missing_kept_nasa_only
pbi2,pbi2,missing_kept_nasa_only
pbi3,pbi3,missing_kept_nasa_only
pbi4,pbi4,missing_kept_nasa_only
pbo,pbo,missing_kept_nasa_only
Lead dioxide~|~PbO2,Lead dioxide~|~PbO2,matched
Lead(II) sulfide~|~PbS,Lead(II) sulfide~|~PbS,matched
Lead(IV) sulfide~|~PbS2,Lead(IV) sulfide~|~PbS2,matched
rb,rb,missing_kept_nasa_only
rbplus,rbplus,missing_kept_nasa_only
rbminus,rbminus,missing_kept_nasa_only
rbbo2,rbbo2,missing_kept_nasa_only
rbbr,rbbr,missing_kept_nasa_only
rbcl,rbcl,missing_kept_nasa_only
rbf,rbf,missing_kept_nasa_only
rbh,rbh,missing_kept_nasa_only
rbi,rbi,missing_kept_nasa_only
rbk,rbk,missing_kept_nasa_only
rbli,rbli,missing_kept_nasa_only
rbno2,rbno2,missing_kept_nasa_only
rbno3,rbno3,missing_kept_nasa_only
rbna,rbna,missing_kept_nasa_only
rbo,rbo,missing_kept_nasa_only
rboh,rboh,missing_kept_nasa_only
rb2br2,rb2br2,missing_kept_nasa_only
rb2cl2,rb2cl2,missing_kept_nasa_only
rb2f2,rb2f2,missing_kept_nasa_only
rb2i2,rb2i2,missing_kept_nasa_only
rb2o,rb2o,missing_kept_nasa_only
rb2o2,rb2o2,missing_kept_nasa_only
rb2o2h2,rb2o2h2,missing_kept_nasa_only
rb2so4,rb2so4,missing_kept_nasa_only
radon~|~rn,radon~|~rn,matched
rnplus,rnplus,missing_kept_nasa_only
sulfur atom~|~sulphur atom~|~atomic sulfur~|~atomic sulphur~|~s,sulfur atom~|~sulphur atom~|~atomic sulfur~|~atomic sulphur~|~s,missing_kept_nasa_only
splus,splus,missing_kept_nasa_only
sminus,sminus,missing_kept_nasa_only
scl,scl,missing_kept_nasa_only
scl2,scl2,missing_kept_nasa_only
scl2plus,scl2plus,missing_kept_nasa_only
sd,sd,missing_kept_nasa_only
sf,sf,missing_kept_nasa_only
sfplus,sfplus,missing_kept_nasa_only
sfminus,sfminus,missing_kept_nasa_only
sf2,sf2,missing_kept_nasa_only
sf2plus,sf2plus,missing_kept_nasa_only
sf2minus,sf2minus,missing_kept_nasa_only
sf3,sf3,missing_kept_nasa_only
sf3plus,sf3plus,missing_kept_nasa_only
sf3minus,sf3minus,missing_kept_nasa_only
sf4,sf4,missing_kept_nasa_only
sf4plus,sf4plus,missing_kept_nasa_only
sf4minus,sf4minus,missing_kept_nasa_only
sf5,sf5,missing_kept_nasa_only
sf5plus,sf5plus,missing_kept_nasa_only
sf5minus,sf5minus,missing_kept_nasa_only
sf6,sf6,missing_kept_nasa_only
sf6minus,sf6minus,missing_kept_nasa_only
sh,sh,missing_kept_nasa_only
shminus,shminus,missing_kept_nasa_only
sn,sn,missing_kept_nasa_only
sulfur monoxide~|~sulphur monoxide~|~so,sulfur monoxide~|~sulphur monoxide~|~so,missing_kept_nasa_only
sominus,sominus,missing_kept_nasa_only
sof2,sof2,missing_kept_nasa_only
sulfur dioxide~|~sulphur dioxide~|~so2,sulfur dioxide~|~sulphur dioxide~|~so2,matched
so2minus,so2minus,missing_kept_nasa_only
so2cl2,so2cl2,missing_kept_nasa_only
so2fcl,so2fcl,missing_kept_nasa_only
so2f2,so2f2,missing_kept_nasa_only
sulfur trioxide~|~sulphur trioxide~|~so3,sulfur trioxide~|~sulphur trioxide~|~so3,matched
s2,s2,missing_kept_nasa_only
s2minus,s2minus,missing_kept_nasa_only
s2cl2,s2cl2,missing_kept_nasa_only
s2f2,s2f2,missing_kept_nasa_only
s2o,s2o,missing_kept_nasa_only
s3,s3,missing_kept_nasa_only
s4,s4,missing_kept_nasa_only
s5,s5,missing_kept_nasa_only
s6,s6,missing_kept_nasa_only
s7,s7,missing_kept_nasa_only
s8,s8,missing_kept_nasa_only
sc,sc,missing_kept_nasa_only
scplus,scplus,missing_kept_nasa_only
scminus,scminus,missing_kept_nasa_only
sco,sco,missing_kept_nasa_only
scoplus,scoplus,missing_kept_nasa_only
sco2,sco2,missing_kept_nasa_only
sc2o,sc2o,missing_kept_nasa_only
sc2o2,sc2o2,missing_kept_nasa_only
si,si,missing_kept_nasa_only
siplus,siplus,missing_kept_nasa_only
siminus,siminus,missing_kept_nasa_only
sibr,sibr,missing_kept_nasa_only
sibr2,sibr2,missing_kept_nasa_only
sibr3,sibr3,missing_kept_nasa_only
sibr4,sibr4,missing_kept_nasa_only
sic,sic,missing_kept_nasa_only
sic2,sic2,missing_kept_nasa_only
sicl,sicl,missing_kept_nasa_only
sicl2,sicl2,missing_kept_nasa_only
sicl3,sicl3,missing_kept_nasa_only
sicl4,sicl4,missing_kept_nasa_only
sif,sif,missing_kept_nasa_only
sifcl,sifcl,missing_kept_nasa_only
sif2,sif2,missing_kept_nasa_only
sif3,sif3,missing_kept_nasa_only
sif4,sif4,missing_kept_nasa_only
sih,sih,missing_kept_nasa_only
sihplus,sihplus,missing_kept_nasa_only
sihbr3,sihbr3,missing_kept_nasa_only
sihcl,sihcl,missing_kept_nasa_only
sihcl3,sihcl3,missing_kept_nasa_only
sihf,sihf,missing_kept_nasa_only
sihf3,sihf3,missing_kept_nasa_only
sihi3,sihi3,missing_kept_nasa_only
sih2,sih2,missing_kept_nasa_only
sih2br2,sih2br2,missing_kept_nasa_only
sih2cl2,sih2cl2,missing_kept_nasa_only
sih2f2,sih2f2,missing_kept_nasa_only
sih2i2,sih2i2,missing_kept_nasa_only
sih3,sih3,missing_kept_nasa_only
sih3br,sih3br,missing_kept_nasa_only
sih3cl,sih3cl,missing_kept_nasa_only
sih3f,sih3f,missing_kept_nasa_only
sih3i,sih3i,missing_kept_nasa_only
silane~|~sih4,silane~|~sih4,matched
sii,sii,missing_kept_nasa_only
sii2,sii2,missing_kept_nasa_only
sin,sin,missing_kept_nasa_only
sio,sio,missing_kept_nasa_only
sio2,sio2,missing_kept_nasa_only
sis,sis,missing_kept_nasa_only
sis2,sis2,missing_kept_nasa_only
si2,si2,missing_kept_nasa_only
si2c,si2c,missing_kept_nasa_only
si2f6,si2f6,missing_kept_nasa_only
si2n,si2n,missing_kept_nasa_only
si3,si3,missing_kept_nasa_only
sn,sn,missing_kept_nasa_only
snplus,snplus,missing_kept_nasa_only
snminus,snminus,missing_kept_nasa_only
snbr,snbr,missing_kept_nasa_only
snbr2,snbr2,missing_kept_nasa_only
snbr3,snbr3,missing_kept_nasa_only
snbr4,snbr4,missing_kept_nasa_only
sncl,sncl,missing_kept_nasa_only
sncl2,sncl2,missing_kept_nasa_only
sncl3,sncl3,missing_kept_nasa_only
sncl4,sncl4,missing_kept_nasa_only
snf,snf,missing_kept_nasa_only
snf2,snf2,missing_kept_nasa_only
snf3,snf3,missing_kept_nasa_only
snf4,snf4,missing_kept_nasa_only
sni,sni,missing_kept_nasa_only
sni2,sni2,missing_kept_nasa_only
sni3,sni3,missing_kept_nasa_only
sni4,sni4,missing_kept_nasa_only
sno,sno,missing_kept_nasa_only
sno2,sno2,missing_kept_nasa_only
sns,sns,missing_kept_nasa_only
sns2,sns2,missing_kept_nasa_only
sn2,sn2,missing_kept_nasa_only
sr,sr,missing_kept_nasa_only
srplus,srplus,missing_kept_nasa_only
srbr,srbr,missing_kept_nasa_only
srbr2,srbr2,missing_kept_nasa_only
srcl,srcl,missing_kept_nasa_only
srclplus,srclplus,missing_kept_nasa_only
srcl2,srcl2,missing_kept_nasa_only
srf,srf,missing_kept_nasa_only
srfplus,srfplus,missing_kept_nasa_only
srf2,srf2,missing_kept_nasa_only
srh,srh,missing_kept_nasa_only
sri,sri,missing_kept_nasa_only
sri2,sri2,missing_kept_nasa_only
sro,sro,missing_kept_nasa_only
sroh,sroh,missing_kept_nasa_only
srohplus,srohplus,missing_kept_nasa_only
oh-2~|~sr_oh_2~|~sr-oh-2,oh-2~|~sr_oh_2~|~sr-oh-2,missing_kept_nasa_only
srs,srs,missing_kept_nasa_only
sr2,sr2,missing_kept_nasa_only
ta,ta,missing_kept_nasa_only
taplus,taplus,missing_kept_nasa_only
taminus,taminus,missing_kept_nasa_only
tacl5,tacl5,missing_kept_nasa_only
tao,tao,missing_kept_nasa_only
tao2,tao2,missing_kept_nasa_only
ti,ti,missing_kept_nasa_only
tiplus,tiplus,missing_kept_nasa_only
timinus,timinus,missing_kept_nasa_only
ticl,ticl,missing_kept_nasa_only
ticl2,ticl2,missing_kept_nasa_only
ticl3,ticl3,missing_kept_nasa_only
ticl4,ticl4,missing_kept_nasa_only
tio,tio,missing_kept_nasa_only
tioplus,tioplus,missing_kept_nasa_only
tiocl,tiocl,missing_kept_nasa_only
tiocl2,tiocl2,missing_kept_nasa_only
tio2,tio2,missing_kept_nasa_only
u,u,missing_kept_nasa_only
uf,uf,missing_kept_nasa_only
ufplus,ufplus,missing_kept_nasa_only
ufminus,ufminus,missing_kept_nasa_only
uf2,uf2,missing_kept_nasa_only
uf2plus,uf2plus,missing_kept_nasa_only
uf2minus,uf2minus,missing_kept_nasa_only
uf3,uf3,missing_kept_nasa_only
uf3plus,uf3plus,missing_kept_nasa_only
uf3minus,uf3minus,missing_kept_nasa_only
uf4,uf4,missing_kept_nasa_only
uf4plus,uf4plus,missing_kept_nasa_only
uf4minus,uf4minus,missing_kept_nasa_only
uf5,uf5,missing_kept_nasa_only
uf5plus,uf5plus,missing_kept_nasa_only
uf5minus,uf5minus,missing_kept_nasa_only
uf6,uf6,missing_kept_nasa_only
uf6minus,uf6minus,missing_kept_nasa_only
uo,uo,missing_kept_nasa_only
uoplus,uoplus,missing_kept_nasa_only
uof,uof,missing_kept_nasa_only
uof2,uof2,missing_kept_nasa_only
uof3,uof3,missing_kept_nasa_only
uof4,uof4,missing_kept_nasa_only
uo2,uo2,missing_kept_nasa_only
uo2plus,uo2plus,missing_kept_nasa_only
uo2minus,uo2minus,missing_kept_nasa_only
uo2f,uo2f,missing_kept_nasa_only
uo2f2,uo2f2,missing_kept_nasa_only
uo3,uo3,missing_kept_nasa_only
uo3minus,uo3minus,missing_kept_nasa_only
v,v,missing_kept_nasa_only
vplus,vplus,missing_kept_nasa_only
vminus,vminus,missing_kept_nasa_only
vcl4,vcl4,missing_kept_nasa_only
vn,vn,missing_kept_nasa_only
vo,vo,missing_kept_nasa_only
vo2,vo2,missing_kept_nasa_only
v4o10,v4o10,missing_kept_nasa_only
w,w,missing_kept_nasa_only
wplus,wplus,missing_kept_nasa_only
wminus,wminus,missing_kept_nasa_only
wcl6,wcl6,missing_kept_nasa_only
wo,wo,missing_kept_nasa_only
wocl4,wocl4,missing_kept_nasa_only
wo2,wo2,missing_kept_nasa_only
wo2cl2,wo2cl2,missing_kept_nasa_only
wo3,wo3,missing_kept_nasa_only
wo3minus,wo3minus,missing_kept_nasa_only
xenon~|~xe,xenon~|~xe,matched
xeplus,xeplus,missing_kept_nasa_only
zn,zn,missing_kept_nasa_only
znplus,znplus,missing_kept_nasa_only
zr,zr,missing_kept_nasa_only
zrplus,zrplus,missing_kept_nasa_only
zrminus,zrminus,missing_kept_nasa_only
zrn,zrn,missing_kept_nasa_only
zro,zro,missing_kept_nasa_only
zroplus,zroplus,missing_kept_nasa_only
Zirconium dioxide~|~ZrO2~|~Zirconia~|~dioxozirconium,Zirconium dioxide~|~ZrO2~|~Zirconia~|~dioxozirconium,matched
